index	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
945.588__8.23_4782	26049008.857178234	24383330.174928997	110318590.60521927	482420508.6630977	172078836.6060669	23533912.823167596	35133408.569755115	35581434.996605396	22762799.0	127341172.02017413	103584647.8106688	103584647.8106688	103584647.8106688	103584647.8106688	56071599.39165813	30815221.926891815	35133408.569755115	35133408.569755115	35133408.569755115	35133408.569755115	35133408.569755115	764047032.1210448	932261830.2960192	932261830.2960192	932261830.2960192	932261830.2960192	168214798.17497438
943.531__3.34_5127	60039091.49090507	40068604.99233177	116260792.87847744	42125244.95792805	83366650.0	60896509.41569568	22488680.55502895	44127237.59997861	24322820.609666586	55103889.74280653	54855070.27777913	54855070.27777913	54855070.27777913	54855070.27777913	54357431.347724326	52083164.545441836	44127237.59997861	44127237.59997861	44127237.59997861	44127237.59997861	24322820.609666586	330623338.4568392	493695632.50001216	493695632.50001216	493695632.50001216	493695632.50001216	163072294.043173
943.042__3.26_6074	38342451.45098117	33838264.942198515	72604000.58632128	55.614793475442966	55866116.727158494	177685038.42973614	55.614793475442966	63070178.99999999	63963352.58321561	61467017.69414463	56152168.32768868	56152168.32768868	56152168.32768868	56152168.32768868	45522469.59477679	47104284.08906983	55866116.727158494	55866116.727158494	55866116.727158494	55866116.727158494	63963352.58321561	368802106.16486776	505369514.9491981	505369514.9491981	505369514.9491981	505369514.9491981	136567408.78433037
940.632__8.28_4703	23604763.09334631	47368793.400913104	48538375.19114347	528159731.2558684	165305120.36703134	44108010.53253504	30999083.999999996	22247019.43035306	44069325.092241675	138465573.01334122	106044469.15149249	106044469.15149249	106044469.15149249	106044469.15149249	41202261.427795045	45738401.96672407	44108010.53253504	44108010.53253504	44108010.53253504	44108010.53253504	44069325.092241675	830793438.0800472	954400222.3634324	954400222.3634324	954400222.3634324	954400222.3634324	123606784.28338514
939.599__7.91_3785	29325750.440781184	70974885.0	55781624.41433127	36689074.920158416	96728021.26380259	31328586.446176153	47376445.12878644	55844422.17712256	31017859.120209094	53481790.04134015	50562963.21237419	50562963.21237419	50562963.21237419	50562963.21237419	44725309.554442264	46266748.54864049	47376445.12878644	47376445.12878644	47376445.12878644	47376445.12878644	47376445.12878644	320890740.2480409	455066668.9113677	455066668.9113677	455066668.9113677	455066668.9113677	134175928.6633268
936.681__7.2_2484	36543750.49591197	70437896.87443367	25001746.33077011	121509290.02193327	83366650.0	57528621.781996556	25619858.35632001	119528702.26863973	12339273.397160323	81485818.5738192	61319532.16968507	61319532.16968507	61319532.16968507	61319532.16968507	20986959.361416813	76902273.43721683	57528621.781996556	57528621.781996556	57528621.781996556	57528621.781996556	25001746.33077011	488914911.4429152	551875789.5271657	551875789.5271657	551875789.5271657	551875789.5271657	62960878.084250435
935.591__7.49_2794	34771105.0	82986214.68050888	129148501.30236201	37876168.0466374	35232305.45945712	44760530.00117736	23767864.69989796	70108408.7115791	34118393.21605314	50955788.64989331	54752165.67974144	54752165.67974144	54752165.67974144	54752165.67974144	62344919.7394377	41318349.02390738	37876168.0466374	37876168.0466374	37876168.0466374	37876168.0466374	34118393.21605314	305734731.8993599	492769491.117673	492769491.117673	492769491.117673	492769491.117673	187034759.2183131
933.427__5.47_4312	93422747.22216313	50737750.7509385	71706412.1279501	61497178.25599299	57120160.272847325	45542513.90231542	37182816.292520754	63070179.0	46942260.83418943	61898421.567376226	58580224.29543529	58580224.29543529	58580224.29543529	58580224.29543529	51943829.75155344	59308669.26442016	57120160.272847325	57120160.272847325	57120160.272847325	57120160.272847325	46942260.83418943	371390529.40425736	527222018.6589176	527222018.6589176	527222018.6589176	527222018.6589176	155831489.2546603
931.636__9.2_4124	282212379.6095649	24512042.662275236	68641487.89119804	24494009.624234505	48372341.46910049	63254205.25892732	30999084.0	41792090.553766765	72495833.98249172	80772844.8629782	72974830.56128433	72974830.56128433	72974830.56128433	72974830.56128433	57378801.95789659	45082216.01143363	48372341.46910049	48372341.46910049	48372341.46910049	48372341.46910049	68641487.89119804	484637069.17786926	656773475.051559	656773475.051559	656773475.051559	656773475.051559	172136405.87368977
931.461__7.42_6167	72149185.5544486	42984411.22458199	26677503.659312654	89462683.24010003	31598078.664064582	52991990.00000001	52980716.26011764	35421830.21317573	35744919.10004823	54101363.14939516	48890146.43509439	48890146.43509439	48890146.43509439	48890146.43509439	38467713.006492846	47988200.61229099	42984411.22458199	42984411.22458199	42984411.22458199	42984411.22458199	35744919.10004823	324608178.89637095	440011317.91584945	440011317.91584945	440011317.91584945	440011317.91584945	115403139.01947853
930.489__5.1_2061	126747235.4865781	137476526.12886682	24131611.31761723	60649431.43147065	25502045.985542085	52991990.0	24871941.321162116	221192877.26496285	105758821.61204457	104093351.04957008	86591386.72758272	86591386.72758272	86591386.72758272	86591386.72758272	51587458.08360797	93698333.45902437	60649431.43147065	60649431.43147065	60649431.43147065	60649431.43147065	24871941.321162116	624560106.2974205	779322480.5482445	779322480.5482445	779322480.5482445	779322480.5482445	154762374.25082392
929.491__6.01_4603	37082711.919582054	32324352.625547457	36015505.49936589	44757480.088581935	76036352.10840596	66659469.97441006	30999084.0	44037032.4504326	36245637.97664043	50149566.527826674	44906402.9603296	44906402.9603296	44906402.9603296	44906402.9603296	34420075.82533544	44397256.26950727	37082711.919582054	37082711.919582054	37082711.919582054	37082711.919582054	36015505.49936589	300897399.16696006	404157626.6429664	404157626.6429664	404157626.6429664	404157626.6429664	103260227.47600633
927.494__6.39_3864	46615685.31131625	30345780.997813113	41360038.23394052	37607570.550581455	30144409.25439951	52991990.0	98165570.0447062	27678784.72431306	57810100.04354842	37564036.8064039	46968881.017846495	46968881.017846495	46968881.017846495	46968881.017846495	65778569.440731704	33976675.77419728	41360038.23394052	41360038.23394052	41360038.23394052	41360038.23394052	57810100.04354842	225384220.83842337	422719929.1606185	422719929.1606185	422719929.1606185	422719929.1606185	197335708.3221951
927.187__10.03_4868	3643050210.563373	70974885.0	61459317.993012115	47146772.843159154	325872010.74009895	13278704.410082817	48714085.3701913	21189745.79539626	22365805.732176486	686918721.5586851	472672393.16083217	472672393.16083217	472672393.16083217	472672393.16083217	44179736.36512663	59060828.92157958	48714085.3701913	48714085.3701913	48714085.3701913	48714085.3701913	48714085.3701913	4121512329.3521104	4254051538.4474897	4254051538.4474897	4254051538.4474897	4254051538.4474897	132539209.09537989
925.623__8.48_2415	35237404.40721076	30030175.7089658	53399923.32734763	33527615.60157198	78466157.90353762	52991990.0	51346864.89790248	23475459.49847429	24130111.621760774	42288133.85329341	42511744.7740857	42511744.7740857	42511744.7740857	42511744.7740857	42958966.61567029	34382510.00439137	35237404.40721076	35237404.40721076	35237404.40721076	35237404.40721076	51346864.89790248	253728803.11976045	382605702.9667713	382605702.9667713	382605702.9667713	382605702.9667713	128876899.84701088
921.486__3.14_5302	78615127.30375612	71116712.1370666	29510115.08079769	51912640.40009707	123722865.92545053	48347071.272004634	36503329.51314673	62018914.19329488	22762799.0	72622221.87194496	58278841.647290476	58278841.647290476	58278841.647290476	58278841.647290476	29592081.197981473	66567813.16518074	51912640.40009707	51912640.40009707	51912640.40009707	51912640.40009707	29510115.08079769	435733331.2316698	524509574.8256143	524509574.8256143	524509574.8256143	524509574.8256143	88776243.59394442
920.686__7.8_1762	92610469.81313102	70974885.0	7260426.990162225	93355988.86943962	76917026.04397117	108508590.11072509	5963876.728436702	140019122.8040944	7085097.716056259	97064347.10689355	66966164.89733517	66966164.89733517	66966164.89733517	66966164.89733517	6769800.478218396	92983229.34128532	76917026.04397117	76917026.04397117	76917026.04397117	76917026.04397117	7085097.716056259	582386082.6413614	602695484.0760165	602695484.0760165	602695484.0760165	602695484.0760165	20309401.43465519
920.65__6.94_5883	275439654.1111083	96523655.30983725	29917471.408584803	39474217.002242945	35809897.21585539	69537950.00494802	30999084.0	33000579.996918373	39883375.752152525	91630992.27348502	72287320.5335164	72287320.5335164	72287320.5335164	72287320.5335164	33599977.053579114	54506083.50359549	39474217.002242945	39474217.002242945	39474217.002242945	39474217.002242945	30999084.0	549785953.6409101	650585884.8016477	650585884.8016477	650585884.8016477	650585884.8016477	100799931.16073734
917.639__7.57_5167	353816597.19700146	34349020.87291132	35179374.25171324	36055450.54578581	83366650.0	30223743.325280186	43380586.05411854	27412587.72991472	53086472.84982657	94204008.27848224	77430053.64739466	77430053.64739466	77430053.64739466	77430053.64739466	43882144.38521945	35202235.70934856	36055450.54578581	36055450.54578581	36055450.54578581	36055450.54578581	43380586.05411854	565224049.6708934	696870482.8265519	696870482.8265519	696870482.8265519	696870482.8265519	131646433.15565833
917.581__6.53_4296	47548641.59722937	58844012.93451352	29923471.945649326	72596247.66223896	83366650.0	66584424.42549568	40951248.023291185	38209252.02607172	37791103.88237658	61191538.10759154	52868339.16631848	52868339.16631848	52868339.16631848	52868339.16631848	36221941.283772364	62714218.6800046	47548641.59722937	47548641.59722937	47548641.59722937	47548641.59722937	37791103.88237658	367149228.64554924	475815052.49686635	475815052.49686635	475815052.49686635	475815052.49686635	108665823.8513171
917.558__7.56_4102	34771105.0	26846968.889133967	54968404.844983265	363831580.2749282	179554573.2092914	48555349.5482621	44315908.67857723	30926407.936926506	22189809.498676866	114080997.4764237	89551123.0978644	89551123.0978644	89551123.0978644	89551123.0978644	40491374.340745784	41663227.274131045	44315908.67857723	44315908.67857723	44315908.67857723	44315908.67857723	44315908.67857723	684485984.8585422	805960107.8807796	805960107.8807796	805960107.8807796	805960107.8807796	121474123.02223736
916.531__3.22_3758	42356046.77222941	56011145.48396354	40459596.92447968	25491119.3931194	35960279.46444341	76483491.83331867	30999083.999999996	35817922.78994957	41602994.28074432	45353334.289504	42797964.549138665	42797964.549138665	42797964.549138665	42797964.549138665	37687225.068408005	39158163.11833641	40459596.92447968	40459596.92447968	40459596.92447968	40459596.92447968	40459596.92447968	272120005.737024	385181680.942248	385181680.942248	385181680.942248	385181680.942248	113061675.205224
913.608__7.61_4058	35457257.040572606	47709827.81876375	41479303.415727004	118590090.92482798	34820228.62767842	52991990.00000001	25989031.268961675	24894571.27709433	26245954.369706303	52410660.94815618	45353139.41592578	45353139.41592578	45353139.41592578	45353139.41592578	31238096.351464998	41583542.42966817	35457257.040572606	35457257.040572606	35457257.040572606	35457257.040572606	26245954.369706303	314463965.68893707	408178254.743332	408178254.743332	408178254.743332	408178254.743332	93714289.05439499
912.602__7.6_3741	85747521.13027093	34368118.00243733	29180570.32483931	251177827.70850652	50297758.8761841	78460537.1936413	34275878.4097628	26370703.32014491	22762799.0	87737077.70519751	68071301.55175413	68071301.55175413	68071301.55175413	68071301.55175413	28739749.24486737	64379148.034912705	34368118.00243733	34368118.00243733	34368118.00243733	34368118.00243733	29180570.32483931	526422466.2311851	612641713.9657872	612641713.9657872	612641713.9657872	612641713.9657872	86219247.73460211
911.571__7.57_4129	42069505.03740372	70974885.0	118541485.83384492	21774236.582981233	45107878.68130158	43506460.52065811	40616434.740383126	27813430.477373548	47803723.689334966	41874399.383286364	50912004.50703125	50912004.50703125	50912004.50703125	50912004.50703125	68987214.754521	42787982.77903092	43506460.52065811	43506460.52065811	43506460.52065811	43506460.52065811	47803723.689334966	251246396.29971817	458208040.56328124	458208040.56328124	458208040.56328124	458208040.56328124	206961644.263563
910.651__8.37_1805	27937343.704802435	46572124.96135418	7054948.282690994	119811402.70307407	116297048.33677721	68439448.25219211	30999084.0	231195622.15841416	14318794.342561858	101708831.68610235	73625090.74909633	73625090.74909633	73625090.74909633	73625090.74909633	17457608.875084285	92368248.29448466	46572124.96135418	46572124.96135418	46572124.96135418	46572124.96135418	14318794.342561858	610252990.1166141	662625816.741867	662625816.741867	662625816.741867	662625816.741867	52372826.62525285
909.648__8.42_423	45373716.50193156	70974885.0	12012551.091692796	87232261.60972485	100423639.84135397	55643031.58910626	16303226.218506496	59189888.02020338	7667847.010717101	69806237.09372	50535671.87591515	50535671.87591515	50535671.87591515	50535671.87591515	11994541.440305464	65082386.51010169	55643031.58910626	55643031.58910626	55643031.58910626	55643031.58910626	12012551.091692796	418837422.56232	454821046.88323635	454821046.88323635	454821046.88323635	454821046.88323635	35983624.32091639
909.647__8.12_1748	16020613.904010994	107969721.22385006	31034179.0	81132670.58645749	139521318.4013388	36009016.76645704	14939155.04737745	137961305.47686294	20520704.82674079	86435774.39316289	65012076.13701061	65012076.13701061	65012076.13701061	65012076.13701061	22164679.62470608	94551195.90515378	36009016.76645704	36009016.76645704	36009016.76645704	36009016.76645704	20520704.82674079	518614646.3589773	585108685.2330955	585108685.2330955	585108685.2330955	585108685.2330955	66494038.87411824
907.51__6.05_4060	52255269.301385075	56343373.05804126	87397632.05163525	38347666.60940256	81243342.70455341	48469757.8764531	30999084.0	82923959.50572221	48444652.39849927	59930561.509259604	58491637.50063246	58491637.50063246	58491637.50063246	58491637.50063246	55613789.48337817	54299321.17971317	52255269.301385075	52255269.301385075	52255269.301385075	52255269.301385075	48444652.39849927	359583369.0555576	526424737.5056921	526424737.5056921	526424737.5056921	526424737.5056921	166841368.45013452
906.671__7.58_2491	34771105.0	71022112.63486391	24387257.0169356	103650108.6573602	70923312.16913389	75281628.97546725	18158450.423017815	89613820.74220376	11809942.394424684	74210348.02983817	55513082.00148968	55513082.00148968	55513082.00148968	55513082.00148968	18118549.9447927	73151870.80516559	70923312.16913389	70923312.16913389	70923312.16913389	70923312.16913389	18158450.423017815	445262088.17902905	499617738.0134071	499617738.0134071	499617738.0134071	499617738.0134071	54355649.8343781
