#SampleID	V21-hand-psoriasis-RF3	V21-hand-psoriasis-RF4	V21-hand-psoriasis-RE9	V21-hand-healthy-RE6	V21-hand-psoriasis-RE7	V21-arm-healthy-RD11	V21-hand-psoriasis-RF5	V21-arm-psoriasis-RE1	V21-arm-healthy-RE4	V21-hand-healthy-RF1	V21-hand-psoriasis-RF8	V21-hand-psoriasis-RF2	V21-hand-healthy-RE12	V21-arm-psoriasis-RD7	V21-arm-healthy-RD8	V21-hand-healthy-RE8	V21-hand-psoriasis-RF6	V21-arm-healthy-RD4	V21-hand-psoriasis-RE5	V21-arm-psoriasis-RD6	V21-arm-psoriasis-RD3	V21-hand-psoriasis-RE10	V21-hand-psoriasis-RF7	V21-hand-psoriasis-RF9	V21-arm-psoriasis-RD9	V21-arm-healthy-RD12	V21-arm-healthy-RD1	V21-arm-psoriasis-RE2	V21-arm-psoriasis-RD10	V21-hand-psoriasis-RE11	V21-hand-psoriasis-RF10	V21-arm-healthy-RD5	V21-arm-healthy-RE3	V21-arm-psoriasis-RD2
997.7__8.37_887	1425220.6015983557	3364475.201287515	1656106.8980385815	2384793.5728745405	1686460.9719619032	1655016.9874610645	1614721.1790372734	1599382.3926546043	1585602.1655298916	1529498.149969384	3148303.598396315	757789.9895132979	808569.2707529481	1667599.2137030517	507841.45303384593	3070627.8462106613	1509419.346345461	2941655.523467575	2271835.600921675	4405933.012705739	2593146.643689006	2332645.405126788	2734142.983455039	2323698.3587921043	1670700.3760310526	3918329.9251749325	2966503.4257720117	4875330.60454503	2841215.180931442	1694180.4212588638	2803516.3707692157	2051048.02728234	627773.0511777344	1979938.7611380925
995.65__9.84_5856	1780897.618278936	1555847.183170733	1235169.1536970157	1846545.1787502747	5.887673584873448	1032344.6863717105	2725050.842022827	1590460.816176204	2612737.580717781	1129014.3989617478	2078231.0219886296	1904627.0786650511	2356246.9686663537	2529167.9418540867	1176357.182257715	2079114.173026361	3587889.4058860308	1372416.7126340007	1143969.0898673262	1826091.400716424	1823347.744825873	1196581.3410217552	1494527.062784276	2005812.6368946861	2866561.07663526	3347584.0085194213	1453955.1041109131	2803651.2843808867	3181104.1502335393	3063115.171592675	1481479.9781201966	2282562.7337516625	6317473.75656921	3254588.2042463445
993.67__9.35_4876	1702057.7144723518	1452763.2109571288	1370660.5666007977	2368749.9753988027	1480700.965013997	1746716.0565908584	2044566.8674079303	1962506.287424081	4289023.632850845	2533326.832735057	1532720.5723168724	2437314.9025446414	1540425.3632098457	2031772.2874446216	1572148.910790103	3757925.876620476	2504232.308434931	2788587.4664139925	1841010.3582382544	1864783.7394193928	3675549.8138430114	1681341.0110249128	1699821.2920020532	3119809.3460668717	3057554.0747933486	1861348.4823333544	2489579.885353663	2747644.8105314057	2339199.753730121	2888981.1020712946	4732592.440674691	2171075.467647875	2002053.8082860112	2713152.025096076
992.745__8.38_527	2135261.313403086	2002290.783381047	1658449.758615891	3635922.320336707	1558081.7469852122	1543240.8389001775	1081832.419075022	1697667.2967786263	1540965.9228653673	1016961.0661572946	3799601.726650588	1443862.8114062727	1514683.476484118	902119.5860541122	594485.1974459989	667500.5394866413	1475566.0988181718	1718922.350268547	1874386.9357269772	3429768.7762821633	2573391.54837776	2011701.4430959541	2192967.0405035526	1297617.9720086486	2540308.1489272285	3792961.2517253323	5373944.889981929	4514565.06066549	4623161.727474381	1018200.6214766756	1882458.4329986246	1366808.9538652543	2716966.363482521	5646345.47200955
990.729__7.93_5197	1291305.34420115	1457364.477689183	1196363.1697861606	1693774.725134833	1761521.319417201	1757210.6131556854	1631670.1796775076	1622072.8801297548	3122838.479107108	1897563.8483600914	1037813.8424088941	1165939.4070783858	899137.7110648527	1181825.0382490093	2323157.2278000764	1600616.29124185	1575702.0893855628	4593257.869312426	826207.9287439005	2234907.311756601	2472613.356211896	1648021.1344625673	2671988.3679279867	2406482.4689241	1501618.6922704868	6047074.25444153	4841126.710763575	6790848.812322413	3161744.7035363815	1854957.6549132504	2281345.9621945643	2244456.140094516	4507786.9692996135	4523074.788882243
99.013__4.62_3713	1067057.5551369726	1478038.5327212762	664153.3376059161	1310144.3939637672	825131.7973640517	835761.2243312275	842293.976552815	1763548.952164134	1619063.6193615068	1232537.0089759007	1894051.57462428	2912765.1588796983	1240690.247421918	2324070.8586829244	1535450.2738784766	1027644.9769775234	1098577.3492369712	3551361.8777659438	1643908.400733087	2472351.2311715432	3090044.7473905142	2937318.466656456	3325060.709117352	2891789.2215172024	2635129.339822486	2535189.194517873	3797675.7838792764	1936221.653434937	2271919.012580928	3070911.7788495976	1907732.1150932286	5350816.09830081	2666234.118308571	5266903.2570139235
99.013__0.88_2719	1088244.1381530904	1171785.1118497972	835120.9202063873	481086.7225529341	620965.1063384055	1644635.4770316037	342988.0450628539	349482.7938268707	1576019.3634275824	503456.9594410174	684353.8542752095	3037695.5907660737	687236.9421902306	1647497.8833444153	936426.6645307492	3444460.617351067	2415975.4245294607	5185712.194697261	3129216.760234612	2626802.951782229	1867457.6078955932	6291911.229084282	6005480.109361715	6840146.034319494	6231771.306869992	2136234.984539209	4531409.796937745	1967763.3786113728	1253038.0472389122	1583913.2044393115	5000422.817821885	5876920.36734683	3964140.2981321937	5393039.814319989
989.614__8.21_4778	1992994.3749421453	2109480.697832692	3189621.155274765	1556825.852869656	2448331.848370953	1426212.4121826554	2525706.5218144283	2038810.1654495138	1209550.8467548874	3781697.148378647	2932809.6222014567	3297756.005347832	1466624.4553350196	2318519.609947674	1044558.0914869056	1510079.070323758	1650626.4206980178	3449597.5620876313	1832429.4477608963	1180647.662287938	2893126.3985537863	1346541.458107955	1002962.9646180185	1545594.0454343131	2756470.245466571	1935340.2593979253	3320057.3830000083	4274910.77243664	1984283.4842867344	1214081.0090871423	1700368.3518933402	1424854.6114615828	3094587.584585723	2270444.9781671977
987.717__8.03_4706	1771811.173532964	2473543.8978605885	1394024.8588583	1658409.3897358254	1286843.8875523969	1468290.4762493838	2019256.52802998	2106724.0326505345	2903961.7007222525	1418689.3667030544	1498514.2350511432	3487360.273201153	1805566.8172997304	1628639.1206954338	1656808.8376368794	2453163.534467346	1633600.8322021656	1092374.1399436544	1336151.5625472527	2029897.5319011374	3616818.26213755	1448179.53912613	1374394.0873647302	1204239.3937258057	5957214.898473673	5451427.097272651	2876309.495626133	3719563.036542542	3236820.5179795087	915355.7453870844	3534003.0289512645	2177857.9031013474	3214655.538995942	4577976.473422798
983.647__7.58_4359	972980.1151558444	2584646.0716244075	2377496.405543812	1677657.5693643468	949024.1431188248	1660049.789054895	2455860.418737037	990472.857967274	3417315.6547543346	1083885.654064977	2119974.401553937	2520448.104616147	1412845.944326359	1562784.4106254843	2176424.9452260397	1434573.9452282225	939210.7402263572	5571582.96923896	1090576.6105825687	1622096.8055238824	4248790.256527261	2318824.9338486777	1358029.402666974	3518680.124439786	1540093.8510667041	2194185.3262981726	5739417.9834446125	2177551.843165844	2623697.78064673	1274061.4199272608	3113522.7518152627	798217.0263244334	1754366.4512084832	7730822.720882975
