index	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
974.371__2.39_1449	11044543.213438043	39387676.290305726	28091052.5	33643630.472665116	12570985.206599645	22477607.83265192	16372932.967780227	21805517.185727943	39186207.1686993	41815806.57709484	24206023.732488863	19672117.731463622	29150769.08785545	14253615.572302891	62998980.09270732	28390494.4250893	27778497.708785396	27778497.708785396	35302185.66828338	24016653.729036402	27778497.708785396	26095506.73894965	24206023.732488863	24206023.732488863	24206023.732488863	39186207.1686993	20738817.458595783	24206023.732488863	24411443.409659535	312295438.6759823	416677465.6317809	416677465.6317809	176510928.3414169	240166537.29036403	416677465.6317809	104382026.9557986
973.655__5.42_3754	18835779.31156462	8670726.938532697	23993003.37925431	29611328.722364068	14684936.36330607	24173412.29845109	8274575.357942079	14934512.862199135	13321148.01680065	41321645.96842292	93667421.89071193	16741812.04129095	21535560.0	117219484.33778569	66077178.92292981	41199039.18141113	34204168.427437074	34204168.427437074	23419652.388914283	39596426.446698464	34204168.427437074	14968273.85400842	24173412.29845109	21535560.0	21535560.0	24173412.29845109	20185669.655782312	21535560.0	15031480.0290458	453189430.99552244	513062526.41155607	513062526.41155607	117098261.94457142	395964264.4669846	513062526.41155607	59873095.41603368
97.514__7.06_3244	20178675.17352578	16213182.362525936	16996912.045200463	25178390.893554665	33521227.0	19175239.903977845	21464327.221952457	13740899.81545396	7815107.888347874	29169280.094943453	18829449.28182605	36605850.15372439	22991474.08278778	57546553.52623725	22840616.599149197	24853675.154217687	24151145.736213803	24151145.736213803	19510240.228669953	26471598.48998573	24151145.736213803	22219189.836703125	20178675.17352578	21464327.221952457	21464327.221952457	19175239.903977845	22152471.910550825	21464327.221952457	22227900.652370118	273390426.69639456	362267186.04320705	362267186.04320705	97551201.14334977	264715984.8998573	362267186.04320705	88876759.3468125
97.514__6.52_3288	23272226.93914635	34059758.759808555	47263214.25471775	18970859.272457834	49219770.34939915	22746610.0	23632554.701079454	23527043.469122693	12350044.158236345	12822619.005628325	22441954.0305342	26582777.734145094	16585397.522391068	24281459.061359357	47271250.26751089	29625160.491789557	27001835.968369137	27001835.968369137	20189978.23922621	30407764.8329406	27001835.968369137	19787693.52896299	23527043.469122693	23527043.469122693	23527043.469122693	18970859.272457834	23957006.881219406	23527043.469122693	20108976.111735262	325876765.40968513	405027539.5255371	405027539.5255371	100949891.19613105	304077648.329406	405027539.5255371	79150774.11585195
97.514__6.14_3357	13717952.262920488	20076726.906083535	28091052.5	12693895.218274426	29012885.69463106	67354683.83053364	13930349.60031877	17175369.058734868	38669699.028004594	36995733.14929516	13228542.970233543	32049984.899003334	28841288.701961115	17957213.295983776	27864318.97015817	25833488.53244078	26510646.40574243	26510646.40574243	35158147.62643827	22186895.79539451	26510646.40574243	28372830.557321955	20076726.906083535	27864318.97015817	27864318.97015817	36995733.14929516	22910766.133070976	27864318.97015817	30445636.800482225	284168373.8568486	397659696.08613646	397659696.08613646	175790738.13219133	221868957.9539451	397659696.08613646	113491322.22928782
97.514__5.71_3499	18327944.005728137	14888628.738234567	23415451.43127801	17823563.986422542	23394824.937991247	56143867.443305895	20278040.894658316	14316623.416266847	32233340.47210869	30837997.0	16078393.022659289	26715441.32338246	27916213.622597143	16193237.294992574	19310042.993436567	22793688.5700287	23858240.705537487	23858240.705537487	30385479.52801434	20594621.29429906	23858240.705537487	26785759.07818665	18327944.005728137	20278040.894658316	20278040.894658316	30837997.0	19794041.944047444	20278040.894658316	27315827.4729898	250730574.2703157	357873610.5830623	357873610.5830623	151927397.6400717	205946212.9429906	357873610.5830623	107143036.3127466
97.514__3.89_4067	39551370.06905812	34835000.41394327	31522950.931775115	21170624.020854622	29615374.586821496	24788079.721676994	33336790.02723341	19246337.26234918	24443540.766308088	14472654.507662304	20772413.26165528	15223298.670785066	23421571.569571495	38905152.0	13456188.293731904	26212376.824502572	25650756.406895094	25650756.406895094	23941979.886089057	26505144.667298105	25650756.406895094	24106300.258474514	24788079.721676994	24443540.766308088	24443540.766308088	24443540.766308088	26518473.078196496	24443540.766308088	23932556.16793979	288336145.0695283	384761346.1034264	384761346.1034264	119709899.43044528	265051446.67298105	384761346.1034264	96425201.03389806
967.688__8.07_678	12433119.269969778	75094119.97214776	28091052.499999996	102968433.87050156	11702543.629739052	44555502.42346638	6951765.916717441	9206069.32179655	10529522.988116343	26610129.50840835	70427735.67756842	9513898.300539475	43890289.53993048	158857552.8907813	15799831.346861195	50522371.855567314	41775437.81043628	41775437.81043628	51951541.75252809	36687385.83939037	41775437.81043628	17721369.186325934	28091052.499999996	26610129.50840835	26610129.50840835	44555502.42346638	14116475.308415487	26610129.50840835	10021710.644327909	555746090.4112405	626631567.1565442	626631567.1565442	259757708.76264042	366873858.3939037	626631567.1565442	70885476.74530374
964.583__5.02_189	13617888.563720517	14501938.834250402	11225879.28024643	23227287.0	22909908.54715338	5422605.0243522795	134377549.19669253	111909429.95516759	29356606.447882086	29052201.30492511	215626819.0284688	116545023.2446446	18201532.33611206	58309946.89723418	15952266.979775313	47432379.21957219	54682458.84270836	54682458.84270836	20312127.722281978	71867624.40292154	54682458.84270836	74620177.80633283	22909908.54715338	23227287.0	23227287.0	23227287.0	40609927.72219378	23227287.0	72950814.84626335	521756171.41529405	820236882.6406254	820236882.6406254	101560638.61140989	718676244.0292155	820236882.6406254	298480711.2253313
962.733__8.07_615	14806289.081100034	33300789.14219467	19474304.450105105	80830548.87041238	22594943.371812794	42640083.616895884	9186591.65786515	21379937.857072666	33740625.38021005	30837997.0	162240348.55654195	22351412.058933005	12498671.712267734	137250682.57181838	37957245.93468733	54846651.85933102	45406031.41746115	45406031.41746115	44270008.8019426	45974042.72522041	45406031.41746115	19444325.202318985	33300789.14219467	30837997.0	30837997.0	33740625.38021005	21865674.958002836	30837997.0	17425041.88560037	603313170.4526412	681090471.2619172	681090471.2619172	221350044.009713	459740427.2522041	681090471.2619172	77777300.80927594
959.965__0.81_1674	32564797.323271625	38024953.81634498	160190373.8586685	17391098.719535932	29818866.215710904	72110091.43354058	16617419.45314706	14251838.096923644	22455709.5	22967584.007390108	26092638.333758358	8812165.368381998	15574948.315943971	81255233.05289163	50170502.79436452	49530725.24112735	40553214.68599159	40553214.68599159	34589887.49536233	43534878.28130622	40553214.68599159	15865060.659368258	32564797.323271625	26092638.333758358	26092638.333758358	22967584.007390108	27955752.27473463	26092638.333758358	16096183.884545516	544837977.6524009	608298220.2898738	608298220.2898738	172949437.47681162	435348782.8130622	608298220.2898738	63460242.63747303
956.655__7.73_4299	19732969.044791564	28675983.871208306	88574416.17995678	21439937.82205087	71030266.84255974	38803560.71229406	8023477.80440015	26388369.216680896	16976393.068764303	89283829.0994088	32586117.413494915	22960332.0	11992984.357676491	16990196.563979436	86877347.84064488	47307544.96427912	38689078.789194085	38689078.789194085	39035940.91474527	38515647.72641848	38689078.789194085	14988296.807710236	32586117.413494915	26388369.216680896	26388369.216680896	28675983.871208306	24674350.60834045	26388369.216680896	14484688.713220397	520382994.6070703	580336181.8379112	580336181.8379112	195179704.57372636	385156477.26418483	580336181.8379112	59953187.230840944
955.525__7.06_3916	43282604.12658332	17927634.360980924	12530759.758246947	13015985.067542708	16626729.998073077	20300157.9940001	16423368.363843871	31693178.466667034	27306714.655305278	30837997.0	25614808.444028325	34176581.26079817	21163095.111102596	50300683.57573916	46487522.547462285	28056187.394483987	27179188.048691582	27179188.048691582	21877697.815565802	29829933.16525448	27179188.048691582	24767439.847762477	25614808.444028325	25614808.444028325	25614808.444028325	20300157.9940001	28653993.45534768	25614808.444028325	24234904.88320394	308618061.3393239	407687820.73037374	407687820.73037374	109388489.077829	298299331.6525448	407687820.73037374	99069759.3910499
954.678__8.37_2186	12068402.70753799	13612826.997546228	15001167.989026349	31563530.21151746	48387281.98637777	18613816.801980197	4481498.860940092	57121396.07022297	13453290.16638288	45972201.40746528	41802869.14358142	82276007.80653772	21535560.0	66184303.800854966	8836755.12886504	32651322.931361426	32060727.27192243	32060727.27192243	24643133.11697841	35769524.34939443	32060727.27192243	30436589.208465174	31563530.21151746	21535560.0	21535560.0	18613816.801980197	31669214.57179071	21535560.0	17494425.08319144	359164552.2449757	480910909.07883644	480910909.07883644	123215665.58489205	357695243.49394435	480910909.07883644	121746356.8338607
953.674__8.39_629	17485322.36966498	15726579.740120653	28091052.5	55581928.65434781	8848905.19841658	26446081.655589357	11017184.468034744	27511071.259739622	19162225.822835196	46866291.419047035	50639322.11594156	109163523.7457731	42072552.27342844	86792891.96157975	4156457.4650987973	33467809.485413287	36637426.04330785	36637426.04330785	32756621.45838801	38577828.33576776	36637426.04330785	45353871.577517875	27511071.259739622	27511071.259739622	27511071.259739622	26446081.655589357	27801061.87986981	27511071.259739622	30617389.048131816	368145904.33954614	549561390.6496177	549561390.6496177	163783107.29194003	385778283.3576776	549561390.6496177	181415486.3100715
948.718__8.39_340	3718133.87829271	5061215.098369716	26573240.905394528	24052730.395604223	32172167.669442464	12281524.144827815	15467877.942090461	56298255.3172495	15351580.278428389	30837997.0	71227128.28368342	118343527.69151232	41634162.653472774	113715780.49617462	3346763.1827939297	34480448.76107572	38005472.329155795	38005472.329155795	17517009.38344603	48249703.80201067	38005472.329155795	47699287.14137599	26573240.905394528	26573240.905394528	26573240.905394528	15351580.278428389	36903165.16145762	26573240.905394528	28551020.297781616	379284936.3718329	570082084.9373369	570082084.9373369	87585046.91723014	482497038.02010673	570082084.9373369	190797148.56550395
948.596__7.45_4580	46842522.33539877	35685874.39879463	61619967.35298708	27901803.47239891	20526910.606002178	24394304.398957416	10984182.428112328	17016302.276785616	26424808.792216994	18774304.948116574	18133179.680198308	22960332.0	56826378.63105205	28463547.803929277	8448797.082097163	27982501.30506054	28333547.747136485	28333547.747136485	26636219.2020969	29182212.01965628	28333547.747136485	29298925.46284534	24394304.398957416	24394304.398957416	24394304.398957416	26424808.792216994	21743621.30300109	24394304.398957416	24692570.396108497	307807514.3556659	425003216.2070473	425003216.2070473	133181096.01048452	291822120.19656277	425003216.2070473	117195701.85138136
947.627__8.85_4617	26909479.225283157	16152674.299182005	22366692.197449673	19979637.696817536	86421860.77205917	26850338.23222583	47936900.42918725	24013531.019102868	23371727.031013392	60344703.88208663	43847182.323224105	16839333.774418704	21535560.0	8847558.038215755	3087233.0175901777	30801899.154839717	29900294.12919042	29900294.12919042	29339816.228265084	30180533.079653084	29900294.12919042	27420880.308654837	24013531.019102868	23371727.031013392	23371727.031013392	23371727.031013392	23190111.60827627	23371727.031013392	22453643.515506696	338820890.7032369	448504411.93785626	448504411.93785626	146699081.1413254	301805330.79653084	448504411.93785626	109683521.23461935
946.704__8.02_2967	40221449.84853736	34371499.0943424	28172211.14355804	23227287.0	23136342.910929803	20675424.42951411	96925962.32008666	968167667.2050576	17561710.308404524	11056968.06474245	361337469.52076876	13012581.427181015	151871678.80171502	15264637.999326335	10430356.545632076	139641937.61476445	121028883.1079864	121028883.1079864	21378577.7794007	170854035.77227926	121028883.1079864	69842983.2143468	23227287.0	23227287.0	23227287.0	20675424.42951411	34196830.496047705	23227287.0	57243836.31424559	1536061313.762409	1815433246.619796	1815433246.619796	106892888.89700349	1708540357.7227926	1815433246.619796	279371932.8573872
945.588__8.23_4782	25139783.833878238	14273595.597998396	18996200.691625416	119150349.60047187	22812152.474226806	16971831.964223538	54358083.686929	80242031.14686362	27793241.379654795	56064367.0842342	24068697.941068094	24134944.23476361	21535560.0	26716159.481910404	7253250.39027484	37426220.01879776	35967349.967208184	35967349.967208184	46850677.12531656	30525686.388154	35967349.967208184	31955457.32533685	24068697.941068094	24134944.23476361	24134944.23476361	27793241.379654795	24101821.087915853	24134944.23476361	25964092.8072092	411688420.20677537	539510249.5081228	539510249.5081228	234253385.6265828	305256863.88154	539510249.5081228	127821829.3013474
