index	V20-arm-psoriasis-RB7	V20-arm-healthy-RA3	V20-arm-psoriasis-RB6	V20-arm-healthy-RA1	V20-arm-healthy-RB4	V20-arm-healthy-RB8	V20-arm-psoriasis-RA6	V20-arm-healthy-RB12	V20-arm-psoriasis-RB2	V20-arm-healthy-RA4	V20-arm-healthy-RB3	V20-arm-healthy-RA2	V20-arm-psoriasis-RB10	V20-arm-healthy-RC6	V20-arm-healthy-RB9	V20-arm-healthy-RC5	V20-arm-healthy-RC4	V20-arm-psoriasis-RA12	V20-arm-psoriasis-RA8	V20-arm-healthy-RB11	V20-arm-healthy-RA11	V20-arm-psoriasis-RC2	V20-arm-healthy-RA10	V20-arm-psoriasis-RC3	V20-arm-psoriasis-RB1	V20-arm-psoriasis-RA7	V20-arm-healthy-RC1	V20-arm-psoriasis-RA9	V20-arm-healthy-RA5	V20-arm-psoriasis-RB5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	18.862876254180602	19.264214046822744	5.217391304347826	3.612040133779264	4.816053511705686	13.244147157190636	14.046822742474916	19.264214046822744	7.224080267558528	6.421404682274248	14.849498327759196	5.618729096989966	10.434782608695652	21.672240802675585	4.414715719063545	13.244147157190636	13.645484949832776	6.020066889632107	8.82943143812709	4.013377926421405	11.638795986622073	11.237458193979933	8.42809364548495	4.414715719063545	2.809364548494983	12.441471571906355	16.05351170568562	11.638795986622073	6.020066889632107	7.625418060200669	10.954160928585482	10.234113712374581	10.234113712374581	10.234113712374581	10.234113712374581	9.29251350656033	11.638795986622073	9.632107023411372	9.632107023411372	9.632107023411372	9.632107023411372	8.82943143812709	186.2207357859532	307.02341137123744	307.02341137123744	307.02341137123744	307.02341137123744	120.80267558528429
992.745__8.38_527	31.748031496062993	9.070866141732283	4.535433070866142	5.669291338582678	4.535433070866142	19.275590551181104	17.007874015748033	35.1496062992126	10.204724409448819	10.204724409448819	9.070866141732283	3.4015748031496065	5.669291338582678	28.346456692913385	9.070866141732283	12.47244094488189	11.338582677165356	4.535433070866142	7.937007874015748	6.803149606299213	13.606299212598426	18.141732283464567	13.606299212598426	6.803149606299213	6.803149606299213	5.669291338582678	24.94488188976378	15.874015748031496	7.937007874015748	9.070866141732283	13.206113941639648	12.283464566929133	12.283464566929133	12.283464566929133	12.283464566929133	11.076923076923078	10.204724409448819	9.070866141732283	9.070866141732283	9.070866141732283	9.070866141732283	7.937007874015748	224.50393700787401	368.503937007874	368.503937007874	368.503937007874	368.503937007874	144.00000000000003
990.729__7.93_5197	8.0	8.0	16.0	16.0	8.0	16.0	24.0	24.0	8.0	24.0	8.0	8.0	8.0	32.0	8.0	16.0	16.0	16.0	16.0	8.0	16.0	16.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	8.0	13.647058823529411	12.8	12.8	12.8	12.8	11.692307692307692	8.0	8.0	8.0	8.0	8.0	8.0	232.0	384.0	384.0	384.0	384.0	152.0
99.531__4.16_1538	3.8162544169611308	5.229681978798586	2.685512367491166	12.296819787985866	4.098939929328622	14.982332155477032	13.710247349823321	3.2508833922261484	5.512367491166078	7.915194346289752	10.600706713780918	5.936395759717314	7.773851590106007	18.51590106007067	14.416961130742049	26.713780918727913	11.590106007067137	15.547703180212014	4.6643109540636045	10.883392226148409	7.208480565371024	12.296819787985866	17.102473498233216	9.752650176678445	13.568904593639576	10.883392226148409	8.763250883392226	5.371024734982332	13.851590106007066	16.819787985865723	11.373934732903763	10.525323910482921	10.525323910482921	10.525323910482921	10.525323910482921	9.415602065778744	10.883392226148409	10.742049469964662	10.742049469964662	10.742049469964662	10.742049469964662	9.752650176678445	193.35689045936397	315.75971731448766	315.75971731448766	315.75971731448766	315.75971731448766	122.40282685512366
989.614__8.21_4778	5.739130434782608	34.43478260869565	11.478260869565217	5.739130434782608	5.739130434782608	11.478260869565217	17.217391304347824	11.478260869565217	5.739130434782608	22.956521739130434	11.478260869565217	11.478260869565217	5.739130434782608	28.695652173913043	5.739130434782608	11.478260869565217	17.217391304347824	5.739130434782608	11.478260869565217	5.739130434782608	34.43478260869565	17.217391304347824	17.217391304347824	5.739130434782608	5.739130434782608	17.217391304347824	5.739130434782608	11.478260869565217	11.478260869565217	5.739130434782608	14.854219948849103	12.626086956521737	12.626086956521737	12.626086956521737	12.626086956521737	9.7123745819398	11.478260869565217	11.478260869565217	11.478260869565217	11.478260869565217	11.478260869565217	5.739130434782608	252.52173913043475	378.78260869565213	378.78260869565213	378.78260869565213	378.78260869565213	126.26086956521739
987.717__8.03_4706	4.235294117647059	12.705882352941178	16.941176470588236	4.235294117647059	4.235294117647059	12.705882352941178	4.235294117647059	4.235294117647059	8.470588235294118	12.705882352941178	8.470588235294118	29.647058823529413	29.647058823529413	4.235294117647059	25.411764705882355	16.941176470588236	12.705882352941178	8.470588235294118	4.235294117647059	29.647058823529413	12.705882352941178	12.705882352941178	8.470588235294118	8.470588235294118	25.411764705882355	12.705882352941178	8.470588235294118	8.470588235294118	4.235294117647059	33.88235294117647	12.456747404844293	12.98823529411765	12.98823529411765	12.98823529411765	12.98823529411765	13.683257918552036	12.705882352941178	10.588235294117649	10.588235294117649	10.588235294117649	10.588235294117649	8.470588235294118	211.76470588235298	389.6470588235295	389.6470588235295	389.6470588235295	389.6470588235295	177.88235294117646
987.559__3.37_5387	22.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.366666666666667	11.366666666666667	11.366666666666667	11.366666666666667	11.846153846153847	11.0	11.0	11.0	11.0	11.0	11.0	187.0	341.0	341.0	341.0	341.0	154.0
987.044__3.24_6202	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	11.0	187.0	330.0	330.0	330.0	330.0	143.0
983.647__7.58_4359	15.881481481481481	17.303703703703704	9.244444444444444	18.014814814814816	4.266666666666667	23.94074074074074	17.77777777777778	14.459259259259259	17.77777777777778	18.962962962962962	16.355555555555554	6.162962962962963	6.162962962962963	35.55555555555556	4.266666666666667	19.437037037037037	7.111111111111111	7.822222222222222	7.111111111111111	7.348148148148148	6.162962962962963	12.088888888888889	20.385185185185186	9.244444444444444	7.111111111111111	8.533333333333333	20.385185185185186	11.377777777777778	29.155555555555555	7.822222222222222	15.839651416122004	13.574320987654321	13.574320987654321	13.574320987654321	13.574320987654321	10.611965811965812	17.303703703703704	11.733333333333334	11.733333333333334	11.733333333333334	11.733333333333334	9.244444444444444	269.27407407407406	407.22962962962964	407.22962962962964	407.22962962962964	407.22962962962964	137.95555555555555
982.62__7.48_4896	20.952380952380953	52.38095238095238	15.714285714285714	5.238095238095238	5.238095238095238	10.476190476190476	5.238095238095238	10.476190476190476	10.476190476190476	5.238095238095238	20.952380952380953	5.238095238095238	10.476190476190476	31.428571428571427	10.476190476190476	10.476190476190476	10.476190476190476	10.476190476190476	5.238095238095238	5.238095238095238	26.19047619047619	15.714285714285714	10.476190476190476	10.476190476190476	5.238095238095238	20.952380952380953	5.238095238095238	5.238095238095238	10.476190476190476	15.714285714285714	13.865546218487395	12.920634920634921	12.920634920634921	12.920634920634921	12.920634920634921	11.684981684981686	10.476190476190476	10.476190476190476	10.476190476190476	10.476190476190476	10.476190476190476	10.476190476190476	235.71428571428572	387.61904761904765	387.61904761904765	387.61904761904765	387.61904761904765	151.90476190476193
