#SampleID	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12
469.436__8.14_6062	6860.836111111111	230.63055555555562	4403.972222222223	301.1166666666667	6081.541666666666	343.4083333333333	43.98333333333333	765.1972222222223	147.17499999999995	1640.9166666666665	495.0944444444444	540.2055555555555	312.9583333333333	507.5	42.29166666666666
469.387_C35H48_9.38_3082	606.5733333333334	126.74666666666668	602.0466666666667	339.5	420.98	244.44	402.8733333333333	1606.966666666667	239.91333333333336	353.08	466.2466666666666	787.64	375.71333333333337	647.3133333333334	22.63333333333333
469.387_C28H52O5_8.81_132	151.37350241170063	84.6754577044759	1307.8502152377991	248.6041958404647	1275.475079093408	422.5876510554432	201.3312328198745	1003.0764742492607	250.6046107567035	206.8850163373269	107.33805300554951	2770.2324827550437	430.4840257248068	507.5	19.661972926715414
469.379_C30H48N2O2_9.61_97	251.3076923076923	307.15384615384613	614.3076923076923	307.15384615384613	474.6923076923077	363.0	195.46153846153842	1005.2307692307692	642.2307692307693	279.23076923076917	418.8461538461538	726.0	474.6923076923077	251.3076923076923	111.69230769230771
469.352_C20H48N6O4S_7.79_1676	38.193345323741006	70.83723021582735	447.8741007194245	53.209532374100725	464.1960431654677	363.0	536.6654676258993	988.1303956834532	1032.5260791366907	188.681654676259	745.5863309352518	889.5458633093526	1103.0368705035974	737.0989208633093	142.0008992805755
469.328_C25H44N2O6_9.37_817	332.74465558194765	251.5	1582.4786223277908	102.15320665083135	415.7814726840855	451.62470308788596	239.5522565320665	673.8527315914489	245.52612826603325	304.0700712589074	3151.814726840855	722.2410926365794	673.2553444180522	149.34679334916862	32.25890736342043
469.231_C20H36O12_2.35_4443	1686.666666666667	528.0	407.00000000000006	227.33333333333331	205.33333333333331	363.0	253.00000000000003	2071.666666666667	249.33333333333331	605.0	363.0	231.00000000000003	436.33333333333337	326.33333333333337	781.0000000000001
468.389_C22H51N4O6_6.7_183	786.5308441558441	458.02110389610397	679.8640422077923	448.3465909090909	609.0	394.25405844155836	49.94967532467532	461.15178571428567	163.8311688311688	565.1351461038961	305.41801948051943	148.71915584415584	136.26704545454544	338.79626623376623	795.1343344155844
468.389_C22H51N4O6_6.46_1461	2233.2296266559615	11.949417904456046	26.667603372139702	12.969490164592536	29.58209554395825	363.0	339.82978723404256	8.306302689682857	934.8233641107988	1188.967081493376	12.678040947410679	808.4801284624649	887.9000401445203	348.13608992372536	2922.9441991168205
468.245_C20H43NO6Se_3.54_1937	433.5	345.4453125	314.96484375	386.0859375	3.38671875	254.00390625	1757.70703125	677.34375	599.44921875	186.26953125	1720.453125	152.40234375	145.62890625	98.21484375	206.58984375
