index	V19-leg-healthy-GG9	V19-leg-psoriasis-GF8	V19-leg-psoriasis-GF9	V19-leg-healthy-GH2	V19-leg-psoriasis-GG8	V19-leg-psoriasis-GG1	V19-leg-psoriasis-GH6	V19-leg-psoriasis-partial-GF7	V19-leg-healthy-GG4	V19-leg-psoriasis-GH4	V19-leg-healthy-GF2	V19-leg-healthy-GF11	V19-leg-psoriasis-GG12	V19-leg-psoriasis-partial-GF4	V19-leg-psoriasis-GH1	V19-leg-psoriasis-GG2	V19-leg-psoriasis-GG10	V19-leg-psoriasis-GF10	V19-leg-healthy-GF1	V19-leg-psoriasis-GG5	V19-leg-psoriasis-GG6	V19-leg-psoriasis-GG7	V19-leg-psoriasis-partial-GF3	V19-leg-psoriasis-GF12	V19-leg-psoriasis-GG11	V19-leg-psoriasis-GG3	V19-leg-healthy-GH3	V19-leg-psoriasis-GH5	V19-leg-psoriasis-partial-GF5	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
393.22_C12H26N12O2_7.79_2966	9.0	5.0	3.0	5.0	19.0	2.0	5.0	9.0	8.0	3.0	2.0	12.0	3.0	7.0	3.0	2.0	7.0	8.0	11.0	4.0	4.0	1.0	6.0	3.0	3.0	6.0	5.0	4.0	8.0	7.428571428571429	5.758620689655173	5.758620689655173	5.758620689655173	5.758620689655173	5.2272727272727275	8.0	5.0	5.0	5.0	5.0	4.0	52.0	167.0	167.0	167.0	167.0	115.0
393.21_C12H26N9O6_2.58_1006	2.766101694915254	3.3220338983050848	5.111864406779661	3.2677966101694915	4.176271186440678	5.545762711864406	8.0	5.627118644067797	3.335593220338983	5.125423728813559	4.5152542372881355	2.4135593220338984	6.901694915254238	11.932203389830509	7.376271186440678	10.128813559322033	1.2881355932203389	2.847457627118644	2.847457627118644	3.023728813559322	10.657627118644069	6.2101694915254235	7.728813559322034	2.0203389830508476	3.023728813559322	4.989830508474577	4.0	3.2542372881355934	6.888135593220339	3.306537530266344	5.114669783752191	5.114669783752191	5.114669783752191	5.114669783752191	5.689984591679508	3.2677966101694915	4.5152542372881355	4.5152542372881355	4.5152542372881355	4.5152542372881355	5.335593220338983	23.145762711864407	148.32542372881355	148.32542372881355	148.32542372881355	148.32542372881355	125.17966101694917
393.211_C14H28N6O7_3.54_2639	0.9032258064516129	0.45161290322580644	7.0	2.4838709677419355	7.0	4.064516129032258	13.774193548387096	4.064516129032258	0.9032258064516129	7.225806451612903	8.129032258064516	2.032258064516129	3.6129032258064515	5.870967741935483	20.32258064516129	7.903225806451612	2.4838709677419355	10.161290322580644	10.387096774193548	1.3548387096774193	2.4838709677419355	1.8064516129032258	3.387096774193548	1.8064516129032258	4.290322580645161	11.741935483870966	1.8064516129032258	0.9032258064516129	9.709677419354838	3.806451612903225	5.450500556173527	5.450500556173527	5.450500556173527	5.450500556173527	5.973607038123168	2.032258064516129	4.064516129032258	4.064516129032258	4.064516129032258	4.064516129032258	4.17741935483871	26.645161290322577	158.06451612903228	158.06451612903228	158.06451612903228	158.06451612903228	131.4193548387097
393.114__2.5_5916	3.0	3.0	3.0	3.0	3.0	12.0	6.0	3.0	3.0	3.0	6.0	3.0	3.0	21.0	3.0	285.0	3.0	3.0	3.0	3.0	108.0	39.0	3.0	6.0	3.0	3.0	6.0	3.0	6.0	3.857142857142857	19.03448275862069	19.03448275862069	19.03448275862069	19.03448275862069	23.863636363636363	3.0	3.0	3.0	3.0	3.0	3.0	27.0	552.0	552.0	552.0	552.0	525.0
392.748__3.33_2698	4.35	1.05	5.85	3.5999999999999996	2.4	3.0	22.05	3.3	2.55	4.8	7.199999999999999	1.7999999999999998	2.85	8.549999999999999	16.05	10.2	1.5	10.799999999999999	8.4	2.4	13.649999999999999	6.6	4.2	3.3	2.85	9.0	3.9	3.9	12.0	4.542857142857143	6.279310344827586	6.279310344827586	6.279310344827586	6.279310344827586	6.831818181818181	3.9	4.2	4.2	4.2	4.2	4.5	31.799999999999997	182.1	182.1	182.1	182.1	150.29999999999998
392.373_C20H47N4O3_8.05_2030	5.0	5.478723404255319	6.4361702127659575	5.531914893617021	9.52127659574468	1.0106382978723405	10.106382978723405	6.75531914893617	3.882978723404255	3.829787234042553	3.5638297872340425	3.5638297872340425	1.8617021276595744	13.03191489361702	6.223404255319148	2.021276595744681	2.234042553191489	8.563829787234042	6.117021276595745	1.6489361702127658	2.4468085106382977	0.9574468085106382	7.659574468085106	2.6595744680851063	2.8191489361702127	11.436170212765957	4.627659574468085	2.7659574468085104	2.074468085106383	4.612462006079027	4.9596478356566385	4.9596478356566385	4.9596478356566385	4.9596478356566385	5.070116054158608	4.627659574468085	3.882978723404255	3.882978723404255	3.882978723404255	3.882978723404255	3.324468085106383	32.28723404255319	143.82978723404253	143.82978723404253	143.82978723404253	143.82978723404253	111.54255319148938
392.207_C21H29NO6_3.88_3667	4.0	7.5	4.0	2.0	1.5	22.0	6.0	7.5	4.0	8.5	3.0	4.5	7.5	35.5	5.5	184.5	0.5	1.0	0.5	6.0	149.5	46.5	16.0	2.5	2.5	7.0	2.5	2.5	7.0	2.9285714285714284	19.017241379310345	19.017241379310345	19.017241379310345	19.017241379310345	24.136363636363637	3.0	5.5	5.5	5.5	5.5	7.0	20.5	551.5	551.5	551.5	551.5	531.0
392.116__2.88_6265	4.0	6.0	2.0	4.0	8.0	100.0	2.0	6.0	2.0	12.0	4.0	2.0	4.0	148.0	10.0	3130.0	2.0	2.0	2.0	2.0	1060.0	270.0	84.0	2.0	4.0	2.0	2.0	2.0	4.0	2.857142857142857	168.3448275862069	168.3448275862069	168.3448275862069	168.3448275862069	221.0	2.0	4.0	4.0	4.0	4.0	5.0	20.0	4882.0	4882.0	4882.0	4882.0	4862.0
391.213_C15H30N6O4S_6.23_4106	6.705882352941176	5.470588235294118	5.470588235294118	8.823529411764705	6.1764705882352935	3.0	4.411764705882352	5.294117647058823	9.0	2.2941176470588234	4.588235294117647	4.941176470588235	1.7647058823529411	13.058823529411764	4.764705882352941	4.411764705882352	1.588235294117647	2.2941176470588234	4.588235294117647	3.0	3.176470588235294	1.588235294117647	5.470588235294118	5.647058823529411	3.5294117647058822	8.470588235294118	4.411764705882352	2.4705882352941173	6.705882352941176	6.15126050420168	4.935091277890467	4.935091277890467	4.935091277890467	4.935091277890467	4.548128342245988	4.941176470588235	4.588235294117647	4.588235294117647	4.588235294117647	4.588235294117647	4.411764705882352	43.05882352941176	143.11764705882354	143.11764705882354	143.11764705882354	143.11764705882354	100.05882352941174
390.733__3.26_5129	2.380952380952381	1.9047619047619047	4.0476190476190474	2.857142857142857	5.476190476190476	3.333333333333333	22.619047619047617	2.857142857142857	2.619047619047619	2.619047619047619	6.904761904761904	2.142857142857143	4.285714285714286	5.9523809523809526	24.523809523809522	5.0	1.6666666666666665	8.809523809523808	13.809523809523808	2.619047619047619	5.0	2.619047619047619	3.8095238095238093	0.9523809523809523	2.857142857142857	18.80952380952381	4.0476190476190474	4.523809523809524	14.761904761904761	4.965986394557823	6.338259441707717	6.338259441707717	6.338259441707717	6.338259441707717	6.774891774891774	2.857142857142857	4.0476190476190474	4.0476190476190474	4.0476190476190474	4.0476190476190474	4.166666666666666	34.76190476190476	183.8095238095238	183.8095238095238	183.8095238095238	183.8095238095238	149.04761904761904
390.285__4.05_4800	3.5	3.5	3.5	3.5	7.0	3.5	3.5	3.5	10.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	3.5	7.0	4.5	3.9827586206896552	3.9827586206896552	3.9827586206896552	3.9827586206896552	3.8181818181818183	3.5	3.5	3.5	3.5	3.5	3.5	31.5	115.5	115.5	115.5	115.5	84.0
390.217__3.06_3766	9.0	3.0	3.0	3.0	9.0	3.0	6.0	3.0	3.0	12.0	12.0	3.0	3.0	3.0	3.0	6.0	3.0	6.0	3.0	3.0	6.0	3.0	6.0	6.0	6.0	6.0	3.0	3.0	6.0	5.142857142857143	4.9655172413793105	4.9655172413793105	4.9655172413793105	4.9655172413793105	4.909090909090909	3.0	3.0	3.0	3.0	3.0	4.5	36.0	144.0	144.0	144.0	144.0	108.0
390.191__4.91_5957	2.417910447761194	9.940298507462686	2.1492537313432836	1.7462686567164178	5.776119402985074	33.3134328358209	8.194029850746269	4.164179104477612	2.014925373134328	10.208955223880597	1.4776119402985075	1.7462686567164178	3.3582089552238803	54.80597014925373	4.029850746268656	238.97014925373134	0.8059701492537313	2.417910447761194	1.6119402985074627	4.298507462686567	182.955223880597	71.73134328358209	54.67164179104478	2.1492537313432836	4.701492537313433	9.0	3.761194029850746	4.029850746268656	2.1492537313432836	2.1108742004264394	25.124034997426662	25.124034997426662	25.124034997426662	25.124034997426662	32.44640434192673	1.7462686567164178	4.029850746268656	4.029850746268656	4.029850746268656	4.029850746268656	5.2388059701492535	14.776119402985074	728.5970149253732	728.5970149253732	728.5970149253732	728.5970149253732	713.820895522388
