#SampleID	V7-arm-healthy-BA7	V7-arm-healthy-BB3	V7-arm-healthy-BB7	V7-arm-healthy-BB6	V7-arm-psoriasis-BB9	V7-arm-healthy-BA5	V7-arm-healthy-BA3	V7-arm-healthy-BA4	V7-arm-healthy-BB4	V7-arm-healthy-BA6	V7-arm-healthy-BA8	V7-arm-healthy-BB8	V7-arm-psoriasis-BB10	V7-arm-psoriasis-BA10	V7-arm-psoriasis-BA9	V7-arm-healthy-BB12
997.7__8.37_887	5016.475674580796	5129.387889102438	415.67192698898623	528.5841415106282	240.5841956474203	5453.733760228331	3889.936488520099	6496.695767893107	1596.2687582373314	2689.2294752736184	4403.760863426592	987.0593916516093	786.1420687528051	1635.751133903396	1216.3892652633756	0.7379883302068108
992.745__8.38_527	5114.425494390884	3455.5763401949544	437.81175975390846	479.10982425606835	241.9073335237268	5508.456078169401	3748.583494036226	6859.791479917285	1772.9415918870218	2847.0833391757906	4417.455310878167	888.9539074167419	682.4635849059433	1710.733114978705	1169.284123736782	1.1762106978463214
989.614__8.21_4778	3040.5026653608525	733.6856111067177	369.53865432226434	201.1517927567881	302.3498080818526	10168.326810346747	4743.8643413446225	11446.366499790136	2719.904034843333	4069.0726571893774	8157.016255761093	800.667084364906	429.67681916707727	2257.669657467167	1470.8965629112352	2.281102804458422
98.513__6.8_3090	8962.22553609504	1614.1461214217895	1566.8698751876784	2444.8573052497395	992.8011709163308	1823.5123547442806	1492.5786311055042	2059.893585914836	2127.4310805349946	1985.602341832661	2904.1122686668177	405.2249677209513	607.837451581427	1769.4823590481542	763.1736892077918	655.113697815538
98.512__5.19_2012	4827.836542089731	1855.385046463481	630.4473736691158	1570.1255884154784	1505.4028542365195	2840.608888965408	1021.180917045792	2814.240367633239	1857.7821847664056	412.3077881029959	1054.7408532867335	503.39904361412283	1085.9036512247508	1764.2937909523544	649.6244800925109	261.288075018759
973.655__5.42_3754	7189.714836710345	92.73654937516442	696.9414911557113	793.7276715079573	323.1605519710969	3845.5295758365114	1063.0281314838712	2536.28388094609	1885.913146026815	3353.4994121211193	4129.408707329918	1262.674938653985	782.7936678698375	2581.639747889402	2036.5594183742435	1.6198523908325655
970.671__7.82_2660	2886.1530023769647	5932.091905232242	267.2782335273601	366.70057160275496	292.1338180462088	4110.8554395784195	2942.320167393584	4559.869959912427	1317.9915790968735	1939.3811920680914	3430.070663601122	744.699136168623	803.7714993757569	1712.7757332079382	1582.041814634773	25.82398391568697
968.569__6.23_4939	21476.807012275225	1397.1420773224704	247.52055274142845	880.9854744493498	350.75187331605264	3725.712206193255	2437.6668653871484	2280.473718148516	716.7538280806293	5663.645633344156	5253.066517422354	408.2329495451048	932.6011347366617	4185.560816025672	1488.6425660136151	2.3461663766960044
964.712__7.85_1165	3048.067681318585	4187.352821836066	232.29705491488883	424.2692286441829	293.6423528887192	4471.986424672685	2785.74145956336	4697.097928950779	1584.36029190104	2017.3165295240344	3731.231226936241	904.0924159429884	980.4522973369867	1954.4697732081875	1735.5785963470205	3.431904781752744
961.584__7.56_4092	2009.337723843642	795.8195166859517	336.7162912986467	463.5684203291796	199.3100651327734	6399.233241925876	4387.459957204849	6846.3616263327	2649.4843077833234	3423.789703385697	5673.639063871229	1134.5654420490869	596.712414959627	1709.5607725186865	1758.6779168793091	0.6088902193465582
957.631__7.62_4085	2754.549934795725	580.2017245070749	298.5504019308251	355.28302547832686	251.4743951573661	6830.044572474064	4192.178757031356	6617.599003445121	2493.0165638320645	3317.852579948225	6047.8586137765915	1116.1439554664535	453.0562703155108	1739.8004554567215	1749.8594312630164	2.8165132257625003
