#SampleID	V17-leg-psoriasis-GA6	V17-leg-psoriasis-GA4	V17-leg-healthy-GA5	V17-leg-psoriasis-GA3	V17-leg-healthy-GA8	V17-leg-healthy-GA2	V17-leg-healthy-GB4	V17-leg-psoriasis-GB3	V17-leg-healthy-GA1	V17-leg-healthy-GA12	V17-leg-psoriasis-GA7	V17-leg-psoriasis-GA10	V17-leg-psoriasis-GB2	V17-leg-psoriasis-GA11	V17-leg-healthy-GB1	V17-leg-healthy-GA9
516.37__7.77_2188	5.175438596491229	6.4035087719298245	1.4035087719298245	10.614035087719298	6.578947368421053	2.1929824561403506	8.947368421052632	8.684210526315791	3.333333333333333	8.684210526315791	17.982456140350877	1.4912280701754386	2.8070175438596485	6.754385964912281	2.3684210526315788	2.456140350877193
516.374__2.45_6314	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0
516.355_C27H49NO8_6.63_2379	6.0	3.0	3.0	3.0	3.0	3.0	3.0	3.0	12.0	6.0	24.0	6.0	6.0	15.0	9.0	6.0
515.865__7.76_1229	2.996178343949045	7.864968152866242	2.568152866242038	12.038216560509555	6.794904458598727	2.67515923566879	11.98471337579618	9.844585987261146	4.440764331210191	10.272611464968152	20.331210191082803	2.5146496815286623	2.889171974522293	7.757961783439491	2.889171974522293	3.852229299363058
515.391_C25H50N6O5_7.67_181	6.271682513435304	6.4754030591153375	2.866639107069037	9.051012815212898	4.685572550640762	4.496403472509302	7.63952046300124	9.371145101281524	3.0267052501033485	5.776932616783795	11.495659363373294	4.234477056634973	5.151219512195122	6.431748656469615	3.0994625878462174	3.274080198429103
515.373_C17H46N12O6_7.82_2124	18.634146341463413	4.1951219512195115	4.097560975609756	7.804878048780488	3.7073170731707314	5.951219512195122	7.317073170731707	12.780487804878051	8.975609756097562	4.878048780487805	9.268292682926827	3.609756097560976	6.634146341463414	6.243902439024391	3.414634146341464	6.7317073170731705
515.357_C20H42N12O4_7.27_2158	6.885245901639345	9.836065573770492	1.9672131147540983	7.868852459016393	1.9672131147540983	4.918032786885246	16.721311475409838	2.950819672131148	8.852459016393443	2.950819672131148	6.885245901639345	5.9016393442622945	3.9344262295081966	2.950819672131148	41.31147540983607	4.918032786885246
515.325_C24H50N5O2Se_6.94_1551	4.51006711409396	6.7651006711409405	4.51006711409396	7.89261744966443	4.51006711409396	1.12751677852349	8.456375838926174	6.7651006711409405	1.12751677852349	7.89261744966443	9.02013422818792	4.51006711409396	5.073825503355705	3.946308724832215	7.328859060402684	6.201342281879195
515.262_C21H42N2O10S_6.88_2331	9.0	6.0	7.5	6.0	8.25	2.25	4.5	4.5	5.25	9.0	6.75	6.0	6.0	4.5	5.25	6.75
514.359__7.07_2209	8.651685393258427	8.651685393258427	6.179775280898878	2.4719101123595504	2.4719101123595504	3.707865168539326	7.415730337078652	4.943820224719102	2.4719101123595504	6.179775280898878	11.123595505617976	4.943820224719102	7.415730337078652	4.943820224719102	6.179775280898878	13.595505617977526
