index	V21-hand-psoriasis-RF3	V21-hand-psoriasis-RF4	V21-hand-psoriasis-RE9	V21-hand-healthy-RE6	V21-hand-psoriasis-RE7	V21-arm-healthy-RD11	V21-hand-psoriasis-RF5	V21-arm-psoriasis-RE1	V21-arm-healthy-RE4	V21-hand-healthy-RF1	V21-hand-psoriasis-RF8	V21-hand-psoriasis-RF2	V21-hand-healthy-RE12	V21-arm-psoriasis-RD7	V21-arm-healthy-RD8	V21-hand-healthy-RE8	V21-hand-psoriasis-RF6	V21-arm-healthy-RD4	V21-hand-psoriasis-RE5	V21-arm-psoriasis-RD6	V21-arm-psoriasis-RD3	V21-hand-psoriasis-RE10	V21-hand-psoriasis-RF7	V21-hand-psoriasis-RF9	V21-arm-psoriasis-RD9	V21-arm-healthy-RD12	V21-arm-healthy-RD1	V21-arm-psoriasis-RE2	V21-arm-psoriasis-RD10	V21-hand-psoriasis-RE11	V21-hand-psoriasis-RF10	V21-arm-healthy-RD5	V21-arm-healthy-RE3	V21-arm-psoriasis-RD2	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_hand	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_hand	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_hand	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
98.512__0.79_1293	1.7632241813602014	2.367758186397985	2.1662468513853903	2.5188916876574305	2.468513853904282	3.1234256926952138	1.2594458438287153	1.2090680100755666	2.619647355163728	0.5541561712846347	4.332493702770781	8.765743073047858	2.1662468513853903	10.277078085642316	1.4105793450881612	0.654911838790932	8.413098236775818	10.277078085642316	10.327455919395465	10.277078085642316	3.0226700251889165	12.594458438287154	12.745591939546598	11.63727959697733	10.982367758186397	2.619647355163728	10.931989924433248	6.801007556675063	4.584382871536524	0.9571788413098236	3.9798488664987404	12.392947103274558	11.838790931989923	12.342569269521409	5.092359361880772	7.1693954659949615	6.011260927544821	6.011260927544821	4.9818080044780295	6.011260927544821	6.512479963361574	2.619647355163728	8.53904282115869	4.156171284634761	4.156171284634761	2.4937027707808563	4.156171284634761	5.692695214105793	61.10831234256926	114.71032745591938	204.38287153652394	204.38287153652394	89.67254408060452	204.38287153652394	143.27455919395464
98.013__0.85_3287	0.30303030303030304	3.0303030303030303	0.6060606060606061	0.30303030303030304	1.5151515151515151	4.848484848484849	3.0303030303030303	3.0303030303030303	2.7272727272727275	1.8181818181818183	0.30303030303030304	5.454545454545455	3.3333333333333335	16.666666666666668	1.8181818181818183	3.9393939393939394	8.484848484848484	11.212121212121213	18.78787878787879	17.272727272727273	1.2121212121212122	16.060606060606062	10.90909090909091	16.666666666666668	14.84848484848485	2.121212121212121	16.363636363636363	1.8181818181818183	1.2121212121212122	2.4242424242424243	2.7272727272727275	13.333333333333334	14.242424242424244	13.636363636363637	6.338383838383838	8.522727272727273	6.942959001782532	6.942959001782532	5.538720538720539	6.942959001782532	7.2727272727272725	3.6363636363636367	8.030303030303031	3.1818181818181817	3.1818181818181817	3.0303030303030303	3.1818181818181817	3.0303030303030303	76.06060606060606	136.36363636363637	236.06060606060606	236.06060606060606	99.6969696969697	236.06060606060606	160.0
979.617__7.57_3001	9.0	6.0	6.0	3.0	6.0	3.0	12.0	9.0	3.0	3.0	3.0	3.0	3.0	6.0	3.0	3.0	3.0	3.0	3.0	3.0	9.0	9.0	6.0	3.0	9.0	6.0	18.0	3.0	3.0	3.0	6.0	3.0	9.0	3.0	5.0	5.8125	5.382352941176471	5.382352941176471	5.0	5.382352941176471	5.590909090909091	3.0	3.0	3.0	3.0	3.0	3.0	6.0	60.0	93.0	183.0	183.0	90.0	183.0	123.0
973.655__5.42_3754	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
971.361__7.54_5821	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
970.671__7.82_2660	3.0	3.0	3.0	12.0	6.0	3.0	3.0	3.0	9.0	3.0	3.0	9.0	3.0	6.0	6.0	6.0	3.0	6.0	3.0	15.0	12.0	3.0	9.0	3.0	6.0	3.0	12.0	12.0	3.0	3.0	3.0	3.0	3.0	27.0	5.75	8.0625	6.176470588235294	6.176470588235294	4.5	6.176470588235294	6.409090909090909	4.5	6.0	3.0	3.0	3.0	3.0	3.0	69.0	129.0	210.0	210.0	81.0	210.0	141.0
97.514__0.92_2897	1.0	2.0	2.0	1.0	4.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0	2.0	9.0	2.0	2.0	8.0	10.0	8.0	14.0	3.0	20.0	14.0	9.0	21.0	1.0	12.0	10.0	3.0	3.0	6.0	10.0	9.0	9.0	4.416666666666667	7.375	6.088235294117647	6.088235294117647	4.944444444444445	6.088235294117647	7.0	2.0	9.0	3.0	3.0	2.5	3.0	5.0	53.0	118.0	207.0	207.0	89.0	207.0	154.0
969.668__7.79_1917	2.2222222222222223	17.77777777777778	2.2222222222222223	2.2222222222222223	2.2222222222222223	8.88888888888889	11.11111111111111	2.2222222222222223	2.2222222222222223	4.444444444444445	2.2222222222222223	13.333333333333332	2.2222222222222223	4.444444444444445	2.2222222222222223	8.88888888888889	2.2222222222222223	6.666666666666666	2.2222222222222223	4.444444444444445	17.77777777777778	2.2222222222222223	4.444444444444445	2.2222222222222223	6.666666666666666	6.666666666666666	20.0	2.2222222222222223	11.11111111111111	2.2222222222222223	13.333333333333332	2.2222222222222223	4.444444444444445	15.555555555555555	5.9259259259259265	7.361111111111112	6.339869281045751	6.339869281045751	5.432098765432099	6.339869281045751	6.565656565656567	4.444444444444445	5.555555555555555	4.444444444444445	4.444444444444445	2.2222222222222223	4.444444444444445	3.3333333333333335	71.11111111111111	117.77777777777779	215.55555555555554	215.55555555555554	97.77777777777779	215.55555555555554	144.44444444444446
969.668__6.85_3076	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	12.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	8.0	4.0	8.0	4.0	4.0	8.0	4.0	5.0	4.9411764705882355	4.9411764705882355	4.888888888888889	4.9411764705882355	5.454545454545454	4.0	4.0	4.0	4.0	4.0	4.0	4.0	48.0	80.0	168.0	168.0	88.0	168.0	120.0
969.111__7.53_5447	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
968.569__6.23_4939	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	20.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.333333333333333	5.25	4.588235294117647	4.588235294117647	4.0	4.588235294117647	4.181818181818182	4.0	4.0	4.0	4.0	4.0	4.0	4.0	64.0	84.0	156.0	156.0	72.0	156.0	92.0
967.688__8.07_678	7.356321839080461	5.977011494252874	6.8965517241379315	4.367816091954023	4.8275862068965525	9.195402298850576	2.0689655172413794	0.9195402298850576	4.597701149425288	2.528735632183908	3.218390804597701	5.057471264367816	3.218390804597701	2.7586206896551726	4.8275862068965525	2.7586206896551726	5.977011494252874	2.528735632183908	4.137931034482759	8.045977011494253	2.7586206896551726	2.528735632183908	1.8390804597701151	5.74712643678161	2.7586206896551726	7.586206896551725	18.390804597701152	2.988505747126437	2.298850574712644	1.6091954022988506	7.816091954022989	5.74712643678161	2.528735632183908	27.35632183908046	5.689655172413794	6.580459770114944	5.388776200135227	5.388776200135227	4.329501915708813	5.388776200135227	5.224660397074191	4.482758620689656	3.7931034482758625	4.252873563218391	4.252873563218391	4.252873563218391	4.252873563218391	3.67816091954023	68.27586206896552	105.2873563218391	183.2183908045977	183.2183908045977	77.93103448275863	183.2183908045977	114.94252873563221
967.654__8.04_3935	7.466666666666667	3.7333333333333334	11.200000000000001	11.200000000000001	3.7333333333333334	26.133333333333333	3.7333333333333334	3.7333333333333334	3.7333333333333334	11.200000000000001	7.466666666666667	3.7333333333333334	11.200000000000001	3.7333333333333334	3.7333333333333334	3.7333333333333334	3.7333333333333334	11.200000000000001	3.7333333333333334	7.466666666666667	3.7333333333333334	7.466666666666667	7.466666666666667	3.7333333333333334	7.466666666666667	3.7333333333333334	7.466666666666667	3.7333333333333334	3.7333333333333334	3.7333333333333334	7.466666666666667	7.466666666666667	3.7333333333333334	3.7333333333333334	8.71111111111111	6.533333333333333	6.478431372549019	6.478431372549019	6.42962962962963	6.478431372549019	5.260606060606061	7.466666666666667	3.7333333333333334	3.7333333333333334	3.7333333333333334	5.6	3.7333333333333334	3.7333333333333334	104.53333333333333	104.53333333333333	220.26666666666665	220.26666666666665	115.73333333333333	220.26666666666665	115.73333333333333
965.799__6.18_5877	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
965.514__3.3_5490	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
964.712__7.85_1165	4.0	20.0	16.0	8.0	4.0	8.0	4.0	8.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	16.0	4.0	12.0	4.0	4.0	4.0	4.0	28.0	6.0	7.75	6.823529411764706	6.823529411764706	6.0	6.823529411764706	7.2727272727272725	4.0	4.0	4.0	4.0	4.0	4.0	4.0	72.0	124.0	232.0	232.0	108.0	232.0	160.0
964.677__6.67_5749	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
964.583__5.02_189	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444444	4.444444444444445	4.4444444444444455	4.4444444444444455	4.444444444444445	4.4444444444444455	4.444444444444444	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	4.444444444444445	53.33333333333333	71.11111111111111	151.11111111111114	151.11111111111114	80.0	151.11111111111114	97.77777777777777
963.622__7.98_3912	4.0	4.0	8.0	12.0	8.0	4.0	12.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	8.0	4.0	8.0	4.0	4.0	16.0	4.0	4.0	4.0	4.0	12.0	12.0	16.0	4.0	4.0	4.0	4.0	4.0	12.0	6.666666666666667	7.25	6.470588235294118	6.470588235294118	5.777777777777778	6.470588235294118	6.363636363636363	4.0	4.0	4.0	4.0	4.0	4.0	4.0	80.0	116.0	220.0	220.0	104.0	220.0	140.0
962.733__8.07_615	4.0	4.5	4.5	6.0	2.5	5.5	5.5	2.0	6.5	1.5	4.5	7.0	2.0	1.5	5.5	3.5	3.0	8.5	3.5	9.5	7.0	4.5	10.0	2.0	1.0	5.5	16.5	4.0	4.0	3.0	3.0	8.0	5.0	40.0	6.166666666666667	8.125	6.014705882352941	6.014705882352941	4.138888888888889	6.014705882352941	5.931818181818182	5.5	5.5	4.5	4.5	3.75	4.5	4.0	74.0	130.0	204.5	204.5	74.5	204.5	130.5
962.698__8.06_4795	4.0	8.0	4.0	12.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	5.666666666666667	4.25	4.705882352941177	4.705882352941177	5.111111111111111	4.705882352941177	4.181818181818182	4.0	4.0	4.0	4.0	4.0	4.0	4.0	68.0	68.0	160.0	160.0	92.0	160.0	92.0
961.607__7.73_3285	8.0	4.0	4.0	4.0	16.0	4.0	8.0	8.0	4.0	4.0	12.0	4.0	12.0	4.0	8.0	4.0	4.0	16.0	8.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	8.0	8.0	8.0	4.0	4.0	4.0	4.0	4.0	6.333333333333333	6.25	6.235294117647059	6.235294117647059	6.222222222222222	6.235294117647059	6.181818181818182	4.0	4.0	4.0	4.0	4.0	4.0	4.0	76.0	100.0	212.0	212.0	112.0	212.0	136.0
961.584__7.56_4092	4.0	8.0	4.0	4.0	4.0	4.0	12.0	8.0	4.0	8.0	4.0	8.0	4.0	4.0	8.0	8.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	8.0	8.0	12.0	8.0	12.0	4.0	4.0	4.0	4.0	8.0	6.0	6.75	6.0	6.0	5.333333333333333	6.0	6.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	72.0	108.0	204.0	204.0	96.0	204.0	132.0
957.631__7.62_4085	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	12.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	12.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	4.0	12.0	4.666666666666667	5.0	4.823529411764706	4.823529411764706	4.666666666666667	4.823529411764706	4.909090909090909	4.0	4.0	4.0	4.0	4.0	4.0	4.0	56.0	80.0	164.0	164.0	84.0	164.0	108.0
955.525__7.06_3916	4.0	4.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	4.0	8.0	4.0	4.0	4.0	12.0	16.0	4.0	12.0	4.0	8.0	4.0	4.0	4.0	4.0	4.0	28.0	12.0	4.0	8.0	4.0	12.0	4.0	4.0	4.0	9.333333333333334	7.5	6.470588235294118	6.470588235294118	5.555555555555555	6.470588235294118	4.909090909090909	6.0	4.0	4.0	4.0	4.0	4.0	4.0	112.0	120.0	220.0	220.0	100.0	220.0	108.0
