#SampleID	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12
9_332.15_5.5_C10H25N3O7S	12907843.083285825	13330594.590334013	12144347.376183337	10993260.871823316	12526226.57781989	11401172.297909915	12975403.961015085	11481062.0	9099592.81937608
99_491.154_5.54_C20H28N4O7S_Nitrobenzenes_1-methoxy-3-[2-methyl-5-nitro-3-[(3-nitro-4-pentoxyphenyl)methyl]imidazol-4-yl]sulfanylpropan-2-ol	15067714.499999998	8701842.428094981	13007309.607614685	12467745.199561145	12437409.790272528	11126237.392071422	13767610.425637467	6880085.3119496275	8627797.146349227
999_411.273_4.19_C23H38O6	6135598.406672638	6588221.557423447	7523402.588243336	16534199.326735325	9525231.176298564	6959850.61078355	10782464.81073766	16607725.79429314	7365866.500000001
998_513.357_7.68_C26H46N6O3	28540276.40820229	18672064.921623405	15224434.5	20830026.21678036	5548639.038053462	4021661.4582101637	3045809.8210822963	16108807.22260225	880181.5073613619
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	28430385.58718338	26212107.955565903	15224434.500000002	22120098.51836033	689109.6581856565	1290806.749174212	6518157.32975731	27333980.75139476	3437939.231223282
996_561.327_5.1_C24H44N6O9	14283262.708413996	14642585.48028643	1479313.7881391225	15215061.962165652	12656956.060377568	10972870.976740217	851371.5981559777	11481062.0	10390868.267497813
995_606.348_5.19_C29H51NO12	15363957.181428775	13634844.589542976	12669620.544759136	11487536.535561442	12387910.910965275	10531684.192131078	11371245.768732585	11481062.0	6925951.768083546
994_315.159_2.89_C19H22O4_Eicosanoids_15-Keto-17-phenyltrinorprostaglandin F2.alpha.	12723110.250691848	13565155.87019129	10528790.615763502	10630917.765504666	10406977.203722546	9492002.656259056	10620777.344772747	11481062.0	10106125.057163598
993_259.153_3.46_C9H18N6O3_Aminotriazines_1-[[4,6-bis(1-hydroxyethylamino)-1,3,5-triazin-2-yl]amino]ethanol	4870358.247146017	3876865.031504762	15224434.5	8788505.401202431	3747072.380496308	8286723.347431882	16609465.273077855	15381575.861027902	16557880.638432378
991_403.232_4.44_C20H34O8	5178390.708630556	7812871.286348534	5693517.193046164	10189231.631156975	12074343.28934985	9814556.057787338	10070764.00498954	11481061.999999998	8830620.890200177
990_1199.857_8.98	15912899.866984025	20194859.87905901	9720746.917330796	25159534.331989184	2518169.049641003	2021111.4525817325	4428596.065147998	22609124.48998512	7365866.5
98_283.169_3.72_C19H22O2_ Enterodiol _1,2-Diethyl-1,3-bis(p-hydroxyphenyl)-1-propene	12194513.035543142	12485613.93761289	12175984.78697078	12240794.653900255	12369713.643271904	11420392.279915353	13477931.885158556	11481062.0	11510639.005101485
988_381.225_5.81_C17H28N6O4	21171644.029772148	20128926.041517694	24877162.60951489	13431034.5	8731256.217153763	5131585.440498143	6088316.7062745085	8764110.546769803	11527773.660028618
987_346.258_4.58_C18H35NO5_Fatty acids and conjugates	12060611.74553146	11009530.498256834	10001516.719600754	12386582.368560592	10696990.254742468	11918795.190102926	15245321.046356093	11481062.0	8800724.892070355
986_118.086_4.38_C5H11NO2	21203608.37598809	13336976.709668836	15224434.500000002	11271824.534503136	33396377.74038783	20324544.904342234	5365195.514568142	9308770.87810892	14215157.648819795
985_583.441_6.66_C32H66BO3Se_ Decaethylene glycol tridecyl ether 	14498218.469920198	17519927.446308106	17033669.282905858	13431034.5	1958987.9394575844	886223.8514675859	2543831.334396661	19493737.14337584	13582153.018840704
984_503.247_3.02_C20H34N6O9_Fatty acyl glycosides_NCGC00384970-01!7-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5-hydroxy-3-(4-hydroxyphenyl)chromen-4-one_Amino acids, peptides, and analogues_5-amino-2-[[2-[[4-amino-2-[(2-amino-4-methylpentanoyl)amino]-4-oxobutanoyl]amino]-4-carboxybutanoyl]amino]-5-oxopentanoic acid	14659557.284531536	6464675.585226795	15776970.630328463	10712941.25772529	11968006.639945725	19383148.545262165	9884318.93854835	7294741.360794656	7365866.5
982_601.323_5.25_C26H44N6O10	15067714.5	13197214.719384862	11540872.812239304	11387093.102906987	9682568.347276643	10448245.647708526	12599537.899668327	10495673.749892993	8063093.851955585
981_620.442_6.86_C38H57N3O4_Anthraquinones_N-[2-[[5-(1-hexadecoxybutan-2-ylamino)-9,10-dioxoanthracen-1-yl]amino]ethyl]acetamide	12088638.328582382	20476277.4623035	15070526.533448307	15147750.242322247	10900852.670704735	6463283.098988925	15015076.49103885	7673749.432730853	7365866.5
980_325.199_4.26_C18H28O5	19186579.059400387	13176025.237725072	12786558.43058442	8627089.753988376	12388998.137231832	7680718.999999999	11401824.585440472	9588861.760688445	8059637.955735788
97_469.379_9.61_C30H48N2O2_Alcohols and polyols	12434798.771967215	14443531.087213116	22532603.15852459	12736908.843180327	30629762.59930328	16746456.364614755	7270119.5	5840510.942770492	13426378.372811476
978_356.264_3.49_C17H33N5O3_Oxadiazoles	14450272.8624058	5522917.463117559	6300799.486816414	7886016.919663062	259795629.87404907	53849607.56584221	9776354.679180564	11481062.0	8314322.5238147965
