#SampleID	V16-back-psoriasis-BG9	V16-back-healthy-BG3	V16-back-healthy-BH8	V16-back-healthy-BG10	V16-back-healthy-BG2	V16-back-healthy-BH9	V16-back-healthy-BH10	V16-back-healthy-BG4	V16-back-psoriasis-BH7	V16-back-psoriasis-BG12	V16-back-psoriasis-BH1	V16-back-psoriasis-BG6	V16-back-healthy-BG1	V16-back-healthy-BG5	V16-back-healthy-BH11	V16-back-psoriasis-BH2	V16-back-healthy-BH12	V16-back-psoriasis-BH5	V16-back-psoriasis-BG7	V16-back-healthy-BH3	V16-back-healthy-BF12	V16-back-healthy-BH4	V16-back-psoriasis-BG8	V16-back-psoriasis-BG11	V16-back-psoriasis-BH6
997.7__8.37_887	861822.8770736755	1542752.964031299	3560390.906438294	3049612.145733324	747614.3449962513	1753728.5923695075	3942877.213284195	1464020.9447618243	898018.498695868	1697380.0	2164958.4600048573	1540685.2573311229	3613553.3377205683	4370510.361638455	2858694.1327363537	3699244.150759776	2152336.415463733	3277723.7858055527	3188268.2266211887	467513.93379021954	3542256.1722932663	897140.2252188514	3916808.62257046	5103916.0341714285	2510775.952987888
992.745__8.38_527	1531524.3113914712	869678.8454992234	3023247.274996632	1514427.059265721	3412364.285258388	1402820.3559701864	1685903.8860994691	4409389.3403967125	2420715.9034175123	2427853.766958137	1282487.873114482	4121689.4746080036	4711015.798636966	6727343.284471205	1245246.8459460037	4894399.409434859	4171988.1369274314	1028692.8591437427	5978516.744498578	1140506.4570346577	968083.0874270436	3646750.0	1786247.764858981	6708438.290818318	3319466.0257501295
99.013__7.26_2802	723409.6057472648	977153.3949303707	2673713.1675553364	1446273.2560848792	3037786.669388443	1538392.8863425732	878934.8153653577	1711628.942843903	814259.7895634486	1778057.9671990662	2265948.549552857	2218074.0	1564863.047157662	2440861.183057906	3073635.516531661	2742543.5948003805	1276059.309724011	1430802.2947209415	3601542.361160526	3126148.6847850946	3635260.780837235	6967852.692602579	3791433.394791955	2494547.6882430827	14636170.180349773
99.013__0.88_2719	883492.0593122912	1067948.6325494014	839116.8629106914	1849786.6896407518	1016621.1769856222	9501124.855673635	11354629.37498985	2435277.2345456383	1900290.8358806388	2458372.2372369845	2840274.8525298657	1624730.3813301746	3351091.2417577514	6932252.745608581	1391462.1505918645	5826807.077980609	2392972.073015538	1125546.1766927063	2027745.0	4257325.456908292	1708778.5017377746	3780824.600300225	4694884.958652448	9761301.187429093	2771876.6662132754
98.513__6.8_3090	1030386.7950777408	1872306.757117113	839415.0949648976	836630.6109394233	1169272.785042367	2014345.490805067	1103723.2265664171	1354427.617896957	2640585.63039284	930893.9089118785	2169529.559899853	1045260.7475159757	2005364.1943389676	4554748.958380895	2688734.0	2431025.6631195317	1047119.4072965293	1870808.3441307428	3135213.8271938064	9363594.437312812	905435.4115314852	7525202.294980792	10005821.154400555	15326154.647197995	5035261.757624427
98.512__1.43_3070	1909892.5908476552	1787563.4920928385	2570239.2470156997	1572470.0208305863	1728080.022853849	1684397.0200650522	1193417.967095311	1845396.9547634355	3098106.844733932	1693136.4616349284	1676659.701128522	1837313.6094292558	1254983.8094342009	3287271.6413500137	1842789.2163760203	2423845.0000000005	2688159.0061837942	4717087.563225701	4635176.522866212	11845238.013421115	5238484.311940043	3921661.878612937	3395990.5164333438	6832635.250394214	4753998.5253354255
98.013_CH6O3P_4.59_3833	1911096.8254187875	2026908.0945703413	1544918.5046004844	1743449.474862875	1347814.1731887138	1802105.304827791	1865866.1510352327	2296609.6750219897	1525719.9559322034	2640236.039211346	3644333.963048871	1277749.8419143157	1624432.3016059694	2332059.0	2299504.438182537	2658408.9751356426	2343373.0066521717	2276722.006779661	2884875.7927459604	4934534.052250828	2924261.6268626773	5934653.98149034	3644875.5787676037	9959506.405791372	10605248.322637744
979.617__7.57_3001	1745691.6652353918	1723819.0	1693297.0679034647	4990851.333744727	1885739.3873765818	2747631.4805336148	1436236.679147967	1090826.8918645096	1086939.3636017859	2120424.246544296	1006229.6350428595	1174457.1018546359	2242831.10038484	2609401.806435688	4648002.2864711415	3086610.4063874427	5223018.002963154	1479579.7181368368	3285154.7913674717	717277.9758773899	3560589.06992191	4270061.043775245	7405149.507826947	5056591.177351674	3344046.0093135717
978.691__7.53_4572	1322021.5417175416	2132514.4585207026	1363180.5200472518	1855567.7989219453	2723751.076645125	2619284.747411577	3094181.8816125155	2554878.2096746974	4885033.239901924	1029744.3732491536	1498501.5563298492	3194682.422228178	2438378.93207064	4371955.100509247	1601587.8492311663	2454619.7806962687	1332146.6503866506	2438960.0	1528688.0352601327	2434379.247823541	1917519.324657276	2684533.8336460292	4529661.778770462	3301598.9212305313	6089587.0574664725
974.658__7.53_3150	1213557.6308186196	2179941.701444623	1707058.048154093	2829645.174959872	3257890.27929374	3939895.929373997	1648335.09470305	1829352.0128410915	1358002.4398073836	1156610.02247191	1710335.6083467097	2624233.194221509	3200532.975922954	3335463.7560192617	1930910.8571428573	2766597.6629213486	2096359.3643659712	2438960.0	3101728.1926163724	4.552166934189406	2626003.9871589085	4965435.409309791	5073799.74317817	6160602.285714286	3500980.545746388
97.514__5.71_3499	1910729.6865396898	1059880.797095641	1076932.03934648	1382544.8744245644	1414597.7211109246	1188570.6403280615	1360710.3132843594	3253379.5134209865	2131536.109300557	3780490.2904012767	2124065.210613233	1031464.9672985901	1833871.3834163419	3003970.363797842	2046915.3480681316	1846585.3677734898	1812054.2660022248	2234242.2765447423	3298160.0502492776	7996764.729850087	5958128.921771494	5325930.908936032	4461294.0	9974327.56093437	9742307.31425991
969.668__7.79_1917	1697707.0543332042	1342159.10878041	4416423.847912629	2199344.0	2673185.853211428	2241509.441802139	3271008.146141043	1809847.357760095	3308674.7946282406	760108.3817141294	2492544.974249299	774322.5627579289	3302307.712624547	2488606.3809936387	2531587.04999202	3287771.1658177343	903419.3053193188	1109074.3347545543	669553.6897786086	2704367.9352835217	1652989.9084247246	1430378.43985499	3314414.3379466017	4990134.614505575	6268902.286910326
969.668__6.85_3076	2137976.4466180527	1636585.7320667454	2285181.7593496256	4049783.5401668637	7455144.060800157	996998.3632453028	6628099.926547103	1024407.6857981869	1662735.485351465	6406054.293734069	3548151.864538168	1215971.7423216396	2366615.6507305214	5089755.121009067	1326216.911614768	2192740.327842596	1878401.1260018398	2724968.583911444	3906384.317180397	3314419.619471817	2795750.9003941664	3252728.107272369	3883848.980056497	6111287.7030429635	4168079.0
968.569__6.23_4939	3236465.031414482	1246466.2949176892	3122559.03023668	2511839.9165884685	2552489.1116671884	1289555.479994748	2248632.4848526977	1834353.3319431408	1291424.4085041145	2534033.4426371944	1992350.4715377456	2943505.296103214	4256328.9360395735	2208061.161795201	2688734.0	4607760.176353603	1937352.058681557	1069956.3801441938	4797690.036117965	2098905.353912039	1426641.386156775	3585689.897793842	4578869.656479646	3839246.390365968	6087666.025027322
