index	V13-leg-psoriasis-BB3	V13-leg-healthy-BA2	V13-leg-psoriasis-BA9	V13-leg-psoriasis-BA12	V13-leg-psoriasis-BB2	V13-leg-psoriasis-BA8	V13-leg-psoriasis-BA7	V13-leg-psoriasis-BB7	V13-leg-psoriasis-BA10	V13-leg-healthy-BA1	V13-leg-healthy-BB9	V13-leg-psoriasis-BA6	V13-leg-psoriasis-BB12	V13-leg-healthy-BC1	V13-leg-psoriasis-BB4	V13-leg-healthy-BB8	V13-leg-psoriasis-BB6	V13-leg-psoriasis-BA5	V13-leg-psoriasis-BB5	V13-leg-psoriasis-BB1	V13-leg-psoriasis-BA11	V13-leg-healthy-BA4	V13-leg-psoriasis-BB10	V13-leg-psoriasis-BA3	V13-leg-psoriasis-BB11	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
98.513__3.11_2260	1112234.5278106176	494875.01414561504	693243.4821156065	587498.2579116866	1217153.4584349226	1294284.5	469903.02087594237	1645409.1692150233	550726.3539315496	1592009.701993138	2185822.862594851	4714773.234705476	1108283.5058340027	1512933.7587045217	2288337.2045321395	1490738.83208035	1837540.6276367903	867476.7405272002	2228461.7249862305	3587756.0759876235	1444113.328235451	811169.7062905845	3601222.1953715626	4736012.619933837	4342339.037292188	1347924.9793015101	1856572.7576458764	1856572.7576458764	1856572.7576458764	1856572.7576458764	2017198.371859887	1501836.295392436	1490738.83208035	1490738.83208035	1490738.83208035	1490738.83208035	1444113.328235451	8087549.87580906	46414318.94114691	46414318.94114691	46414318.94114691	46414318.94114691	38326769.06533785
98.513__1.96_2602	1158458.0042226263	818550.329441658	672390.7003761401	1063695.0099401327	1370617.5	2018554.6348674288	735685.9196678941	3134629.229498301	1887839.4033646202	2534102.211799552	1640056.8555100553	2803029.038542466	874007.389496077	1104178.0935724154	1171497.661549259	941986.4243119431	627740.1679216005	1815464.288472862	1495966.0925655614	3659388.3980187336	1268125.4534813066	3084619.295354831	2647022.3655553935	2679238.099194117	3411105.931753942	1687248.8683317425	1784717.9399391564	1784717.9399391564	1784717.9399391564	1784717.9399391564	1815497.6467625506	1372117.4745412352	1495966.0925655614	1495966.0925655614	1495966.0925655614	1495966.0925655614	1495966.0925655614	10123493.209990455	44617948.49847891	44617948.49847891	44617948.49847891	44617948.49847891	34494455.28848846
98.512__6.24_2325	916014.384609831	549258.684618366	996936.2806925346	639384.1625936414	990387.6383495511	769337.1301333219	769617.773465613	917607.9739775859	919088.5016207075	1554657.2555480513	2162713.9358482687	1718534.6393502802	1291180.0	1937196.014790881	3837385.8992754566	1664554.9500518085	1041687.2732015001	1910107.1405836265	1668504.51338109	2070589.0975725628	2350167.147100098	845197.0785193255	4034043.1393041443	3677213.275590042	5468974.28484566	1452262.9865627836	1788013.527000958	1788013.527000958	1788013.527000958	1788013.527000958	1894040.0134551183	1609606.10279993	1554657.2555480513	1554657.2555480513	1554657.2555480513	1554657.2555480513	1291180.0	8713577.919376701	44700338.17502395	44700338.17502395	44700338.17502395	44700338.17502395	35986760.25564725
98.512__5.67_2114	749914.3625448078	561447.3626172909	1285410.5620025021	476964.6493102335	2383350.62635953	1764571.7064411626	635385.5341437012	928184.8699797424	1435877.0	957301.7272658512	1689769.832021263	1989748.1068135565	1226033.6237881666	1496654.5155824632	1730916.691933003	1065722.8651116993	534189.426441379	3009572.664781148	1696166.4372768085	2208518.9810554488	2153657.019304755	1544989.7759844998	3288789.022342928	3110644.150563627	3593177.6560652857	1219314.3464305112	1660678.3667892343	1660678.3667892343	1660678.3667892343	1660678.3667892343	1800056.4784814625	1281188.6903470813	1544989.7759844998	1544989.7759844998	1544989.7759844998	1544989.7759844998	1730916.691933003	7315886.078583067	41516959.16973086	41516959.16973086	41516959.16973086	41516959.16973086	34201073.09114779
98.512__5.19_2012	618701.2952443127	691433.9536966794	462112.82582080807	587391.757811008	1370617.5	1478050.1163354053	782490.3298978037	589301.8655614349	1107682.637171409	2980381.9052480785	1504203.5280498997	1321752.8655183818	2627913.2592983767	1843160.7625745772	1522564.2827463236	1312459.5879016097	3433445.2314739446	3037610.980636457	1773605.2916283018	3452471.486021018	4507121.37558918	766502.4367248949	7308237.379659557	2377055.770572812	2521947.222861458	1516357.0290326234	1999128.6259217495	1999128.6259217495	1999128.6259217495	1999128.6259217495	2151582.814413052	1408331.5579757546	1504203.5280498997	1504203.5280498997	1504203.5280498997	1504203.5280498997	1522564.2827463236	9098142.17419574	49978215.64804374	49978215.64804374	49978215.64804374	49978215.64804374	40880073.47384799
98.512__4.61_1741	1266111.7956410835	335461.7507996672	416579.16629357974	325169.2025510883	694081.0845780342	690992.8541061917	1068496.3338312136	547936.4735739199	805439.3020566026	1318106.5	2495285.561276082	3226021.3253130773	1394569.1474500299	2200754.9529237123	2001960.8811383555	1859004.4176828247	3202406.4598196265	2317672.5178199047	1120195.3417413381	1241136.2181225307	2228481.5483449977	1033969.506836341	3967730.719840713	2042015.7066436736	1193739.3938292193	1540430.4482531045	1559732.7264885523	1559732.7264885523	1559732.7264885523	1559732.7264885523	1565828.1827734306	1588555.4588414123	1266111.7956410835	1266111.7956410835	1266111.7956410835	1266111.7956410835	1241136.2181225307	9242582.689518627	38993318.16221381	38993318.16221381	38993318.16221381	38993318.16221381	29750735.47269518
98.512__3.65_1856	454130.74412362266	958432.8224259028	563197.1060159655	552341.953273308	1370617.5	1969218.2363093337	998576.3005550115	516909.7033987668	500052.07049808354	1708401.0607808582	1337004.1199076094	2577425.4212352103	1590615.2028920597	1725872.9334925844	1282376.9077375173	1017158.0406246281	4053957.2496552933	1011423.6305435897	1324498.889312653	2131309.1138260784	2988991.470662485	1800471.8433912636	4465257.582171143	2790415.2062831004	5556865.011282589	1424556.803437141	1809820.8048159461	1809820.8048159461	1809820.8048159461	1809820.8048159461	1931483.121040832	1522702.590344234	1370617.5	1370617.5	1370617.5	1370617.5	1370617.5	8547340.820622846	45245520.120398656	45245520.120398656	45245520.120398656	45245520.120398656	36698179.29977581
98.512__2.39_1840	553410.302428265	1085337.5953785807	516923.7667144698	949478.0203592911	675208.4183879164	700744.887913615	1137291.230250098	615244.3884246374	725578.8745955249	2836361.860108345	1441567.1259813446	2184678.566211931	1145586.9852874046	1825136.9213106409	1631890.0702706196	1855609.7385383549	2408896.033734745	2905358.7757924884	2086820.0	2782080.2444698494	1971845.6538459985	1777628.8318950646	7766662.628920228	4048058.7783043752	3778435.358914613	1803607.0122020552	1976233.4023215359	1976233.4023215359	1976233.4023215359	1976233.4023215359	2030746.9992013718	1801382.8766028527	1777628.8318950646	1777628.8318950646	1777628.8318950646	1777628.8318950646	1631890.0702706196	10821642.073212331	49405835.0580384	49405835.0580384	49405835.0580384	49405835.0580384	38584192.984826066
98.512__1.43_3070	1168032.0	852825.1123987924	680148.7619749035	1026462.5161510684	862163.5804535322	2016115.449550926	1479513.2953635983	1163116.0627563838	1154312.661619252	3792594.8594240826	2748828.772086976	2827699.7028657	1310692.9249551606	1373049.9256512164	1228333.8031001915	2054258.6448542848	1713747.6238205472	1365408.8838507012	2298037.5176587584	1372191.433440766	3328202.728681571	1493039.2782103755	4034259.7011231775	1638576.8437618052	2292479.3411045275	2052432.7654376214	1810963.656994332	1810963.656994332	1810963.656994332	1810963.656994332	1734710.25432803	1773648.9615323301	1479513.2953635983	1479513.2953635983	1479513.2953635983	1479513.2953635983	1372191.433440766	12314596.592625728	45274091.4248583	45274091.4248583	45274091.4248583	45274091.4248583	32959494.83223257
98.512__0.79_1293	471872.7912089898	246992.47329162544	302956.9661396716	696109.1605299071	1740075.011922622	2212300.771897581	413908.85552109126	502105.0262221477	2181194.998052452	3291064.9341808935	1578409.280893411	2248887.943049522	1797036.5505631992	4087362.0421066023	2041229.2901585717	1295488.696989819	1572887.0	1896842.161506743	583845.8284345161	1489859.1139854656	943522.2852580894	1397735.5503687032	3400094.139121173	1877354.133051536	1008677.8792837848	1982842.1629718423	1571112.5153495246	1571112.5153495246	1571112.5153495246	1571112.5153495246	1441092.6266266876	1488072.4156310572	1572887.0	1572887.0	1572887.0	1572887.0	1572887.0	11897052.977831054	39277812.883738115	39277812.883738115	39277812.883738115	39277812.883738115	27380759.905907065
98.013__1.82_3349	893190.7402429859	830739.7673829811	1060362.1828578166	1023021.8022125567	1370617.5	1174522.3752415185	1193729.6532309637	1901474.0198583882	1596554.703561838	1539160.7249673028	2319344.500024597	1389659.6990961817	2210194.8008096702	1196238.3873976036	1269861.2487383354	1073315.0633419226	1174022.4884520583	2165788.5785217616	2229785.712846841	1150062.7983804892	1277850.1371503598	1507263.2976900723	3621572.837116772	1227280.194495665	3769425.3991100914	1411010.29013408	1606601.544509151	1606601.544509151	1606601.544509151	1606601.544509151	1668367.203785489	1351750.842543838	1277850.1371503598	1277850.1371503598	1277850.1371503598	1277850.1371503598	1277850.1371503598	8466061.74080448	40165038.612728775	40165038.612728775	40165038.612728775	40165038.612728775	31698976.871924292
