#SampleID	V4-forehead-healthy-3A6	V4-temple-psoriasis-3A9	V4-forehead-healthy-3A7	V4-temple-healthy-3B3	V4-temple-psoriasis-3B2	V4-temple-healthy-3B4	V4-abdomen-healthy-3B7	V4-behind-ear-healthy-3A12	V4-eyebrow-psoriasis-3A3	V4-eyebrow-psoriasis-3A4	V4-temple-psoriasis-3A10	V4-abdomen-psoriasis-3B5	V4-temple-healthy-3A11	V4-eyebrow-healthy-3A8	V4-eyebrow-psoriasis-3A5	V4-abdomen-healthy-3B6	V4-temple-psoriasis-3B1
999_411.273_4.19_C23H38O6	34623026.87995713	25509151.752971705	45574800.3986698	19712958.88841117	35772990.409592845	45906396.135956	159750514.51174268	24681539.5	28214797.428971764	90426297.33948404	65340788.14652271	74652690.83599752	58558822.98665834	17666414.6923857	53257302.81227162	79690991.53945288	29322446.82611373
998_513.357_7.68_C26H46N6O3	22308220.403446086	34093526.68433561	36434895.29598268	71833666.99902357	49200469.5	47478792.4428812	67388350.12945034	23833927.78156568	36414499.16519838	49608206.34728736	22163618.039647795	51989379.90363134	45416305.29662714	37793997.821026586	48824308.38816324	53402653.64924214	65676282.42848943
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	49047696.49854493	69359959.20745878	67318533.78054997	51190354.68252192	49200469.5	52392467.94567941	11784728.722229455	11990073.080805404	59112272.7452675	48684506.28699961	78272436.70260894	14961423.008695353	93502444.50307418	75166015.41420968	37375988.77172521	9042057.002684196	47607053.87845998
990_1199.857_8.98	13353014.038439402	13658734.563727513	28620283.05734113	105046030.79039946	37949461.55958504	39204936.49134008	73899707.41155571	20815538.068595294	114702717.94834068	50384444.82984088	25074051.768246487	84401319.11443204	43403739.312576056	129931042.63605598	41829033.74721167	54596452.97767577	52628729.5
988_381.225_5.81_C17H28N6O4	40707936.62747179	57059562.0528004	5932229.5654478185	60697549.01723828	57299618.45489628	37965923.14159205	20064784.891508427	33170612.67210263	51571896.31484069	58661139.5	50961680.04628875	13451968.493876293	51669142.36608572	59748073.36994524	52872100.25266528	19037590.794705994	51613310.19799223
985_583.441_6.66_C32H66BO3Se_ Decaethylene glycol tridecyl ether 	42211939.5	34586478.92346241	39366909.05276828	34399167.53291138	43169358.13186489	23364518.48778209	77560612.147073	25322944.93871237	88229476.21497267	59022433.30251488	7926828.618239618	41318748.85434734	22153454.51343224	79095683.20361713	50412012.56521846	75361868.67089291	47770680.0377937
981_620.442_6.86_C38H57N3O4_Anthraquinones_N-[2-[[5-(1-hexadecoxybutan-2-ylamino)-9,10-dioxoanthracen-1-yl]amino]ethyl]acetamide	37446487.91639239	45067345.78886929	63564610.9602135	39477588.46687023	35691280.45206907	18682670.610784974	79428603.44591108	20758831.952599	14304073.333142174	13959642.30570424	40387575.69353281	40129272.423674	41315540.541609295	47677675.74808145	33129234.853994913	44055625.31675768	52628729.5
979_751.569_9.98	8824945.653507132	21497012.713098653	24925404.187457245	28755505.619816426	29490651.44717416	85782752.8769605	156067124.71764463	32939454.11752865	53805638.23253408	167698624.8086952	32511369.0	52641388.0963273	32180770.44458725	81399525.1065221	140480325.57603922	365197311.6490109	39353974.50219121
978_356.264_3.49_C17H33N5O3_Oxadiazoles	302089606.18325114	30749849.5	124528543.10853018	21176245.038360067	69812062.67193645	17149591.350727886	22379431.45768529	22734578.609667353	874208391.221367	885398717.3024608	24756665.885223877	23307222.49228676	34722063.65974323	206855688.21444905	1264792678.3205163	21176245.038360067	171077092.29517168
975_271.274_4.74_C16H34N2O_N-[3-(3-Aminopropylamino)propyl]dodecanamide_Fatty amides	42211939.5	31351109.30471181	56454326.79657156	50138754.89570628	31492455.787505664	15429404.678561075	22077737.15418969	9407911.267233798	89302695.57152875	60391048.69275599	38517748.542589545	13283263.94495432	14486872.638259185	83103809.72998427	53436053.51964946	27500300.43951951	60656512.178197704
973_813.082_9.15	37079678.18968462	53269170.93888538	49845274.06348409	39412239.0	69261985.8621062	27068810.732659534	77443203.86649312	8677129.714054715	66427363.25034978	45974979.41699667	24010893.0511166	53953164.88055845	59133741.9941533	66796636.64767462	57426501.88204052	34510228.26984298	24253624.74782745
971_307.263_7.21_C20H34O2_Palmitoleic Acid ethyl ester_Lineolic acids and derivatives_Pinolenic Acid ethyl ester	44174157.178707175	42640263.30694176	45457745.62552677	73062026.09139213	54747846.84499669	76943147.17486575	12630915.242124645	23638291.106089	52317333.87890409	48204285.66476151	37568227.03909058	13670564.667282635	123830931.07176995	54942180.56406842	47757457.70171106	10640135.375237564	52628729.5
96_114.091_1.17_C6H11NO_Ynols	51648895.81218739	43248574.10773444	19342694.62303033	28751945.96064673	43104515.415404536	30307489.49422705	282416233.75831723	31134552.236770853	39551301.86884657	58661139.5	38087813.877603136	91932295.55278124	15433321.569470745	47115202.01550119	27664187.18717563	43192466.06108084	23416609.86660881
967_493.28_6.88_C20H40N6O6S_Amino acids, peptides, and analogues_6-amino-2-[[2-[[6-amino-2-[(2-amino-4-methylsulfanylbutanoyl)amino]hexanoyl]amino]-3-hydroxypropanoyl]amino]hexanoic acid	35252204.75000051	79080057.37519059	43311279.5	111183438.56157044	77928189.0015413	123566795.74338904	20339867.05354887	87058373.75384109	53805486.53154505	36305403.59774591	124581884.22069292	11169838.0410639	266601961.7243409	47046138.74431285	39363718.8517735	15310687.452801872	84175280.97941105
