#SampleID	V8-arm-healthy-BD3	V8-arm-healthy-BE3	V8-arm-healthy-BD4	V8-arm-healthy-BE4	V8-arm-healthy-BE5	V8-arm-healthy-BD6	V8-arm-healthy-BE7	V8-arm-healthy-BD5	V8-arm-healthy-BD8	V8-arm-healthy-BE8	V8-arm-psoriasis-BE10	V8-arm-psoriasis-BE9	V8-arm-healthy-BD7	V8-arm-healthy-BE6	V8-arm-psoriasis-BD10	V8-arm-psoriasis-BD9
2457_467.371_8.31_C26H52O5_Fatty acid esters_2,3,4-trihydroxybutyl docosanoate	3214420.914210116	2727900.882905571	34361642.47152213	44514064.6730004	112138894.069321	58662830.0929548	77084425.49730298	29277556.870368898	63230846.15436843	49355000.26729488	66578004.27939284	34461225.81630897	80744201.86201388	81454776.77579796	31628051.7045166	47992430.25876732
2456_239.089_5.54_C10H16O5_Alcohols and polyols_(3-acetyloxy-5-hydroxycyclohexyl) acetate	48838090.86319011	45424081.490623	77509051.94487242	8230025.687883618	13758182.019389298	11093027.539906373	32531458.349857505	34162320.58813301	117558599.08579521	9506125.936771527	95890557.23617612	92311606.52955529	10682835.675042422	94978582.07925949	56583585.79813239	22995994.271410227
2455_370.331_6.89_C22H43NO3_Lauric acid diethanolamide_Oleylamidoethylenoxyethanol	14626706.61640152	73299680.21414156	73003816.05691949	84004658.47205496	87185925.02483289	32183856.26207005	99220409.60238156	43963883.00290491	27527897.23657687	30833885.96347689	32016249.19215374	33000588.94503154	81908715.87918584	41223051.72281007	16052481.854655854	31796885.77472741
244_391.341_7.4_C22H46O5_ Nonaethylene glycol _Ethers_Tetradecyltetraglycol	33770254.23520345	42938642.01498486	80996775.63824329	77366906.36447394	49813922.87569195	61785646.70820088	2922164.717770635	47178964.51303128	77986390.8487032	35999927.85419932	21646653.604545973	12759129.067071365	80826907.62958968	70221139.4541115	18084075.406772926	22239574.84054148
2449_595.306_5.77_C34H38N6O4_Fexofenadine_Benzoquinolines	6511247.701301273	4968389.307810458	45367749.1031066	41334206.77222039	45127801.49653085	88468204.28065823	66217406.197517395	84631873.54608594	59837064.01200044	62569535.23894903	104921328.13648552	90941905.52978396	99473483.49102484	20434075.53181967	29766861.18619192	81035609.56970176
2448_589.441_8.99	20941718.308134533	44413536.59280243	34975928.54709949	47778620.26649813	29204702.005341116	155662718.5571895	158470463.903079	32036014.18876327	41262974.59266702	16157902.055707876	7728931.521083837	13577426.624311475	275689603.66088027	150953484.22066942	96141049.52102956	13342455.710792093
2445_664.43_7.07_C26H61N7O10S	29083222.384470794	23258431.67791628	18405713.0213196	133875277.9452227	19546438.90160245	56036103.59513679	98799878.09681617	22127572.99113882	109621730.40496051	17939605.594779193	50525058.31762991	53302593.41211692	46715655.98054238	58244694.74588173	16128421.144238075	46722328.08281745
2439_330.202_2.49_C15H27N3O5	27361972.28897897	31983352.86565913	57530469.42577127	35923395.35720276	47533601.94539356	34739573.22470897	51737383.65128896	43538106.80171884	39165898.20415936	44070256.24731445	37921515.95552956	40924682.52817841	19489935.52835726	38271820.03669218	38367344.194972426	29109585.70898077
2435_677.352_6.63_C24H54N8O10P2	9484357.187677523	53087303.66853295	83708358.45037974	83639024.44657393	66222345.02650361	27137904.77577897	78426609.07059897	70607385.53672792	79426968.99047156	46762193.83905376	14795405.674350034	9259474.70499446	75956047.1525047	93776593.45395751	13249310.399116853	9234576.239356622
242_279.231_5.97_C18H30O2_9(10)-Epoxy-12Z-octadecenoic acid_Fatty acids and conjugates_Eicosanoids_11-Hydroxy-12E,14Z-eicosadienoic acid	32692266.82337991	177502223.57292682	51798181.305733204	37471945.60354399	322534991.1415336	339197456.7364607	38434174.59313941	34028395.67471677	37264262.12792807	28759220.24520317	36006506.842773706	46160781.40028904	44551219.8753582	44753643.52342467	57945159.41646883	46951881.90357122
