#SampleID	V11-arm-healthy-BF3	V11-arm-healthy-BH1	V11-arm-healthy-BF4	V11-arm-healthy-BH2	V11-arm-healthy-BF5	V11-arm-healthy-BH3	V11-arm-psoriasis-BF11	V11-arm-healthy-BF6	V11-arm-psoriasis-BH5	V11-arm-healthy-BH4	V11-arm-healthy-BF8	V11-arm-psoriasis-BF9	V11-arm-psoriasis-BF10	V11-arm-healthy-BF7	V11-arm-healthy-BF12
492.403_C26H53N4O3_8.61_3629	70401262.02182429	15465937.05533582	119344283.55322774	12767648.55939205	487750862.9302405	26224289.749726165	18406142.055248585	33698817.5	20468733.337463804	221097567.6018941	22821528.70504843	21907696.924163327	35437138.73525136	22468796.40137464	11924433.602504393
492.366__6.93_1850	18299407.877520468	16046248.024346365	19075049.17396204	8868908.007006662	28247608.42410265	30474397.861483473	14997474.5	27657770.92302709	24197968.41808018	39024982.94756793	45508399.25893702	20757127.090999067	33574007.16218219	22510697.738594204	69546032.31019197
491.431_C28H58O6_8.59_1778	5950536.333732149	2721825.386645244	30210423.75660041	14592385.81687062	35313319.363727346	9864106.894566284	14997474.499999998	60465820.76909889	23313233.164177533	25250448.75817546	33172406.21695036	113324859.6307794	48671933.03292892	50380500.34507567	1557338.888159184
491.372__7.98_2592	14404884.669040022	16729580.0	34864209.45171281	26547058.5291166	186234315.6478979	42783897.12114021	4834310.653231506	20978743.039058868	10618706.572769992	49317811.71086415	25861916.99055789	27002924.87950821	17673320.152720205	41442398.89454264	6704835.703973138
491.264_C27H38O8_4.55_1665	7544034.955982452	21270841.86657619	13339853.129473662	23908002.878289346	16986180.84520316	29538345.96985385	15906839.44399529	18473398.12203365	42566420.21426001	23729060.722197056	23433460.06936284	22629073.18693235	30873531.73118155	38905152.0	35417119.07981508
490.425__8.87_4878	18280651.5	14193493.021554096	38894394.21649737	15078484.915960316	81083090.63785185	33125402.092037894	33684587.50473005	12165278.180870814	8339295.438691625	43946876.08737312	39198813.65852589	77782048.65965764	7070529.93483017	61414121.98603898	5027096.660566497
490.409_C23H51N7O4_7.92_414	909560.2970421892	1555301.6093409131	17870393.761128332	545787.859306486	25379759.769811146	33606249.50024763	40206737.87355558	57962332.23062372	78492535.23117696	11616242.646572655	52008227.01530002	67253501.67229012	73800135.80083156	38905152.0	7926584.962521832
489.354_C21H44N8O5_8.44_562	882450.8832143046	653703.40184627	35653592.31835677	1647407.935640555	33521227.0	19248197.41775666	18336371.634008266	51646332.02567791	39724884.943514735	28742270.57944836	39885442.05060105	53488007.15331037	49440273.17204898	42969092.31214765	586202.1626264721
489.295__3.36_4829	67368740.07126872	26811903.074490294	35445962.62040825	14427703.734749515	20852885.55999756	20658516.02071417	43469022.00190829	39163374.70790609	16948390.58679158	99299442.08203168	13686122.070655875	35660283.587666005	21360887.19060449	19310861.110990148	15613457.500000002
488.363_C32H45N3O_6.98_539	27510169.50317372	23404237.160470035	45561812.23047498	23227287.0	44045741.758339375	26485917.91271229	8419132.944671389	28978380.449270833	14992918.417084444	46510841.69808445	25100074.76350246	13315363.962830588	10479644.463929277	27778085.87933412	59342085.43621056
488.332_C24H45N3O7_8.39_642	7598268.545830525	16729580.0	22714469.642574023	46436935.65429403	36410932.89913269	18742008.27095137	35676567.63967301	59641531.41351942	12601340.907162767	23846080.53927067	60376092.64369403	93123578.99329312	20322898.02925279	121303847.84919149	4596823.0695645735
487.833_C8H12NO5P3S6_6.58_2080	26132979.33316472	32938266.143548544	31250693.42831304	22589820.23795469	23801250.48234225	18352087.465174552	3875698.799244749	33698817.5	18578618.93124663	45353272.23846819	32480204.66189617	7323467.295891092	36553273.497517824	39848816.64264306	84852877.42467295
487.36_C23H46N6O5_6.95_141	8755679.222221958	12238372.756156132	79396561.80008999	23227287.0	104630908.17990166	19646085.400491484	12655870.572002608	35788127.37942873	39913589.94923893	26126653.81041677	21207030.243755557	45208618.21185207	41763661.92055563	23916086.604187954	99235177.35441832
487.361_C25H48N3O6_7.68_2772	3508309.269547136	112594251.67244115	8311829.497195533	1873495.374030727	3731699.4808661295	22746610.0	13439812.91360549	44276930.38101704	62731227.35077987	2705839.8018361023	40779435.99681323	50951194.43790488	55511954.02587672	44243217.70502231	2855040.33603066
487.294_C22H46O9S_6.19_1654	10323100.870570894	34493836.69682349	28091052.5	30816789.945221506	50920795.97796651	24455602.657251917	16608805.767781746	23825469.483656865	13152722.59595225	65437615.20528126	34791912.54623531	16188774.981075276	18248931.886863485	34322727.41228268	58459513.76138605
487.231_C19H38N2O10S_6.1_2715	15409141.181792906	20455941.77386453	13600704.635535333	41253940.91457348	74518277.10479055	19677109.430835795	11777896.713520138	18618813.46986562	9703669.532088362	30837997.0	60882741.50456034	24890936.803638715	15018143.09472731	71328481.30293615	42096045.44541014
485.854__8.38_267	2846428.9121261165	8986775.863165906	28091052.5	23835049.70783596	20567333.18302785	29578043.21914569	19212242.968048446	26827437.24809923	13154662.340368787	31250792.03927194	26649335.54572	102202979.83078176	27071093.977956835	73157004.81853962	6879056.237045236
485.381_C24H48N6O4_8.0_601	12949429.831037818	12442545.64288596	42181511.96853676	34497655.798075624	33521227.0	24667076.581190474	8040377.788324373	41704223.927970186	11169956.463111412	30711318.85675988	45099503.11646355	27687427.978096355	13526024.003833473	58291580.01307949	9223005.06771002
485.36_C25H54BNO2Se_8.71_3376	7451674.581347737	7300830.506615204	48380035.80042909	10106679.918359064	48546188.04725887	24868911.75394746	7643893.069032859	77634588.57056363	10220445.8609196	12326637.397732588	40102969.0	122859475.04143175	30370897.780362304	45000395.11281692	8945366.90211286
485.361_C25H46N6O2_7.67_1842	18280651.5	11901886.486013824	17418411.67309526	20396485.60370778	36936677.508831896	15001817.393313885	29911488.683269706	49905290.00098915	50207024.6129536	17410622.6463169	36089950.59363704	51325083.47113717	60228450.36960764	42389829.10027273	10100304.996112524
485.359_C22H44N8O4_6.78_3132	21669149.82309739	42986209.38785979	13683979.28306678	18511255.573871765	108546471.92567696	62887515.22649624	14997474.5	17520851.68719186	24605092.32535272	11998091.610496758	16617887.91051256	21949233.838827133	61575306.36168895	14531958.875474455	50816779.50309166
