index	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Body_side_left	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Body_side_left	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
98.013__1.82_3349	13518888.188204747	11489303.756042033	56313052.946494915	8179564.775431864	29598095.887838643	7680719.0	21770542.369627118	8522213.366372881	25612089.12653017	20605852.026512768	20298274.37961582	20298274.37961582	20298274.37961582	20298274.37961582	19683119.085821923	12504095.97212339	13518888.188204747	13518888.188204747	13518888.188204747	13518888.188204747	21770542.369627118	123635112.1590766	182684469.41654238	182684469.41654238	182684469.41654238	182684469.41654238	59049357.257465765
98.013__0.85_3287	23147016.153716017	8386929.774594389	20163956.773839276	13431034.5	7139610.141754292	3906026.3632616648	5960021.57255184	12313659.588174228	43527054.121706	20161608.48533832	15330589.88773308	15330589.88773308	15330589.88773308	15330589.88773308	5668552.692522599	16797495.63691964	12313659.588174228	12313659.588174228	12313659.588174228	12313659.588174228	5960021.57255184	120969650.91202992	137975308.9895977	137975308.9895977	137975308.9895977	137975308.9895977	17005658.077567797
98.013_H5N2O2S_7.49_2288	18624348.114266522	10822976.847571168	12606562.994186094	7211086.766170111	8887799.5	11632442.92369772	9338165.737614	8497912.749139726	9792071.258064827	11259159.788233073	10823707.432301128	10823707.432301128	10823707.432301128	10823707.432301128	9952802.720437238	10307524.052817997	9792071.258064827	9792071.258064827	9792071.258064827	9792071.258064827	9338165.737614	67554958.72939844	97413366.89071016	97413366.89071016	97413366.89071016	97413366.89071016	29858408.161311716
979.617__7.57_3001	16105006.456621101	25664849.102542717	17064071.90854377	13431034.5	8867456.190198755	5117475.070243745	4883458.644409038	18853083.201285332	1660541.6583532419	15463097.804557694	12405219.636910856	12405219.636910856	12405219.636910856	12405219.636910856	6289463.301617179	16584539.182582434	13431034.5	13431034.5	13431034.5	13431034.5	5117475.070243745	92778586.82734616	111646976.7321977	111646976.7321977	111646976.7321977	111646976.7321977	18868389.904851537
979.434__4.56_5212	10938456.407979771	19782545.040704425	13668069.358651217	10070811.569235038	8887799.5	8551435.916008044	15197432.090320265	11281570.839420363	8546472.825196901	12381321.00686462	11880510.394168448	11880510.394168448	11880510.394168448	11880510.394168448	10878889.168776102	11110013.623700067	10938456.407979771	10938456.407979771	10938456.407979771	10938456.407979771	8887799.5	74287926.04118772	106924593.54751603	106924593.54751603	106924593.54751603	106924593.54751603	32636667.506328307
978.691__7.53_4572	17267933.60482735	28027032.753575522	19867788.922748115	13431034.5	13765037.588333132	3175577.2094889292	2729246.9204534176	6561104.890718253	3161878.5282232915	14719462.20001542	11998514.990929777	11998514.990929777	11998514.990929777	11998514.990929777	6556620.572758493	15349484.052413674	13431034.5	13431034.5	13431034.5	13431034.5	3175577.2094889292	88316773.20009252	107986634.918368	107986634.918368	107986634.918368	107986634.918368	19669861.71827548
975.718__8.45_3720	15067714.5	29963659.685739823	50192218.66123893	26100343.82162225	3788332.6212023445	3039644.485561053	2245933.55097493	1893151.4809545586	35712968.931987695	26488342.846923877	18667107.526586846	18667107.526586846	18667107.526586846	18667107.526586846	3024636.885912776	28032001.753681034	15067714.5	15067714.5	15067714.5	15067714.5	3039644.485561053	158930057.08154327	168003967.7392816	168003967.7392816	168003967.7392816	168003967.7392816	9073910.657738328
974.658__7.53_3150	27072757.004538447	23807735.79147525	15208349.066101937	19404507.07083823	8887799.5	10112419.421332138	2709701.0741030765	10711496.401268875	3093481.7366948943	16549721.17848627	13445360.785150314	13445360.785150314	13445360.785150314	13445360.785150314	7236639.998478404	17306428.068470083	10711496.401268875	10711496.401268875	10711496.401268875	10711496.401268875	8887799.5	99298327.07091762	121008247.06635283	121008247.06635283	121008247.06635283	121008247.06635283	21709919.99543521
974.371__2.39_1449	8452042.98119436	14538871.891922323	11195887.093466122	8517285.326445315	23818797.655047715	21022177.3806078	25063804.486084685	11481062.0	21126834.598818418	12551997.315307757	16135195.93484297	16135195.93484297	16135195.93484297	16135195.93484297	23301593.1739134	11338474.54673306	14538871.891922323	14538871.891922323	14538871.891922323	14538871.891922323	23818797.655047715	75311983.89184654	145216763.41358674	145216763.41358674	145216763.41358674	145216763.41358674	69904779.5217402
973.655__5.42_3754	21300110.468536	26440346.40593028	15224434.5	19922996.613176323	2107360.430298319	2674754.4611840937	3817372.6305244905	25412448.038141787	4720713.241705592	18836841.544581667	13513392.976610767	13513392.976610767	13513392.976610767	13513392.976610767	2866495.8406689675	20611553.54085616	15224434.5	15224434.5	15224434.5	15224434.5	2674754.4611840937	113021049.26749	121620536.7894969	121620536.7894969	121620536.7894969	121620536.7894969	8599487.522006903
973.642__8.82_4479	45811681.54380592	15016312.5	11486030.239296751	24081282.65720068	47607766.43207078	11926638.00997262	6627151.166350927	7371685.7621601885	5738883.67305454	18250979.39591968	19518603.553768046	19518603.553768046	19518603.553768046	19518603.553768046	22053851.869464774	13251171.369648375	11926638.00997262	11926638.00997262	11926638.00997262	11926638.00997262	11926638.00997262	109505876.37551808	175667431.9839124	175667431.9839124	175667431.9839124	175667431.9839124	66161555.608394325
971.361__7.54_5821	10096629.676776333	10187486.891355677	7310382.758932883	15340407.952034207	12516045.07468477	14137280.098738188	10907979.990928527	11481062.0	6679773.220765657	10182623.74997746	10961894.184912914	10961894.184912914	10961894.184912914	10961894.184912914	12520435.054783829	10142058.284066005	10907979.990928527	10907979.990928527	10907979.990928527	10907979.990928527	12516045.07468477	61095742.49986476	98657047.66421624	98657047.66421624	98657047.66421624	98657047.66421624	37561305.164351486
97.514__7.52_3602	12723246.923439467	13861205.536312483	17202141.03126377	8251487.226828096	20384958.063751653	7864724.32995113	7270119.499999999	5452583.903740006	7386169.537725069	10812805.693218147	11155181.783667961	11155181.783667961	11155181.783667961	11155181.783667961	11839933.964567594	10487367.075133782	8251487.226828096	8251487.226828096	8251487.226828096	8251487.226828096	7864724.32995113	64876834.15930889	100396636.05301166	100396636.05301166	100396636.05301166	100396636.05301166	35519801.89370278
97.514__7.06_3244	11504990.611221282	15016312.5	43425266.70670153	11331918.118194401	18433089.64644398	4749224.266116901	18069163.52335031	20710368.5492816	6678940.658446606	18111299.523974236	16657697.175528513	16657697.175528513	16657697.175528513	16657697.175528513	13750492.478637064	13260651.555610642	15016312.5	15016312.5	15016312.5	15016312.5	18069163.52335031	108667797.14384542	149919274.57975662	149919274.57975662	149919274.57975662	149919274.57975662	41251477.43591119
97.514__6.52_3288	8096396.303755619	12451078.648856163	5840006.828767053	8451337.305555556	8958231.941987619	8681436.130935652	12170822.041376863	11481062.0	17274229.2465125	10599018.388907814	10378288.938638559	10378288.938638559	10378288.938638559	10378288.938638559	9936830.038100045	9966199.652777778	8958231.941987619	8958231.941987619	8958231.941987619	8958231.941987619	8958231.941987619	63594110.33344689	93404600.44774702	93404600.44774702	93404600.44774702	93404600.44774702	29810490.114300136
968.569__6.23_4939	31870205.46959795	18716500.907514077	14985634.917774247	10622399.498454204	7795068.420350405	7680719.0	15410713.514476681	16764902.006030886	5966969.405200105	16487768.700761912	14423679.23771095	14423679.23771095	14423679.23771095	14423679.23771095	10295500.31160903	15875268.461902566	14985634.917774247	14985634.917774247	14985634.917774247	14985634.917774247	7795068.420350405	98926612.20457147	129813113.13939856	129813113.13939856	129813113.13939856	129813113.13939856	30886500.93482709
967.688__8.07_678	15067714.5	10602057.45727942	25576664.73131883	39619573.965068996	6422810.962509827	5281934.9680270525	3644078.1921544983	33776876.595578134	8480147.734293258	22187172.49725644	16496873.234025555	16496873.234025555	16496873.234025555	16496873.234025555	5116274.707563792	20322189.615659416	10602057.45727942	10602057.45727942	10602057.45727942	10602057.45727942	5281934.9680270525	133123034.98353863	148471859.10623	148471859.10623	148471859.10623	148471859.10623	15348824.122691378
967.654__8.04_3935	23403673.92772899	13343537.71646124	17351031.94233385	15195527.018040508	8887799.5	7586472.217611722	5197098.105159711	18727001.60541094	6044242.904979479	15677502.51915917	12859598.32641405	12859598.32641405	12859598.32641405	12859598.32641405	7223789.940923811	16273279.48018718	13343537.71646124	13343537.71646124	13343537.71646124	13343537.71646124	7586472.217611722	94065015.11495502	115736384.93772645	115736384.93772645	115736384.93772645	115736384.93772645	21671369.822771434
965.514__3.3_5490	15433521.382638404	9684961.66789596	5743404.240549929	13431034.500000002	10098950.250917656	6973622.832548171	10650717.594296217	10600015.422465071	14011159.812410856	11484016.170993371	10736376.411524696	10736376.411524696	10736376.411524696	10736376.411524696	9241096.892587349	12015524.961232536	10600015.422465071	10600015.422465071	10600015.422465071	10600015.422465071	10098950.250917656	68904097.02596022	96627387.70372227	96627387.70372227	96627387.70372227	96627387.70372227	27723290.677762046
964.712__7.85_1165	15067714.5	15863872.370204099	65957858.68680842	19047822.200165834	5708751.545898151	3213134.8145846003	5847438.576301133	12775993.998576954	5214866.5831731	22321354.723154735	16521939.252856923	16521939.252856923	16521939.252856923	16521939.252856923	4923108.312261295	15465793.43510205	12775993.998576954	12775993.998576954	12775993.998576954	12775993.998576954	5708751.545898151	133928128.33892842	148697453.2757123	148697453.2757123	148697453.2757123	148697453.2757123	14769324.936783884
964.583__5.02_189	6276663.357774529	15016312.5	12159726.964060437	13913261.076004004	15719494.887977837	18413990.955044203	8034445.28164774	10298442.01711278	5561261.485201811	10537611.233358929	11710399.836091481	11710399.836091481	11710399.836091481	11710399.836091481	14055977.041556595	11229084.490586609	12159726.964060437	12159726.964060437	12159726.964060437	12159726.964060437	15719494.887977837	63225667.40015357	105393598.52482334	105393598.52482334	105393598.52482334	105393598.52482334	42167931.12466978
963.622__7.98_3912	15538556.4528545	20747995.121652428	14425121.622201256	19191974.242499962	7276450.517779264	7680719.0	2123975.1298181927	13307732.151827957	1576450.7210805363	14131305.052019442	11318774.99552379	11318774.99552379	11318774.99552379	11318774.99552379	5693714.882532486	14981839.037527878	13307732.151827957	13307732.151827957	13307732.151827957	13307732.151827957	7276450.517779264	84787830.31211665	101868974.95971411	101868974.95971411	101868974.95971411	101868974.95971411	17081144.64759746
962.733__8.07_615	21877503.519227598	12155694.256848004	17337531.853341345	13431034.5	1587954.7458447602	3136780.704093114	2799477.799702617	14608064.44589136	12438780.843365628	15308101.569778988	11041424.740923824	11041424.740923824	11041424.740923824	11041424.740923824	2508071.083213497	14019549.472945679	12438780.843365628	12438780.843365628	12438780.843365628	12438780.843365628	2799477.799702617	91848609.41867393	99372822.66831441	99372822.66831441	99372822.66831441	99372822.66831441	7524213.249640491
962.698__8.06_4795	13324700.415084947	25041453.025738444	10308148.161930088	13866722.126885014	9780539.85508908	7680719.0	8431606.070553243	9669463.691944549	5305489.743898259	12919329.527580217	11489871.343458181	11489871.343458181	11489871.343458181	11489871.343458181	8630954.975214107	11816424.288507517	9780539.85508908	9780539.85508908	9780539.85508908	9780539.85508908	8431606.070553243	77515977.1654813	103408842.09112363	103408842.09112363	103408842.09112363	103408842.09112363	25892864.925642323
