#SampleID	V10-arm-healthy-BC3	V10-arm-healthy-BC6	V10-back-healthy-BC9	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V10-arm-healthy-BC4	V10-arm-healthy-BC5	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V10-back-psoriasis-BD12	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V10-back-healthy-BC12
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	38644634.88389878	72699285.30563484	42452476.545172974	20006655.964327294	63881696.77427501	7059159.085650336	134752104.4808956	82364047.15960816	63636258.24666218	107953463.76454186	36344647.44495873	73525298.09952283	17138257.556005295	80174253.29786268
992_120.025_8.9	10325604.3274435	80360763.30987048	35386008.32276639	44513246.77273011	74468136.1631353	97355442.00991276	87034608.10183263	70173950.78584853	41235497.9512526	94470497.5280606	61614174.44483739	81343097.33903798	77100086.82867718	78694418.59027937
990_1199.857_8.98	20447271.95102452	432657319.405984	15271612.068825064	20422157.494144853	141401568.26367733	65058482.30845066	106272858.00928695	162976011.3169884	13772223.58952234	97101785.54267748	24536936.72065419	179048079.64729533	9637916.526250606	31864354.054938413
988_381.225_5.81_C17H28N6O4	5225821.058355753	32665992.842926595	63080012.94386944	22036253.336337324	85536739.22977959	83511418.83048168	11472119.197257798	15962760.099129025	47867853.15734375	83290194.83086176	45786871.96789158	71111935.81667557	54543707.29421532	64675156.59289128
986_118.086_4.38_C5H11NO2	27711835.74395537	87950846.92233872	167866863.74880633	87989721.576897	52418041.28824335	23336349.79845698	84515172.9368611	30653451.421687465	73334869.71032225	30180558.899454195	71282950.90643272	42904171.628340505	56084694.00595484	77347052.24059011
985_583.441_6.66_C32H66BO3Se_ Decaethylene glycol tridecyl ether 	38162854.29028515	82346331.09292495	59654070.31943554	8593078.341958549	60979128.17215586	90781073.2571976	132839551.95518722	75664490.25497004	27959350.78018187	127844049.85150516	14932302.567924716	111501093.79994804	11815848.149194773	67185403.04751176
983_522.597_9.66_C36H75N_Amines_Adogen 360	68372648.49983463	51223251.19722119	43643014.34753197	101119735.12137556	41699844.7255927	45146120.99915484	60162558.02351005	156415777.94548082	73855369.67909342	40263896.27827514	67700182.79619852	27530838.200300604	74559352.61018859	37490674.81540441
982_601.323_5.25_C26H44N6O10	16242840.550889615	88366638.40582813	74515394.40970322	87201030.94915338	27929136.719921865	61605123.91606668	90498010.23382825	85326239.80896385	57825358.42518541	63482952.32331034	82925155.25900222	50874496.89692234	60715346.42348011	31678601.09890969
981_620.442_6.86_C38H57N3O4_Anthraquinones_N-[2-[[5-(1-hexadecoxybutan-2-ylamino)-9,10-dioxoanthracen-1-yl]amino]ethyl]acetamide	22001788.15916297	17028671.624208126	69314769.34426057	77363729.08416897	99441638.39900216	41252819.99459623	91650379.94601122	15050206.560580727	35793465.72016641	23186486.00884097	46941769.09252784	12417348.028338468	32399771.10588429	63648164.88544025
97_469.379_9.61_C30H48N2O2_Alcohols and polyols	38458822.07927606	139535237.51308712	46961000.17242286	65346042.01507396	63728141.11846201	58691405.69698571	101112953.12230454	73974186.90942262	58682583.28692546	44189472.32910185	23715886.29023385	68266517.96190014	62412698.26040378	47650697.45840208
979_751.569_9.98	90667148.400207	106337270.23553896	17686544.874614708	21203624.483881608	136862499.5667074	39107496.53327929	47179178.13990132	262279924.81081635	61649463.50593743	49755554.81210291	23309125.610720087	95330773.35192308	14510175.099646544	57479833.37461994
977_555.35_5.34_C30H50O9_Terpene lactones_[(4Z)-7,10-dihydroxy-3,7-dimethyl-12-oxo-2-[(2E,4E)-8,9,11-trihydroxy-6,10-dimethyltrideca-2,4-dien-2-yl]-1-oxacyclododec-4-en-6-yl] acetate	29609285.66162686	52274441.76208016	67577814.84850103	43401756.25009259	67485086.41207658	109577514.96892963	72282151.03671573	21804592.81103673	44185942.14652424	39615549.71625242	96324750.03198636	80517223.79750791	13871572.87642031	31433790.16988601
975_271.274_4.74_C16H34N2O_N-[3-(3-Aminopropylamino)propyl]dodecanamide_Fatty amides	46918360.91123101	116765457.93298598	39006397.50361851	17293228.27224447	79874550.54577975	38179152.14900012	153150865.76115915	102025947.38044934	25713727.28289965	89627090.28473309	10977170.535898974	88557607.23191032	12351611.534741627	41258256.695050254
969_943.991_1.38	65914576.33502179	35080894.96214443	37874671.74947431	53314508.34474531	25994923.44185489	17958766.08655051	27660015.27869307	137828801.99658594	41776285.95259216	95414917.33995204	35207268.051555306	21242372.175191466	166665020.67022258	66494196.17476644
968_443.42_6.18_C26H54N2O3_Fatty amides	45798714.73753406	182474877.28964418	53820587.42910472	21180018.15635989	87075944.49427162	7417939.945374135	193467886.5934781	157775009.93940976	44885929.895339616	72569051.55981708	13895891.93309022	87979302.6438329	12758311.582209492	25450801.27869719
967_493.28_6.88_C20H40N6O6S_Amino acids, peptides, and analogues_6-amino-2-[[2-[[6-amino-2-[(2-amino-4-methylsulfanylbutanoyl)amino]hexanoyl]amino]-3-hydroxypropanoyl]amino]hexanoic acid	48727240.13989713	7613026.891739605	58421013.17861286	20991745.03712786	80927583.20401403	105139899.64173152	140173278.45216772	60776700.48622052	37171356.81288336	111828996.1767224	24329071.898233835	79858805.93774332	20993627.040358227	139039512.02321178
965_732.546_6.63_C37H73N5O9	25775171.1507002	72095285.38516891	54258639.86941486	11733949.82554097	73408681.61623155	98445033.21119264	101935992.93050689	55033797.89499877	19866560.612978026	108187312.59065516	12146583.097958507	87320581.5577907	12923705.47636027	83424761.27392605
963_546.401_6.53_C26H59BN3O3Se	15684124.099457135	103669849.7977957	75656723.81336063	18862611.809732005	76413160.51244578	56726207.14712048	102191063.68196169	76753682.8784745	15025378.013131054	90437816.14285845	26353384.24476279	102565724.09542976	15050397.63869854	59548549.45668594
962_573.412_8.81_C23H58N8O4P2	17938453.471910607	122865162.97259086	26031994.85536709	113422592.73050147	59307902.61644111	5287925.998481448	190605479.30112556	189002484.9234217	50372299.69807518	20832409.34523116	28149027.36517461	24284227.37150015	71103151.39017926	4976835.414936799
960_333.134_2.39_C16H18N3O5_Orcinol .beta.-D-glucoside_(2R)-5-[[(1R)-1-carboxy-2-(1H-indol-3-yl)ethyl]amino]-2-$l^{2}-azanyl-5-oxopentanoic acid	0.3013494626159545	64965329.99951124	86821128.89736809	37079954.46284928	70665232.73701021	67015735.54975774	33783238.05099744	102469798.46384224	39068963.37493186	87696225.43694459	102862902.8108355	77227890.24684422	20507184.715284813	86286333.04654744
959_520.333_2.9_C22H51BN4O4Se	331098778.1152518	13767522.380051753	35562650.162048444	45301942.19605408	892552.3421203551	126703036.78798202	611472775.3809866	6317833.912296302	44326690.372635655	69862820.74348593	24481922.843230866	115298795.07602318	5078584.60273632	77784266.73663789
955_347.255_7.58_C20H36O3	27796508.93889981	12929624.612854935	108403799.2516383	4284600.941587261	109766139.76583982	8630382.111944525	25785984.37115396	6671736.68928061	41314697.71444085	100645919.5169906	26284141.3097942	98078370.05485936	33295770.18107653	27252995.61068308
954_583.309_5.11_C19H40N14O6	1713780.47476725	75155263.20225239	68220435.10433535	81512423.17658131	42108761.92780861	67098842.68628061	54547180.46004369	75876257.09304726	85542763.27635933	57433992.33574734	86903177.85388213	46124084.80702057	63910689.13633201	57811374.04453779
952_235.205_5.94_C16H26O_Sesquiterpenoids_Curcumol_Carbonyl compounds_(4E,11E)-8-methylcyclopentadeca-4,11-dien-1-one	24949190.08742845	78527025.18453588	77510629.58002418	15785737.527201638	74928135.00225279	102296439.44635288	59699703.33349551	41626059.35553408	33658869.51720437	128018299.04411349	24985633.47261285	116706745.94409092	20675338.755873907	108129977.06308816
951_735.294_4.83_C35H46N2O15_tert-butyl (2S)-4-[[(2R,3R,4R,5S,6R)-3,4-dihydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]amino]-2-(9H-fluoren-9-ylmethoxycarbonylamino)-4-oxobutanoate	17378646.196527872	142939663.5468454	17458810.510959413	910147964.209342	22907563.58145648	158400880.67855024	13430553.710774507	260853724.60772997	528839435.739635	23043842.915990107	607075192.2003987	19940285.101929426	468297617.33375096	22996115.29086297
94_234.134_2.74_C10H19NO5	4219936.994866934	118478238.69512708	12505882.690395838	742447642.7146784	29782246.963261984	110238492.51280773	6618716.5561529035	222826130.95626518	645039698.3262978	41114108.30581879	319456814.69302285	18096091.359816894	496094697.77552056	51432019.62216729
949_383.246_6.68_C20H40N2Se_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate_Likely similar to laureth sulfate A +28 Da compared sodium laureth sulfate	46664407.60221113	80007846.22623755	52240708.57652749	16301378.175703585	72642215.44998705	69787708.87451154	136476667.71653026	58206360.68444434	31071829.064416565	90851081.47817712	26240737.449722003	98530380.7301639	20151030.155974384	84258110.89760259
948_359.315_7.83_C21H42O4_1-Stearoyl-rac-glycerol_Monoradylglycerols_ 1-Hexadecanoyl-sn-glycerol _Monoradylglycerols_Sandin EU	35917596.44688491	144937787.1816985	107981491.67716148	16545294.23949975	77734304.47584699	11299906.935013052	124592702.64911129	108549293.57138364	15261008.830896122	11704532.548787965	11441986.690369338	60075080.49461474	25225651.80664962	133877325.24027015
947_267.157_4.31_C15H22O4	38813256.14698705	80559803.90399446	47964804.06870057	124417201.83317108	37727102.49007885	41042213.43584137	40354590.77342291	70037703.17629296	56580221.66276775	22824394.2044138	53063393.57527571	55321409.35264002	142707769.96203092	88941439.50993612
946_250.086_7.34_C16H11NO2_Isoxadifen-ethyl_Diphenylmethanes_Diphenylmethanes_Isoxadifen-ethyl	28996536.43324857	396839837.8850423	90228299.16155998	40355509.10463414	68549966.33368243	14269000.87365258	170235026.1428855	111003975.76776606	20175432.279018592	85063156.17356624	2734398.1974772457	79195412.20247014	11410128.7489615	34140225.74061661
943_414.321_6.6_C23H43NO5_ p-tert-Octylphenol tetraglycol ether _Amino acids, peptides, and analogues_Amisoft HA	12253379.921676168	120107275.9781564	57711799.14237096	17696663.036607478	85220945.32423414	49204057.92912643	78115422.54748783	74158972.5886251	30028028.42418037	114226096.54596306	29232503.2292036	100445232.8070957	7987510.237488952	54378680.72333201
940_344.316_6.71_C20H41NO3_Carboximidic acids_Palmitoyl ethanolamide_Amines	35965356.2943262	71852676.74851213	19920966.946912576	19916410.205384824	84219220.86363567	19379293.16177943	95501508.02996036	85341682.21625784	40738328.99598192	101538535.93300769	26026748.46315812	145686874.21787056	15363178.15651751	88018460.57922548
938_663.336_6.3_C25H52N10O6Se	37271518.03559064	16467559.235696934	59278385.14509523	47394797.86234178	16278824.632005345	90854612.95153949	70606540.88841565	43804803.72355103	52383888.04144329	23165684.270981804	24518396.675179116	42488934.759649456	31743364.03372832	86532316.97567627
937_343.247_5.55_C19H34O5	17552998.977607116	232246152.8859898	58359686.68543793	39663621.27989492	91699086.89131255	66304570.01534709	16614278.667904232	46772225.65417577	41482346.82000693	40116319.24645583	56888785.24661999	30376180.60508808	48731890.8659818	29762865.91997465
936_500.394_8.15_C28H53NO6	2027343.0739661863	101478026.94623826	112862191.89817028	105248634.90291823	99623624.96272016	1618491.9787959254	93103495.56142284	104066572.88644876	33917461.52353071	97784833.13947652	66667402.4448648	70044215.6593235	48175480.50178012	6737054.48235533
935_705.986_8.17	11745989.82906876	134154039.94011956	30245506.75250983	25996605.49473025	122774219.87879041	29870962.597988024	111757974.1000723	82414076.41784139	30777712.77861765	135032135.21703127	24602251.74427891	135092683.84088817	19361400.805779804	107396887.36035252
