#SampleID	V5-leg-psoriasis-4B8	V5-leg-psoriasis-4B9	V5-leg-psoriasis-4A6	V5-forehead-psoriasis-4C6	V5-leg-psoriasis-4C1	V5-leg-psoriasis-4A11	V5-leg-healthy-4A3	V5-leg-psoriasis-4A9	V5-forehead-psoriasis-4C11	V5-leg-psoriasis-4B12	V5-forehead-psoriasis-4C5	V5-forehead-healthy-4C10	V5-leg-healthy-4B3	V5-leg-healthy-4B4	V5-forehead-healthy-4C9	V5-leg-healthy-4B10	V5-forehead-psoriasis-4C7	V5-leg-psoriasis-4B7	V5-leg-healthy-4A10	V5-leg-psoriasis-4A8	V5-forehead-healthy-4C4	V5-forehead-healthy-4C8	V5-leg-healthy-4B5	V5-leg-psoriasis-4A12	V5-leg-psoriasis-4A7	V5-leg-healthy-4B1	V5-leg-healthy-4B11	V5-leg-healthy-4B6	V5-leg-healthy-4A5	V5-leg-healthy-4A4	V5-leg-healthy-4B2	V5-forehead-healthy-4C2
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	26031396.26510407	38589982.52192099	63932448.11018945	42879407.8721366	43227758.74907388	77150342.72609743	26328412.36280876	51098365.81615368	52546592.8180824	86948675.65412231	42250023.99150381	43628461.15032495	28270580.15274578	28616046.46842072	93300489.11513038	28285991.41151818	63105234.84636843	44825252.08122422	21726099.8171616	53733075.78560971	56855395.9294525	49320324.46825371	37261261.48013733	89167335.98539375	36390875.46669679	34360380.91128627	37395837.51018075	28430022.99189116	28587600.083683386	31168826.264863104	39430322.61110934	94134396.93855478
996_561.327_5.1_C24H44N6O9	62051321.10524611	11776879.75949997	43137232.806525536	10425784.074665057	61798071.39750723	40079354.92725175	46026421.51179609	23173698.16132009	69013456.43244274	16454522.486792715	68147109.64740692	16453653.63390934	11004088.483909814	16897871.86470385	62567693.96603067	42672624.05222745	23048436.86296152	71271743.83177395	33926949.18701228	38414081.90240635	61064763.17020518	59521384.39193767	40522216.34282113	50528934.78646414	21673720.98446241	16292120.32504106	33993426.43568978	30810210.92539477	45941784.13021672	60031265.28426623	39760406.32357653	11205489.080284808
995_606.348_5.19_C29H51NO12	63837037.31881984	37041616.12178388	33134977.87927497	43440614.582379095	44021986.70340096	32595619.378314573	52953429.70928865	14373402.992303604	60740204.88189206	45873670.97276537	57970965.598871805	54163759.3664716	40570988.89250582	40971630.36342473	42348663.727010705	32117107.030356355	62153938.66493174	57514115.20054046	31279556.67617928	35382881.30126362	56199763.18735831	64221491.17918402	33338234.308874976	33473738.31522899	19273309.48314961	36759474.26452092	32789913.04792539	29132207.85666707	41843014.75429824	45724119.52334473	29510874.67860325	38774787.33528466
990_1199.857_8.98	39675662.69745556	24371708.29032701	41486025.58630984	23183730.68082837	25488628.463277224	47526595.99742313	68435042.80536339	12694387.366225308	43509553.53644697	31888445.692563165	57961396.54444761	33973520.937800705	51740243.33099621	43627023.68733341	26679888.13128603	23242738.14973186	34090266.25244372	23213901.26462405	32880821.89276026	53865770.23730595	28018840.72218647	45540260.55467333	57981680.65181767	44900264.94388231	3894736.2026736927	71317014.61398534	11980986.139391713	83149324.37267037	42668888.46134048	88236693.37313238	63371580.35388151	83136490.42214455
988_381.225_5.81_C17H28N6O4	36894656.499789	28031206.446304195	28625405.633113626	53649989.80008204	35322275.85525165	27127645.13577217	37450374.55708038	14602908.512884578	66815886.83920634	30955567.774710953	74516035.3444573	76290684.75163142	47745899.794796795	49609556.26136942	90703934.48834924	23515132.96176569	65235979.88238342	35639172.48570817	30015548.786332995	26575498.47299037	134043008.60712457	101251498.79811189	60063851.01360703	35203555.149010904	9547444.12088335	37828665.264243536	15559625.363318594	55348808.93624197	25791822.865343977	31601993.87421761	26565607.54298531	166504337.89239383
987_346.258_4.58_C18H35NO5_Fatty acids and conjugates	34931476.80745156	34607507.09529987	28757549.107821416	93818652.75658835	33323134.761590283	33148327.36265705	19549733.62807563	18476875.56529464	215606188.20087945	25052176.98712189	268087346.2177856	197569261.53693032	29531588.6495712	24028194.93452396	184463272.3484139	11154777.023003677	187171044.99189597	87427153.31409395	18556960.238533866	29151703.25315513	182156941.58905265	218469910.2973212	21755475.26667516	36937907.39427201	11788571.172037976	66979537.75086679	24758690.18115083	25561525.342118897	38013546.6870194	44545057.42513089	33171961.112920016	181592259.1609594
985_583.441_6.66_C32H66BO3Se_ Decaethylene glycol tridecyl ether 	27326689.2769832	23100797.52240505	67578498.26814115	50019925.53678101	20096439.87059245	57984396.93997818	67755133.82206939	55470293.27344862	99507569.80841932	37372261.70825037	55257466.20468642	25878939.3261318	40994529.02983076	48116932.44355115	26254992.991999786	19362520.968642887	54010208.81758545	31917182.66973974	23932955.045099985	104659435.66345245	43108834.14991348	21033114.098657	37967343.27650943	82765000.35009597	25520569.65258041	69980007.60003453	23956536.632063616	41855713.32578842	48080414.19736179	64403909.40051696	55176359.14516573	103434228.67940672
983_522.597_9.66_C36H75N_Amines_Adogen 360	634140145.0715457	512991082.44720685	5324141.520863351	6454876.398263678	321342882.37693036	81755493.13020967	39835812.525654376	101240796.20790616	19445579.27289548	327985943.6649424	24640558.27753729	67981777.18135656	116795565.04029092	353269.90902464936	40893104.795122094	1531190.422642019	6364240.00250489	489027608.5699728	141208179.83336714	50040627.10722037	578951.4533222208	1970506.211710789	11074916.77749834	1503416.3128239524	22854997.848287147	23850061.55152707	78368586.36185916	32735161.75384356	213994874.01722917	83633219.79996395	190651004.78826532	24326590.295244906
979_751.569_9.98	13698436.549210453	24609571.04558052	66144521.70180348	36618463.73540636	14156480.617283242	35390026.38384579	101375000.88233979	17020896.27620818	35357562.606461875	37309291.54498789	53764846.9132923	26624758.58967147	81701313.27378972	57731751.58044829	30764001.814326275	44161898.06269746	27696874.19910167	46538705.77349427	14770974.002531307	71809652.03746995	44119786.96142355	37321094.07282795	80045404.99811509	67245323.3344719	13640345.994971735	46635806.50917328	50791160.2745424	138352112.07833692	35644084.341853805	143944427.08102116	70185498.61152047	134065443.6746643
978_356.264_3.49_C17H33N5O3_Oxadiazoles	17300839.327589154	13323894.300917748	2927213.922137118	160274829.38841975	34117569.27343664	8990594.03090391	24736536.37604964	26951919.34044954	194823904.50215095	65206597.29482593	129045005.77263716	188841830.66946837	43380107.65041047	170174455.8209391	225648663.07398167	49520433.91891119	35497085.52261568	8949619.854560921	29233481.57006873	12857034.672132598	229515923.5399044	157766544.52025992	54896484.67212581	17020249.46442759	19609265.05966669	28671933.724376123	9357075.456827823	132384121.7286838	67103350.25732785	54800330.45991656	19147297.42683976	2643799.5360284783
