index	V10-arm-healthy-BC3	V10-arm-healthy-BC6	V10-back-healthy-BC9	V10-arm-psoriasis-BC7	V10-back-healthy-BC8	V10-back-healthy-BE12	V10-arm-healthy-BC4	V10-arm-healthy-BC5	V10-back-psoriasis-BD11	V10-back-healthy-BC10	V10-back-psoriasis-BD12	V10-back-healthy-BC11	V10-back-psoriasis-BE11	V10-back-healthy-BC12	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Sex_female	GROUP_MEAN_DESCRIPTION_arm	GROUP_MEAN_DESCRIPTION_back	GROUP_MEAN_Body_side_left	GROUP_MEAN_Body_side_middle	GROUP_MEAN_Batch_3	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Sex_female	GROUP_MEDIAN_DESCRIPTION_arm	GROUP_MEDIAN_DESCRIPTION_back	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_Body_side_middle	GROUP_MEDIAN_Batch_3	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Sex_female	GROUP_SUM_DESCRIPTION_arm	GROUP_SUM_DESCRIPTION_back	GROUP_SUM_Body_side_left	GROUP_SUM_Body_side_middle	GROUP_SUM_Batch_3	GROUP_SUM_DESCRIPTION_2_psoriasis
98.013_H5N2O2S_7.49_2288	17.591903179515487	38032815.078953505	77194678.50396831	54734726.284714125	63494438.553922065	150337677.82714653	30926213.951524634	65423566.656587735	44348220.36088367	28954056.053681873	45127805.550283894	40356705.4889675	104129993.30018806	109973302.26839276	60469347.1975048	60931015.53365128	37823467.91273664	73768541.98971497	37823467.91273664	73768541.98971497	60931015.53365128	62085186.37401743	51925572.02144478	49931265.917499006	38032815.078953505	63494438.553922065	38032815.078953505	63494438.553922065	49931265.917499006	49931265.917499006	604693471.9750481	853034217.4711179	189117339.56368318	663916877.9074347	189117339.56368318	663916877.9074347	853034217.4711179	248340745.49606973
98.013_CH6O3P_7.94_2003	27591351.647880565	25082730.537128426	55035823.225176685	36097680.05794276	41874730.79623816	115012826.60686937	23612653.622139852	41466517.898646235	55490722.173640005	39969942.24106565	29761893.354459662	70827333.52481961	41262858.123050705	72527650.1713049	51300156.02712694	48258193.85574019	30770186.752747573	57973753.35740275	30770186.752747573	57973753.35740275	48258193.85574019	40653288.42727328	41670624.347442195	41364688.01084847	27591351.647880565	55035823.225176685	27591351.647880565	55035823.225176685	41364688.01084847	38680269.090496734	513001560.2712694	675614713.9803627	153850933.76373786	521763780.21662474	153850933.76373786	521763780.21662474	675614713.9803627	162613153.70909312
979.617__7.57_3001	38569090.65629222	145773024.36846358	86846758.15760107	17830665.366720803	75389015.61881508	31537950.262784578	192210666.8049478	51907783.7619758	13258166.796005446	225410721.8851536	15320536.048380788	61838393.62470173	26274234.564812943	72402385.25437108	98188579.03951064	75326385.2265019	89258246.19168004	67586462.46806958	89258246.19168004	67586462.46806958	75326385.2265019	18170900.693979993	73895700.43659309	56873088.69333877	51907783.7619758	61838393.62470173	51907783.7619758	61838393.62470173	56873088.69333877	16575600.707550796	981885790.3951064	1054569393.1710265	446291230.9584002	608278162.2126262	446291230.9584002	608278162.2126262	1054569393.1710265	72683602.77591997
975.718__8.45_3720	100565553.8276583	67270638.14573582	60038188.79062229	167328342.61123705	109891435.04643264	6402466.033223326	83483839.77188984	62955276.016759	159217582.69580305	93291217.46377648	25575611.5009668	31861163.38081762	38810385.52020988	33730473.2109641	64949025.16878794	74315869.5725783	96320730.074656	62090947.07142402	96320730.074656	62090947.07142402	74315869.5725783	97732980.5820542	65112957.081247404	65112957.081247404	83483839.77188984	38810385.52020988	83483839.77188984	38810385.52020988	65112957.081247404	99013984.10800646	649490251.6878794	1040422174.0160962	481603650.37328	558818523.6428162	481603650.37328	558818523.6428162	1040422174.0160962	390931922.3282168
974.658__7.53_3150	77340425.46485332	161040600.5871243	191169233.7096543	21348574.63731991	58914169.70455691	44813319.176582485	164900404.5321023	81736560.14864197	16807974.592001922	336311345.41364926	24015961.360300522	72599199.13728876	14884368.820037533	53745836.63930001	124257109.4513754	94259140.99452956	101273313.07400835	90362378.72815242	101273313.07400835	90362378.72815242	94259140.99452956	19264219.852414973	79538492.80674765	65756684.42092284	81736560.14864197	53745836.63930001	81736560.14864197	53745836.63930001	65756684.42092284	19078274.61466092	1242571094.513754	1319627973.9234138	506366565.3700417	813261408.5533718	506366565.3700417	813261408.5533718	1319627973.9234138	77056879.40965989
973.655__5.42_3754	3440741.5877330573	181639412.21355104	46716249.29283653	48616806.12435371	39890471.03426609	29993272.05902219	218766160.99726987	128941877.74938338	50213023.15251069	58780640.148826316	39878397.08900751	54824418.02698747	18390401.62263461	82067991.72560821	84506123.48354842	71582847.34457077	116280999.73445821	46750540.46129996	116280999.73445821	46750540.46129996	71582847.34457077	39274656.99712663	56802529.0879069	49414914.6384322	128941877.74938338	46716249.29283653	128941877.74938338	46716249.29283653	49414914.6384322	44247601.60668061	845061234.8354841	1002159862.8239907	581404998.672291	420754864.15169966	581404998.672291	420754864.15169966	1002159862.8239907	157098627.98850653
971.158__9.75_6081	67234563.02451272	52059400.326968804	13593323.603943206	45034985.49127938	138083265.376302	35681509.98894376	100054634.72864844	43673649.997962505	66376776.99301202	16263955.528938225	125553711.34010158	20761720.2425577	71489471.71809356	47551090.01939199	53495711.28381694	60243718.455761135	61611446.71387436	59483869.42347601	61611446.71387436	59483869.42347601	60243718.455761135	77113736.38562164	45612370.008677244	49805245.1731804	52059400.326968804	47551090.01939199	52059400.326968804	47551090.01939199	49805245.1731804	68933124.35555279	534957112.8381694	843412058.3806559	308057233.5693718	535354824.81128407	308057233.5693718	535354824.81128407	843412058.3806559	308454945.54248655
97.514__7.06_3244	21959167.86337924	88210663.29222476	16.806355938875843	56578009.04576767	69882575.8548634	79686815.68714571	35665255.322210655	36573991.794181615	75490117.35200496	25960778.018781517	39768022.93400903	98851103.36424583	76359930.30362149	52131534.64866335	50892190.265205204	54079855.87767537	47797417.46355279	57570099.4410768	47797417.46355279	57570099.4410768	54079855.87767537	62049019.90885079	44352763.22142248	54354771.84721551	36573991.794181615	69882575.8548634	36573991.794181615	69882575.8548634	54354771.84721551	66034063.19888632	508921902.65205204	757117982.2874552	238987087.31776395	518130894.9696912	238987087.31776395	518130894.9696912	757117982.2874552	248196079.63540316
97.514__6.52_3288	26114779.466180727	46929879.517660365	32350530.19718402	54100592.70421828	89221330.24642459	107960273.35819131	28277379.332867786	38217849.89197072	55506660.273036875	87204810.73039655	51627110.0670693	48417359.96397495	64725808.880618304	49848818.83686849	55454301.15417196	55750227.39047588	38728096.18257958	65206966.95041827	38728096.18257958	65206966.95041827	55750227.39047588	56490042.98123569	47673619.74081766	50737964.45196889	38217849.89197072	55506660.273036875	38217849.89197072	55506660.273036875	50737964.45196889	54803626.48862758	554543011.5417196	780503183.4666623	193640480.91289788	586862702.5537645	193640480.91289788	586862702.5537645	780503183.4666623	225960171.92494276
968.569__6.23_4939	70243265.2772341	42719165.37138096	75364747.62996125	51679377.37506006	40275657.54147333	129981891.14155252	293944472.62997067	36987722.05177946	50169841.00287188	62035962.57710473	42131290.404056914	67594424.90485674	23413198.644852027	44473772.94442587	86362108.20697396	73643913.53547004	99114800.54108503	59493420.75457281	99114800.54108503	59493420.75457281	73643913.53547004	41848426.856710225	64815193.74098074	50924609.18896597	51679377.37506006	50169841.00287188	51679377.37506006	50169841.00287188	50924609.18896597	46150565.7034644	863621082.0697396	1031014789.4965805	495574002.7054252	535440786.7911553	495574002.7054252	535440786.7911553	1031014789.4965805	167393707.4268409
967.688__8.07_678	92530558.28237224	495423557.5267779	16538406.833893653	24371740.16971854	75833934.64655422	133870170.87747905	57545505.16729624	144560822.6985497	31737225.538267735	79905158.85217191	20286459.249326583	168891194.83963662	7028408.1670668	91757546.74760659	135685685.6472338	102877192.11405125	162886436.76894292	69538722.86133368	162886436.76894292	69538722.86133368	102877192.11405125	20855958.281094916	92144052.5149894	77869546.74936306	92530558.28237224	75833934.64655422	92530558.28237224	75833934.64655422	77869546.74936306	22329099.70952256	1356856856.4723382	1440280689.5967176	814432183.8447146	625848505.7520032	814432183.8447146	625848505.7520032	1440280689.5967176	83423833.12437966
965.514__3.3_5490	46195074.07626291	114913300.33739717	78090423.82385078	21641123.79761047	39154318.41315466	152559388.73032972	131668175.408122	28513071.69850105	41064523.874575995	87160552.58014996	52114135.04406377	71036342.05632256	24176528.693775803	90393409.138784	83968405.62628749	69905740.54806435	68586149.06357871	70638846.92833415	68586149.06357871	70638846.92833415	69905740.54806435	34749077.85250651	82625488.20200038	61575238.55019316	46195074.07626291	71036342.05632256	46195074.07626291	71036342.05632256	61575238.55019316	32620526.2841759	839684056.2628748	978680367.6729009	342930745.31789356	635749622.3550073	342930745.31789356	635749622.3550073	978680367.6729009	138996311.41002604
964.712__7.85_1165	42768541.70291685	171740445.60682243	42595333.46260768	23177549.469064105	82154422.80171259	29253995.777795184	170186135.66654348	106930396.62266448	23772527.90204514	97538090.70948659	9221579.168577269	111223471.47921555	12267589.126756255	52876842.00468543	90726767.58344501	69693351.53577808	102960613.81360228	51211539.15920908	102960613.81360228	51211539.15920908	69693351.53577808	17109811.41661069	89846256.75559959	47822691.853801146	106930396.62266448	42595333.46260768	106930396.62266448	42595333.46260768	47822691.853801146	17722569.29791018	907267675.8344501	975706921.500893	514803069.0680114	460903852.4328817	514803069.0680114	460903852.4328817	975706921.500893	68439245.66644277
964.583__5.02_189	42445359.22523714	27986570.52137574	43827410.64080068	146267406.9281643	117491937.08138476	32145633.67392189	39838848.37942094	89367047.90775837	345484985.0583529	40679492.924779296	227246053.66857138	50853370.343569696	128074969.66903208	45913588.463933274	53054925.91621818	98401619.60616446	69181046.5923913	114635271.28048287	69181046.5923913	114635271.28048287	98401619.60616446	211768353.83103016	43136384.93301891	48383479.403751485	42445359.22523714	50853370.343569696	42445359.22523714	50853370.343569696	48383479.403751485	186756730.29836786	530549259.1621818	1377622674.4863024	345905232.9619565	1031717441.5243459	345905232.9619565	1031717441.5243459	1377622674.4863024	847073415.3241206
963.622__7.98_3912	16679842.059659876	186091501.50281402	61605015.79124705	35394536.42435723	69571074.8347391	10670040.413887156	154303136.45915437	78676532.69547574	11675802.581156489	112409213.41213861	18380862.2492223	65057531.833301894	41955238.05562019	43964945.823917024	79902883.48263349	64745376.72404937	94229109.82829225	48365524.99946998	94229109.82829225	48365524.99946998	64745376.72404937	26851609.82758905	67314303.3340205	52784980.807582036	78676532.69547574	43964945.823917024	78676532.69547574	43964945.823917024	52784980.807582036	26887699.336789764	799028834.8263348	906435274.1366911	471145549.14146125	435289724.99522984	471145549.14146125	435289724.99522984	906435274.1366911	107406439.3103562
962.733__8.07_615	44181313.670775816	422492509.3654524	19747302.427026495	11750347.247650329	75029226.24919836	95011288.94901797	84461390.9868658	121881840.40202251	24610580.254295275	63305219.274226464	9170756.543341767	109349087.50203602	8091613.546695309	69591310.83067565	110505048.96572976	82762413.37494858	136953480.33455336	52656265.06405704	136953480.33455336	52656265.06405704	82762413.37494858	13405824.39799567	79745308.61803208	66448265.05245106	84461390.9868658	63305219.274226464	84461390.9868658	63305219.274226464	66448265.05245106	10460551.895496048	1105050489.6572976	1158673787.24928	684767401.6727668	473906385.57651335	684767401.6727668	473906385.57651335	1158673787.24928	53623297.59198268
959.965__0.81_1674	7887335.061912745	25483625.882612497	152805494.71467334	23094658.939188704	66875321.08117857	43104721.78372808	96475746.86340714	33283288.212075606	18833610.02092572	205748749.08993867	34632646.24808703	157693504.5004945	20074391.197599214	206440423.61358324	99579821.08036044	78030965.5149575	37244930.991839334	100689873.58335647	37244930.991839334	100689873.58335647	78030965.5149575	24158826.601450168	81675533.97229286	38868684.015907556	25483625.882612497	66875321.08117857	25483625.882612497	66875321.08117857	38868684.015907556	21584525.06839396	995798210.8036044	1092433517.209405	186224654.9591967	906208862.2502083	186224654.9591967	906208862.2502083	1092433517.209405	96635306.40580067
