index	V15-leg-psoriasis-BF3	V15-leg-psoriasis-BD7	V15-leg-psoriasis-BE4	V15-leg-psoriasis-BF10	V15-leg-psoriasis-BE10	V15-leg-healthy-BD11	V15-leg-psoriasis-BD8	V15-leg-healthy-BF7	V15-leg-psoriasis-BE2	V15-leg-healthy-BF6	V15-leg-psoriasis-BE9	V15-leg-healthy-BE5	V15-leg-psoriasis-BE3	V15-leg-psoriasis-BD9	V15-leg-psoriasis-BF1	V15-leg-psoriasis-BF9	V15-leg-psoriasis-BF2	V15-leg-psoriasis-BE7	V15-leg-healthy-BE12	V15-leg-healthy-BF11	V15-leg-psoriasis-BE8	V15-leg-psoriasis-BE1	V15-leg-healthy-BD12	V15-leg-psoriasis-BF8	V15-leg-healthy-BE6	V15-leg-healthy-BD6	V15-leg-psoriasis-BF4	V15-leg-healthy-BF5	V15-leg-healthy-BE11	V15-leg-healthy-BD10	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_Batch_4	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Body_side_right	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Body_side_right	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_Batch_4	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Body_side_right	GROUP_SUM_DESCRIPTION_2_psoriasis
997.7__8.37_887	1196173.0097336639	9425709.1930753	2840573.4978338336	1947953.6321552803	2342533.445319836	4845168.553263167	4957929.870272348	2060028.927423771	1553705.3536609462	1421605.364311057	1347486.963382925	3618224.025599529	1451514.8920984543	4924790.429716982	934153.5090572671	467578.3919873461	1124184.3365217033	2510935.2059256695	2309758.692901714	4982389.733161306	1119416.612937244	4907210.421288465	6691438.206821387	1868877.512773985	4616290.023302153	8806580.947769497	2469138.6300508026	2601307.7316281	2742317.077673528	6885839.936372694	4298412.435018991	3299027.1376006654	3299027.1376006654	3299027.1376006654	3299027.1376006654	2632770.2726551136	4117257.024450841	2490036.917988236	2490036.917988236	2490036.917988236	2490036.917988236	1908415.5724646328	51580949.2202279	98970814.12801996	98970814.12801996	98970814.12801996	98970814.12801996	47389864.90779205
992.745__8.38_527	961821.1877081237	8880653.609663224	3134587.6826644097	1717084.1159046346	1488782.4357252966	2745617.927133104	5070091.598237882	1633883.3319290986	2464824.5492851776	2077239.1785362526	1920033.6539521525	2527945.3986685276	2879112.552294106	4427621.075943279	1465982.9847377294	567825.490484088	573976.8406169706	3192494.580945028	1426098.5096187121	3207516.797606174	780898.4084532632	4630867.7218189975	6939133.3929696875	1682826.6829863815	5698710.85825307	9855389.719828557	2962630.569048772	2211689.73886642	1700150.028905158	7494978.7120068595	3959862.799526802	3210682.3111597053	3210682.3111597053	3210682.3111597053	3210682.3111597053	2711228.652248306	2636781.6629008157	2496384.9739768524	2496384.9739768524	2496384.9739768524	2496384.9739768524	2192429.1016186653	47518353.59432162	96320469.33479115	96320469.33479115	96320469.33479115	96320469.33479115	48802115.74046951
990.729__7.93_5197	1326995.7480212287	2211186.0676960708	1043762.5210614046	1990736.2060456742	1633180.482307689	1993122.7082357986	1331545.8373617406	2107242.0959316944	1217133.6004959943	2492054.646881431	4539725.976605788	2364210.6861507534	3555359.3864264367	2704243.5394121655	2347164.2419355786	1684468.424979704	1337485.8675382591	2433921.901224553	1442063.6173567893	2301265.598165438	2374416.6982641974	1582692.4112488476	3260198.019399123	3805854.6987268613	1856751.154514402	4308987.056062438	4729863.763735099	5245929.564258547	5190288.221986964	3560783.652393368	3010241.418444729	2599087.8131474685	2599087.8131474685	2599087.8131474685	2599087.8131474685	2324985.409615961	2428132.666516092	2324214.9200505083	2324214.9200505083	2324214.9200505083	2324214.9200505083	2100961.136870872	36122897.02133675	77972634.39442405	77972634.39442405	77972634.39442405	77972634.39442405	41849737.373087294
99.512__8.19_655	997419.553653301	1503509.7155880008	794686.6690435538	3220128.051170928	893988.6399120579	1318694.0117150608	1662242.9163370342	2010744.5777213154	4735275.449263335	1814923.0905371665	2780809.393436176	2228557.884678095	1927726.969947821	2459716.976645894	2724790.04894548	2542610.549519161	4849169.107946633	3090575.757695259	3191566.084220588	3879727.754996832	1942226.0944042364	3193027.9681939133	5711063.563152626	4040665.1978533864	1931072.2097196216	3982995.1401382727	1262649.9836621305	10277950.836298991	3399133.2444939185	2551776.7903548605	3524850.432335613	2897314.141041522	2897314.141041522	2897314.141041522	2897314.141041522	2478956.6135121277	2871671.4372877246	2547193.669937011	2547193.669937011	2547193.669937011	2547193.669937011	2501163.7630825276	42298205.18802735	86919424.23124565	86919424.23124565	86919424.23124565	86919424.23124565	44621219.0432183
989.614__8.21_4778	1352476.6570742505	4275523.22787265	1895172.8390175374	1294243.0188786124	2126090.2874638285	1716601.707980561	4362370.229043155	2476282.5591499154	2694851.393244949	5445870.122682537	2131898.8919833708	3359954.649877023	3604303.061342809	1743729.301419937	1787511.9449723773	1080738.2646131516	4992776.011247086	1858028.6006302887	1477566.6445224872	2545388.881694669	2334803.1889890004	1984305.8917691375	5347917.568207024	2704051.3569249697	3825790.9569976353	7765930.41087236	2610916.893945339	3455312.8473932142	3429008.4949105885	4847442.823858355	3807755.6390121975	3017561.9576192936	3017561.9576192936	3017561.9576192936	3017561.9576192936	2490766.170024025	3442160.6711519016	2578152.887820004	2578152.887820004	2578152.887820004	2578152.887820004	2128994.5897235996	45693067.66814637	90526858.7285788	90526858.7285788	90526858.7285788	90526858.7285788	44833791.06043245
987.717__8.03_4706	1331706.1238090107	1597232.8623181346	1526275.495206572	3071241.9728645007	1451300.5585999335	2084405.3649563405	3183244.3829478165	3374821.6779041924	1111326.4004872008	2692548.066729371	2743088.415755663	3497754.2402902883	1422287.123433287	2129244.310213885	4036053.6908621555	2435145.090066908	1325228.2150118032	2220002.555551179	3190228.708067933	4563967.386678369	3141992.553310876	3171280.297319098	4734756.291579341	3408852.8548036595	2252493.382801799	4096692.8253944525	2606989.02897394	3583401.9009022284	3724265.8212553184	9483953.88863363	3939940.796266105	2973059.382890962	2973059.382890962	2973059.382890962	2973059.382890962	2328471.7739742007	3540578.070596258	2907165.194310082	2907165.194310082	2907165.194310082	2907165.194310082	2327573.8228090433	47279289.55519326	89191781.48672886	89191781.48672886	89191781.48672886	89191781.48672886	41912491.93153562
983.647__7.58_4359	1469229.1279325108	2348084.541323184	1590869.7763596135	2146022.3236110536	1477569.1638645984	1961276.8437185362	1603660.7122969083	2871619.8539098017	1057496.3902987023	2402388.4022281403	4197339.8661404345	4072786.6870303126	3715147.508877266	2755464.327560314	1905385.6391871271	2892191.9425422843	644153.2623070226	3037008.9602521653	2791129.1444305186	3295682.5928525343	1761084.2920927359	2100994.7721020635	2674558.776915497	2353532.212462243	36247265.38998016	4128905.47803448	1624330.7495379196	4208330.276185655	2146457.330666579	4066264.462038863	5905555.436499257	3651541.026891307	3651541.026891307	3651541.026891307	3651541.026891307	2148864.753819342	3083651.223381168	2377960.307345192	2377960.307345192	2377960.307345192	2377960.307345192	2003190.2056445954	70866665.23799108	109546230.80673921	109546230.80673921	109546230.80673921	109546230.80673921	38679565.568748154
979.617__7.57_3001	2553554.1996051804	1390254.3761729186	1006563.0626091614	2385447.5251802276	1580770.448538306	1637100.7705624294	2954336.5734434077	4300187.550523567	1941979.9844182455	3572255.030485126	2262968.411594815	5563890.665809441	2332355.40993615	2275241.4985162723	2294969.6990061733	2611741.219394345	1337074.1464586358	5320348.56405263	3215718.7084714337	1727043.616024523	1989184.164885388	3045752.189336076	2887948.614034418	2860494.662674728	2812893.9670916614	3495044.7259677034	3382714.5111827264	2709299.6726384703	3884337.602280228	4410318.050498775	3351336.5811989815	2791392.9873797726	2791392.9873797726	2791392.9873797726	2791392.9873797726	2418097.258166966	3355381.717219569	2660520.4460164076	2660520.4460164076	2660520.4460164076	2660520.4460164076	2313662.5544711617	40216038.97438778	83741789.62139317	83741789.62139317	83741789.62139317	83741789.62139317	43525750.64700539
978.692__6.81_6029	1292361.2211928156	1791953.2371964157	2590382.051837098	2477590.1957925423	1429063.1609948848	2944409.8547089393	2818932.9378133854	1711808.1435771722	1923160.4105407505	2681603.0247018607	1833988.2005980855	3646790.15166842	3539414.5654179174	7.849666368192321	2357254.8103681537	1566157.5841153637	2409996.7186960382	1651648.3005313461	6742894.8089426765	2451136.820131734	3429519.236263225	3561228.788255124	2832277.370639312	8636556.17327176	3478893.637719155	3115524.731869164	4468658.070084524	3283507.5921484795	4923970.118105152	4151688.5421369183	3497042.066362415	2991412.610299493	2991412.610299493	2991412.610299493	2991412.610299493	2654326.306257544	3199516.162008822	2750267.981257623	2750267.981257623	2750267.981257623	2750267.981257623	2383625.7645320958	41964504.79634898	89742378.3089848	89742378.3089848	89742378.3089848	89742378.3089848	47777873.5126358
978.691__7.53_4572	2311915.4332485767	1918176.923502192	1468713.1943815646	1719983.4726278319	1787495.6712223452	2125247.3920140094	1999693.9933847752	2855353.4835220315	1712708.5686707995	2468835.38407008	1490864.868228259	2531661.1276810365	2457119.2466111886	2179741.0546135036	1636444.6878628074	1877306.6765525714	2999870.6767358896	1981084.4076070478	4681027.414761582	3010769.4092557887	2739990.399798902	2348404.3897251976	4147425.470587336	5995637.980678038	2415104.6327469787	5083163.397914548	5575955.038168034	2644980.6990566845	4090021.846405029	5078122.734124095	3427642.7493449333	2844427.3225252903	2844427.3225252903	2844427.3225252903	2844427.3225252903	2455617.037978863	2933061.44638891	2436111.9396790834	2436111.9396790834	2436111.9396790834	2436111.9396790834	1990389.2004959115	41131712.9921392	85332819.6757587	85332819.6757587	85332819.6757587	85332819.6757587	44201106.68361953
