#SampleID	V12-leg-healthy-BH8	V12-leg-healthy-BH9	V12-leg-healthy-BH7	V12-leg-healthy-BH10	V12-leg-psoriasis-BA11	V12-leg-psoriasis-BA12	V12-leg-psoriasis-BB11	V12-leg-healthy-BH11	V12-leg-healthy-BH12
186.167__5.33_2244	27673797.29192673	15016312.5	12072323.141561855	27729929.749846093	20499180.61950878	11425390.156226352	17.087506215940348	17.087506215940348	17.087506215940348
186.131_C5H17N5O_4.05_45	9840743.735060124	16155860.851878675	23602447.537060026	7643691.142565767	8887799.5	13842311.407150872	16595373.287596732	10534429.20543775	4110455.178068787
185.116_C10H16O3_2.95_690	11366586.757144496	10127249.204435036	10034576.071547572	11339926.456931235	14056469.98725089	11485264.917465253	13817766.457342105	11481062.0	11091730.206640147
185.08_C9H12O4_2.34_921	11379297.901661435	3386126.579607665	9490088.84249593	8767845.388219442	9443086.453689054	8726375.289544199	19122576.5579562	12397279.78319673	7365866.5
185.045__1.67_6045	7276325.205988652	6357230.403277242	12009270.874444975	10654525.368071392	8887799.5	19330934.48625521	12676826.256292453	13222434.10587761	15961659.207208212
184.169_C11H21NO_3.29_2952	15067714.5	21885694.375002127	14914003.66178801	17859117.37275049	154625.962168656	170369.84253674213	3263469.110643542	20427955.8877493	22096486.67241859
184.114__6.26_6133	15067714.5	16237157.006857164	7602968.699996063	6688946.441367652	8443199.84036935	9836873.59517094	16156416.251683233	7369881.674202519	9457989.197887646
183.1_C10H14O3_3.39_1454	14983151.971425187	13647306.88537542	12942105.038162207	14229914.560658855	12411978.935171153	12148643.506104235	14027860.032202262	3383511.94521564	7365866.5
183.174_C12H22O_6.34_2597	15067714.5	19774633.11012584	16782879.81854881	7170420.735532703	6828306.366840352	4410103.561583701	2869450.486225716	13544464.57058852	7483812.104505672
183.099_C8H16O3_2.84_1180	14328936.87260497	15016312.500000002	14729058.516944114	14111535.85973154	7966396.928955643	11520949.3401177	18831662.182400037	10733996.2088407	11873698.325483335
183.099_C10H14O3_1.65_232	8524384.439403545	4553352.332705427	4246907.058145147	13431034.5	12098984.722860305	11140780.747400913	8821461.439638453	6379269.206249483	13931977.13734155
183.077__2.44_2413	11481062.0	11481062.0	11481062.0	11481062.0	11481062.0	11481062.0	11481062.0	11481062.0	11481062.0
183.065_C9H10O4_2.76_416	14980400.38149756	12584983.56318258	12477679.082165135	12780448.65189126	13501999.77928022	11926432.19995302	14874457.365229493	11481062.0	11514081.405094512
182.19_C12H23N_2.95_1173	12652830.581127284	15042449.419743424	4746981.302401314	8219401.50895101	309503726.88117254	132372221.00294133	5247267.904504073	11653255.209962698	7365866.5
181.08_C6H8N6O_1.84_3621	39549608.33486323	1558083.5214983048	41120573.50377557	16886086.46217391	7797215.4097017925	4958644.957513937	0.046023142299924436	46643754.24874762	7365866.5
181.084_C10H12O3_1.85_1092	13517124.056599505	7081146.401997622	15224434.5	6697340.6025303835	121931253.444814	57951052.09792126	75446712.9546354	5680591.222631843	8133509.413900635
181.05_C9H8O4_2.97_485	15067714.5	1533612.2829217059	1762378.385419356	13545917.50192401	11091731.67714704	11120906.158680696	11743559.693964615	11037075.427416436	1411958.2141294754
179.07_C10H10O3_7.27_2917	15067714.499999998	21995852.409462392	12672692.5057841	10638464.982339583	16360511.48904992	28676307.688373014	7245617.679895693	10939175.979996344	14393628.880788432
179.07_C10H10O3_4.73_3599	8788184.019938286	7797294.563586415	7903799.311079062	6235006.899943292	8949674.03551118	22562689.01211163	13296740.905256735	11481062.000000002	8535891.004848665
179.07_C10H10O3_3.14_906	13224105.486422388	11877991.475704128	12480928.105754545	12693626.532805946	13030401.75947698	10509912.4178156	13074065.613454275	11481062.0	10901457.138093796
177.112_C8H16O4_7.06_3665	21615852.863702577	11799870.325845415	9803697.606382832	10800813.711109566	6767139.336051622	26511997.94870948	10959885.42797	11481062.0	10974490.034005122
177.088_C9H14O2_4.29_3645	7701464.60579166	10715386.853965178	10807310.220075913	13934399.831661053	130849231.73648778	9356938.078093493	62061994.37468032	5860322.027883495	7365866.5
176.972_C2H6N2O3S_9.9_1267	11695400.79613674	8856667.741082279	7978824.394185067	19391373.415120985	8887799.5	11184996.9167378	16895363.77726757	9164870.908599053	26849802.86522043
176.103_C6H13N3O3_0.97_1133	25955569.404551234	30689480.00875141	15224434.5	14627657.483048748	241174.12820392768	491632.02949492796	1418935.766709634	22205792.763209406	891247.8701687172
175.096_C8H14O4_2.76_1951	13531780.331051605	11933238.522405654	11556041.835293867	13431034.5	11808334.25875983	10131405.834385848	12889724.41565326	11307670.164402962	12719982.496303964
175.06__2.83_5928	9166068.318768723	5012966.728365473	14974520.963551564	13431034.499999998	4853946.04852128	15731039.419389132	10386848.290226303	17207681.988738615	11486161.306183308
175.044__2.24_5764	10963675.64808085	20000604.329120826	6735679.355589554	12729085.936124442	9656620.228970625	9809465.785234086	4432066.631997857	11481062.0	9656614.881916003
173.117_C9H16O3_3.59_1465	12945666.88817845	13662921.897101775	12742951.47947956	12219559.270894807	16833972.69675361	16737542.16201061	16377593.600458926	11481062.0	13961041.806353187
173.08_C8H12O4_3.47_2692	4737542.611177458	4633363.352733283	15224434.5	5117866.528655911	6475673.395485309	20017302.98404643	8529683.966903374	15157419.290007522	9349589.11532481
173.08_C8H12O4_2.72_1583	6678030.172195883	16788935.00670392	8605283.994995432	13431034.5	308036388.1526076	96115704.79525816	7157543.45512811	9273312.196381053	25372521.89063609
173.08_C8H12O4_1.94_1130	10773322.068389356	5392292.599786656	6018415.549552592	13431034.5	12838636.498402715	16837262.067838255	21565330.769224104	5496086.152095263	19007096.79467788
173.08_C8H12O4_1.14_1726	9616337.205792267	5281814.34108693	11648236.686438307	10493197.293114083	13284790.860157834	15397907.533326792	21469063.214760505	11481062.0	8621306.042077625
172.08__3.52_6248	8663197.650737153	13414158.011353778	8573914.227103695	25030147.002636187	8887799.5	11658001.82640586	8909993.758929465	6184298.589837047	26122454.67303888
171.138_C10H18O2_4.11_2454	15067714.5	5186700.822506504	14089194.414163487	7938446.698771125	12621336.791781208	6357974.733046963	13470372.070926152	20129329.033984106	15623145.546319215
171.102_C9H14O3_4.16_677	10950142.136138113	11935630.722494977	11565540.13401725	9873770.064635796	13156417.957357125	8801382.73119018	13972497.790409192	11481062.0	10521935.064752152
