#SampleID	V17-leg-psoriasis-GA6	V17-leg-psoriasis-GA4	V17-leg-healthy-GA5	V17-leg-psoriasis-GA3	V17-leg-healthy-GA8	V17-leg-healthy-GA2	V17-leg-healthy-GB4	V17-leg-psoriasis-GB3	V17-leg-healthy-GA1	V17-leg-healthy-GA12	V17-leg-psoriasis-GA7	V17-leg-psoriasis-GA10	V17-leg-psoriasis-GB2	V17-leg-psoriasis-GA11	V17-leg-healthy-GB1	V17-leg-healthy-GA9
998_513.357_7.68_C26H46N6O3	7808488.379724767	1041389.6054748514	3711485.7615729067	4777496.02514137	1770206.7781872419	1218122.8321990743	5902845.520977317	8012981.111819779	4568434.984614648	3141289.4968096293	6900840.051604978	2613878.841513868	2200713.946692148	4113207.424270007	2302399.624704721	4980283.393987529
997_298.274_4.96_C18H35NO2_C17_Sphingosine 	697979.1744548456	2893830.3717722083	3197986.32268219	5063709.443100981	2701305.35907809	1494094.9541116834	3612117.317910079	3612329.151764905	3555391.437354925	3207100.8510489436	2771087.1730866493	1686353.2695065588	7626974.227405148	3486559.1927303807	6531273.307551188	4932901.402752161
996_561.327_5.1_C24H44N6O9	2003671.605806329	1972978.260306946	2982912.7378265983	1883431.0672529882	2392718.258054933	2445322.3127152324	4957734.501960231	3040631.1226825607	2995547.3039479004	3346272.3323658714	4616729.89858163	2779084.198957137	4599338.075147783	3508006.96861506	3741585.0565438564	4671070.480552207
995_606.348_5.19_C29H51NO12	4276623.582875374	2127703.29902501	4105967.570973992	4294993.646685415	1968672.7161745268	1627821.887557384	6925986.536934754	4217740.318270886	3103024.7834092337	2675636.5340601862	8503242.723523473	3432547.364212542	2920017.317409445	3069483.429357711	4581140.055384305	6054600.992693841
989_489.227_6.88_C30H32O6	2605752.68136243	2263233.554349825	2209798.252016948	2631401.94194274	2164883.95029803	2900848.7256135815	3655210.24276024	3680929.148211042	3342162.7837245613	3144820.331885808	4339370.948221627	3737258.250002466	4889705.1497655455	4052016.7054796894	5124073.592434069	3945887.433057372
985_583.441_6.66_C32H66BO3Se_ Decaethylene glycol tridecyl ether 	2697846.240979371	2712011.3880518842	2262546.837846866	3657420.2964359117	4084569.61715132	1168735.007622822	3276664.99923596	5172831.630679095	1581868.2096410196	3416537.44373092	7202420.29282042	3584827.1776849893	2894160.3883381593	3973008.8382544746	2610684.2014016	3922169.6708746785
984_503.247_3.02_C20H34N6O9_Fatty acyl glycosides_NCGC00384970-01!7-[(2S,3R,4S,5S,6R)-6-[[(2R,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5-hydroxy-3-(4-hydroxyphenyl)chromen-4-one_Amino acids, peptides, and analogues_5-amino-2-[[2-[[4-amino-2-[(2-amino-4-methylpentanoyl)amino]-4-oxobutanoyl]amino]-4-carboxybutanoyl]amino]-5-oxopentanoic acid	1117091.3960740808	2631119.601118752	3701524.352712574	4360285.707623235	1721471.091602596	2587394.2079086667	3911457.6307278383	3575486.2403929867	2595606.4401295763	3959548.5765204974	5085401.872388842	1733944.240892118	5063597.288229054	5797317.075017801	5202464.17813562	7393474.224772448
983_522.597_9.66_C36H75N_Amines_Adogen 360	2258295.9032076136	2633016.1688495083	2373439.445559646	5837657.656058082	2054443.8567685368	1638972.3724292184	1691242.7430094432	1618054.6289019324	1257074.8259807136	3318048.28113013	35907537.67071924	43890650.558479935	2672956.5851028697	4640956.427450618	10248303.010566646	8700169.297757985
982_601.323_5.25_C26H44N6O10	3394435.8567190273	2837585.6909027225	2035008.1748040242	4019443.5218909765	2167656.4101298344	1386580.9363894046	1920103.875590869	2557524.801242896	1982136.7190681344	1124472.431933314	7909604.106944243	2571691.309294824	4905242.079126278	2999333.1516719945	4884338.282313518	7076532.128307693
981_620.442_6.86_C38H57N3O4_Anthraquinones_N-[2-[[5-(1-hexadecoxybutan-2-ylamino)-9,10-dioxoanthracen-1-yl]amino]ethyl]acetamide	2407504.560136278	4260510.375361199	528073.3577941979	5348594.612842954	2250971.8134002183	1680052.9757520312	3307872.0568469474	5033735.566083026	559058.9799119728	4351919.334227126	8745327.655449629	1068911.3776090485	3537171.975595704	5199568.780360339	4547626.966779987	3271185.0260283304
977_555.35_5.34_C30H50O9_Terpene lactones_[(4Z)-7,10-dihydroxy-3,7-dimethyl-12-oxo-2-[(2E,4E)-8,9,11-trihydroxy-6,10-dimethyltrideca-2,4-dien-2-yl]-1-oxacyclododec-4-en-6-yl] acetate	3815334.404380963	1617875.6588318746	2261318.8966738298	2267912.397987504	1168980.2363802022	1850224.6874877287	11836387.755996067	1685895.8452771984	3133991.4231061074	3257366.0866965516	2702452.2041993267	1596532.420609036	7733861.973544314	5127716.133710953	3852963.76270352	7274424.968888102
975_271.274_4.74_C16H34N2O_N-[3-(3-Aminopropylamino)propyl]dodecanamide_Fatty amides	1696776.580450771	1517318.9421967592	2155685.00145489	1934548.686527957	1980928.6138212285	1822537.4045615064	2307646.140892717	4607168.727551257	5107181.850358792	2730365.704921739	2868020.5638283426	3108766.824972592	5231465.507913471	5443340.660756758	4943026.761328418	8138950.722228909
972_681.494_8.31	970283.1923160991	6090087.287966876	1190665.3928526302	5602625.630242726	1749019.415970096	1512577.5246147	9591459.255316833	4762747.296291832	4061374.1885548793	10297489.800078273	22530834.07234707	2331268.72189023	1729543.398600492	7895001.438001548	3170661.422277051	3247315.51319055
