index	V18-leg-psoriasis-GD6	V18-leg-healthy-GC2	V18-leg-healthy-GD9	V18-leg-healthy-GC5	V18-leg-psoriasis-GD7	V18-leg-psoriasis-GC12	V18-leg-healthy-GD12	V18-leg-healthy-GC3	V18-leg-psoriasis-GC9	V18-leg-psoriasis-GC8	V18-leg-healthy-GD8	V18-leg-healthy-GD4	V18-leg-healthy-GC10	V18-leg-healthy-GE1	V18-leg-healthy-GC1	V18-leg-psoriasis-GD5	V18-leg-psoriasis-GC7	V18-leg-healthy-GC6	V18-leg-healthy-GC4	V18-leg-healthy-GC11	V18-leg-psoriasis-GD1	V18-leg-psoriasis-GD2	V18-leg-psoriasis-GD10	V18-leg-psoriasis-GD11	V18-leg-healthy-GD3	GROUP_MEAN_DESCRIPTION_2_healthy	GROUP_MEAN_DESCRIPTION_leg	GROUP_MEAN_Sex_male	GROUP_MEAN_Batch_4	GROUP_MEAN_Body_side_left	GROUP_MEAN_DESCRIPTION_2_psoriasis	GROUP_MEDIAN_DESCRIPTION_2_healthy	GROUP_MEDIAN_DESCRIPTION_leg	GROUP_MEDIAN_Sex_male	GROUP_MEDIAN_Batch_4	GROUP_MEDIAN_Body_side_left	GROUP_MEDIAN_DESCRIPTION_2_psoriasis	GROUP_SUM_DESCRIPTION_2_healthy	GROUP_SUM_DESCRIPTION_leg	GROUP_SUM_Sex_male	GROUP_SUM_Batch_4	GROUP_SUM_Body_side_left	GROUP_SUM_DESCRIPTION_2_psoriasis
99.013__5.59_3303	630967.6825779249	1190835.147859258	1304657.7324499323	422637.2489725443	1384645.818119761	2054014.2238859609	632927.5994980675	1350227.1656878984	3792739.5062992517	1301049.0831902826	3194350.665562415	2391445.3131154943	2985272.8430256485	1359590.0	882732.3864478241	1054181.441931436	3516303.3245635694	3096122.795964463	2044351.1237504391	3008174.3903468354	5588860.873828239	2809535.445645736	3616013.9613913563	4066428.52871957	2447818.8566179792	1879367.376378486	2245035.3263780754	2245035.3263780754	2245035.3263780754	2245035.3263780754	2710430.899104826	1701970.5618752195	2054014.2238859609	2054014.2238859609	2054014.2238859609	2054014.2238859609	2809535.445645736	26311143.269298803	56125883.15945189	56125883.15945189	56125883.15945189	56125883.15945189	29814739.890153088
99.013__4.62_3713	714844.1704325428	797095.3780778791	1365581.4127796364	1923429.3901939697	1088447.0104111666	1793194.7368061633	681676.1332572361	1622110.0	919165.2942149111	1214920.0678598713	2505575.9575166753	1653400.0674733792	2703922.8373225806	3250579.3597511807	2686533.2338401997	1311246.1493329816	1770243.3450423966	2629247.14450648	1364771.1141055368	2585616.402636399	4871509.500774292	3463364.0743965274	2809030.218388363	7447370.7369997	4480972.879778589	2160750.807945696	2306153.864635946	2306153.864635946	2306153.864635946	2306153.864635946	2491212.3004235383	2214502.6738553224	1793194.7368061633	1793194.7368061633	1793194.7368061633	1793194.7368061633	1770243.3450423966	30250511.311239745	57653846.615898654	57653846.615898654	57653846.615898654	57653846.615898654	27403335.30465892
99.013__3.79_3477	888321.9891169373	1053484.0370847536	858008.8479462783	1321491.5268219684	1850849.1955605622	1514319.0	1891955.2148876255	1327589.0609308728	2987106.422173412	2027668.981154215	2228050.6903017415	2192432.0393985803	1920725.534716628	1181739.764674529	1929107.983567867	1716594.4215662933	1791912.778993998	3683096.1251284494	2072641.6735646878	2872249.60320699	3220625.8082376346	2306380.022990345	6002795.350413927	3105990.701126724	3153335.34392529	1977564.81758259	2203938.8846996124	2203938.8846996124	2203938.8846996124	2203938.8846996124	2492051.333757641	1924916.7591422475	1929107.983567867	1929107.983567867	1929107.983567867	1929107.983567867	2027668.981154215	27685907.44615626	55098472.117490314	55098472.117490314	55098472.117490314	55098472.117490314	27412564.671334047
99.013__0.88_2719	684543.1414895406	934307.6574816802	5382078.503147286	1011958.9922324893	9369683.704445783	6783140.403096145	1492809.0	2946724.35502515	1529268.524010102	1867253.1484514016	2210744.8299554437	1418980.0979564528	1929962.4839395552	3918668.0718919444	1867744.6787858512	1421978.084393521	4451682.172156758	2492851.867652828	2835119.080859172	1427659.4429933026	3388142.9975760463	2245352.400134508	1872241.6584414537	2511380.1210400583	3588345.743018873	2389853.914638574	2783304.846407014	2783304.846407014	2783304.846407014	2783304.846407014	3284060.577748665	2070353.6569474996	2210744.8299554437	2210744.8299554437	2210744.8299554437	2210744.8299554437	2245352.400134508	33457954.80494003	69582621.16017535	69582621.16017535	69582621.16017535	69582621.16017535	36124666.355235316
989.614__8.21_4778	1587135.8121248987	1599266.3674223993	1501696.4960935388	1859059.0	783023.9177431248	1107967.4555051734	2440112.5987502765	2101713.510950134	1926907.8686131388	2497886.938387525	1375767.168368601	1965686.809512399	2578496.8770367913	1008652.246276635	1126106.1766091574	2068086.0582233528	3122667.6480510705	1468640.1617894273	3276963.285593158	1808515.0195937478	2540928.7071935907	1719466.2351311166	2726553.6169296373	3454121.935831552	1942408.0226043896	1860934.5529000473	1983513.1973733935	1983513.1973733935	1983513.1973733935	1983513.1973733935	2139522.3812485617	1833787.009796874	1926907.8686131388	1926907.8686131388	1926907.8686131388	1926907.8686131388	2068086.0582233528	26053083.74060066	49587829.93433484	49587829.93433484	49587829.93433484	49587829.93433484	23534746.19373418
987.717__8.03_4706	1701338.4570210176	2047280.9142857145	1524105.0912092598	2107908.7546756016	668421.9402985075	1254993.2646786477	1492809.0	1295917.0569418215	2224450.6208650623	2367517.167225099	1987544.3031495584	1808373.877837344	1153077.8649832471	1278638.1224307036	1163445.2256899178	1281139.0208467864	1874006.5464514166	2013223.2249466951	3133898.540633567	4337285.3875723425	3152465.81675297	2834109.026865672	4537478.516539751	4474334.620773683	5627473.113597319	2212212.891282364	2293649.419050868	2293649.419050868	2293649.419050868	2293649.419050868	2397295.908938056	1897959.0904934513	1987544.3031495584	1987544.3031495584	1987544.3031495584	1987544.3031495584	2224450.6208650623	30970980.47795309	57341235.476271704	57341235.476271704	57341235.476271704	57341235.476271704	26370254.998318616
987.559__3.37_5387	11.03650968091276	11.03650968091276	11.03650968091276	11.03650968091276	2347024.148742907	11.03650968091276	11.03650968091276	2974328.3224963075	1873833.7961737728	11.03650968091276	11.03650968091276	2144217.246846454	1817050.9538654767	1798664.128737076	1863018.0166864782	2611999.7096719416	11.03650968091276	4018161.4081170363	3916691.7381107244	2818448.659763096	11.03650968091276	4704301.214979382	5141898.823827573	3444594.0000000005	5661839.831405055	1929462.5348982937	1885447.2945808035	1885447.2945808035	1885447.2945808035	1885447.2945808035	1829427.8978130892	1840034.4852759773	1863018.0166864782	1863018.0166864782	1863018.0166864782	1863018.0166864782	1873833.7961737728	27012475.48857611	47136182.36452009	47136182.36452009	47136182.36452009	47136182.36452009	20123706.87594398
983.647__7.58_4359	1111942.465853971	1474569.4427441573	2008356.56861147	1989474.3448946786	1277113.7347690242	1863682.8055155636	2050269.0913246095	922790.6186150506	2717594.557011808	1604179.4473318232	2636668.538174959	1981033.6285149492	1289139.6835000433	1076589.3763082714	1783978.8497489926	1190179.560427353	2557051.321900758	3108059.12831991	959780.193250129	2045749.0	1380198.8025899725	1227535.36847466	3017695.8527132147	2623347.2796912156	8031458.251741221	2239851.1939820317	2077137.5164811122	2077137.5164811122	2077137.5164811122	2077137.5164811122	1870047.3814799422	1985253.9867048138	1863682.8055155636	1863682.8055155636	1863682.8055155636	1863682.8055155636	1604179.4473318232	31357916.715748444	51928437.912027806	51928437.912027806	51928437.912027806	51928437.912027806	20570521.196279366
982.62__7.48_4896	1134107.849885324	2075596.1737650745	1573947.8157907717	718342.6990554638	4060630.1873412416	1575638.7505610497	1790723.5528003157	1764175.3517719302	1728925.6634318973	1817334.7700313202	6278459.1817677375	1199707.7168117587	3098385.9017238403	1761785.9874226246	915937.8793928333	1904347.0174726874	2709628.4450664627	2908171.494118227	1466896.4159165455	1999530.3658536586	2129370.0	1982975.4842906115	2107784.324927865	1830555.0442057757	2909694.385681521	2175811.065848022	2137706.0983634614	2137706.0983634614	2137706.0983634614	2137706.0983634614	2089208.8670194761	1777449.4522861228	1830555.0442057757	1830555.0442057757	1830555.0442057757	1830555.0442057757	1904347.0174726874	30461354.921872307	53442652.45908654	53442652.45908654	53442652.45908654	53442652.45908654	22981297.53721424
98.513__6.8_3090	974474.0	757830.9826684378	1379557.0806925122	906242.7571217375	862171.5280329296	1092456.1624328976	1772412.4947263624	2242687.8182526105	4641338.839760908	1175987.1019739246	1891069.272754289	877253.7876186331	2913585.5317801596	709410.280747795	2020968.425215003	1338468.4203888813	3111299.700875771	938191.6254008636	2430928.8486837167	1718871.7834261386	2399770.2617990207	6073986.522378315	3999963.328478695	4980533.854596735	5653470.650130578	1872320.0956584883	2274517.2423974765	2274517.2423974765	2274517.2423974765	2274517.2423974765	2786404.5200652797	1745642.1390762506	1772412.4947263624	1772412.4947263624	1772412.4947263624	1772412.4947263624	2399770.2617990207	26212481.339218836	56862931.05993691	56862931.05993691	56862931.05993691	56862931.05993691	30650449.720718075
98.513__3.11_2260	1213852.2132655818	815538.2990011198	2161787.3936474714	619951.3522930024	836271.4210546534	2308626.0493091806	1066678.0495778425	1522896.807364171	1516936.6879246018	1978979.2121408102	1004187.1666541916	1936308.2842167546	3057146.9435759555	2874388.1278304667	1759330.4379710974	1300692.1607208734	1919324.7704019214	4608622.147437986	5379514.788540424	3772583.223194014	6029214.485965515	2108700.290116116	6804338.648644546	8019123.934512926	3127399.0	2407595.1443788926	2709695.6758144484	2709695.6758144484	2709695.6758144484	2709695.6758144484	3094187.2612778842	2049047.838932113	1978979.2121408102	1978979.2121408102	1978979.2121408102	1978979.2121408102	1978979.2121408102	33706332.021304496	67742391.89536121	67742391.89536121	67742391.89536121	67742391.89536121	34036059.87405673
