#SampleID	V3-lower-leg-psoriasis-2E10	V3-lower-leg-healthy-2D7	V3-lower-leg-healthy-2F3	V3-lower-leg-healthy-2D8	V3-lower-leg-healthy-2E5	V3-lower-leg-healthy-2E7	V3-lower-leg-healthy-2F2	V3-lower-leg-healthy-2F1	V3-lower-leg-psoriasis-2D5	V3-lower-leg-psoriasis-2E2	V3-lower-leg-psoriasis-2E11	V3-lower-leg-psoriasis-2D4	V3-lower-leg-healthy-2E4	V3-lower-leg-healthy-2D11	V3-lower-leg-healthy-2D9	V3-lower-leg-healthy-2D12	V3-lower-leg-psoriasis-2E3	V3-lower-leg-healthy-2E9	V3-lower-leg-healthy-2D2	V3-lower-leg-psoriasis-2E12	V3-lower-leg-healthy-2D10	V3-lower-leg-psoriasis-2D6	V3-lower-leg-psoriasis-2E1	V3-lower-leg-healthy-2E8	V3-lower-leg-healthy-2E6	V3-lower-leg-healthy-2D3	V3-lower-leg-healthy-2D1
598.488_C29H65N4O8_7.63_323	35154958.14343235	75775476.12575649	97399990.62274855	57277234.27410539	28900198.87240294	93838753.6925533	73300575.37556851	69703181.89131843	87025571.26380752	58649774.39277786	93999874.14777738	54455221.20924131	68573761.5	72392416.78062697	81334761.55977242	71041785.84247673	31264784.54972406	40335612.36546768	87141249.60156715	73862219.14011368	119707884.06411496	63684315.73470706	58723283.32360604	67217954.7848761	68879234.8405362	69793210.685924	243465439.27490145
598.487_C32H63N5O5_9.14_4202	64682457.9794168	59028115.366776206	89050278.99508293	177386911.94782332	100075685.9740703	65012165.60800434	340421459.2426547	51206566.06577086	70870894.42053434	38152981.45811959	73313611.53769436	160489922.5534161	62076515.93866144	108819489.67876454	59561739.0	93191255.00424647	91125567.30936655	79840300.68643895	57226307.96504209	130017043.18958476	59400150.16396921	68320713.69847462	62375521.73638224	101629729.26485604	134402146.49335083	39491987.18715873	44692538.60348625
598.455_C30H63NO10_7.0_2027	80471629.95032728	66697605.59742122	71213181.19884197	21798157.836692188	56955348.99999999	81178591.70496936	127351507.689328	101484986.91139644	71851516.85623166	108397167.04127067	72937764.48924407	53790663.59238479	127316549.75516714	66156302.35243449	40250000.71516877	106787035.4751742	97977419.21789382	55453588.68447128	102087600.8741744	64020822.03560468	60153895.03485686	33325419.27535081	79371605.89020814	74023888.45750847	186292226.29049292	73449301.10685189	98933156.99780484
598.454__8.92_1061	88531648.43541585	82444591.51157434	481987846.7713339	71146166.42454565	40985279.52520007	132553316.80811895	472857875.6927394	44040088.96588428	69665680.40207064	40459058.97578545	113320431.3660148	22702262.41011257	27916876.7017026	80834200.0	263680838.89390144	38474050.73894816	25860046.97584212	47549817.65221086	256725446.21473423	46939187.70549104	299628773.77698565	14638300.356146345	15429382.853806602	92357912.72088088	591629313.9334207	38005307.78580889	420178973.9873922
598.453_C30H65BN4O2Se_6.24_2338	133275786.26738696	47977800.168827705	74016529.35524738	50974248.3597205	36432726.09518048	42573066.08792252	46553290.77690821	48781030.86095101	65997865.28246313	75795000.0	117782879.50463712	99424470.32907908	49259127.12057126	182428107.14234516	90364518.15656789	65678845.63003007	45675056.37709688	137876146.2420094	72833202.22950391	176470131.0551057	101529069.67951688	38599666.37413692	45627757.38143339	58741084.3413288	83548775.49316607	104728214.66248654	56628395.86835937
598.432_C26H59N7O6S_8.24_3588	13648810.581940718	649841861.2257078	32571925.12603224	55359929.0	8741252.507166216	38557475.61471797	23332022.027448647	40898464.01232499	354551214.61395097	1048748539.966874	1651865211.9406068	17948699.404361945	847606937.5653063	100559689.91289753	50021666.07104202	154454226.01438868	843864504.4964184	11407221.762237582	9160573.407482257	174608133.31754074	10469226.921877803	819064024.0172652	611981241.1015036	485899107.27624273	47954655.07637087	532189746.9047092	24907493.22536657
598.416__7.85_4206	90655217.44523132	70702079.0	39132656.22995948	49282768.22865888	41802509.81522948	43593045.2246906	64089318.78147604	73848526.91862114	96077501.75014104	77667424.19823836	101112704.94269812	69932175.59636094	92026230.98203447	73317727.6358229	28581117.68186028	95003603.57989413	103779093.59550248	50983594.91756015	38923907.35642323	80555842.97483438	54889253.21572341	144635845.8012593	76271289.10606451	80689310.96778482	27915033.80870264	80580077.17788216	27646391.97160823
598.416_C22H59N12O2Se_6.01_4393	84778306.45262052	89963776.63985397	112878164.96485996	72474414.15025927	260676582.47175136	133102635.41340248	87085716.39883773	104781541.43715373	67422342.50347087	59553248.40937118	59249474.80997577	73672789.5	77822828.7085138	69334333.69916464	33722580.45382688	75022343.96487375	81609118.05077426	59096256.67869073	76703364.61076511	53867710.61660999	48160765.36576677	37286307.42351924	56832639.13794257	84021884.53656048	53849045.43621615	42173753.948445424	128201393.46249324
598.298_C22H39N13O5S_3.79_481	76974794.66734888	70964645.48356158	101883692.03838012	66221502.10179707	83188947.41964513	80241418.66995753	95907807.31330496	78668830.33202934	45663239.52828642	58753430.05993857	35415881.774983704	46924366.54666129	60379143.94067274	81953657.23758695	55106054.71774404	53351453.80485514	69957306.01663987	81587553.97749177	65222498.95076886	70773734.23499385	105080988.27233176	67072091.534762	47827010.36488262	67684851.72793579	87558656.88749388	65922829.5	138572825.88350713
598.249_C28H39NO13_3.21_1048	78439298.49236518	89077702.73960066	309528645.6657105	202489727.73984364	105641405.21128054	171113597.52460665	116979269.88088809	20879563.57442199	12532096.52844971	42844856.05939937	29484510.575041573	25170667.55577633	9037805.447329702	80834200.0	363033447.47221035	22633960.085095353	8362492.193026339	45403506.02787872	319555274.37200195	33317613.81205185	124984043.00186013	48747229.20471481	2750681.604648118	72101185.17097363	376880945.9778798	113414305.50549664	342667071.23254496
597.954__8.99_450	30233962.28325213	61336608.25692317	250258228.26391745	33034226.725553885	50293089.59154014	167622923.18656147	239207539.50191307	30424669.976666845	62555541.39216895	53040050.35585986	76287020.0	58808861.79248756	58053268.78939857	108590720.65429084	172393267.33813497	92939139.9659217	16596910.556129668	40829196.18132533	133992797.26684472	44819085.92627205	247107964.1855618	17538713.859238748	66840856.32882056	184921270.0418542	231717320.03957	68376537.79792576	262451703.60137197
