#SampleID	V9-arm-healthy-BG3	V9-arm-healthy-BG5	V9-arm-psoriasis-BG9	V9-arm-healthy-BG6	V9-arm-healthy-BG4	V9-arm-healthy-BG8	V9-arm-psoriasis-BG10	V9-arm-healthy-BG7	V9-arm-psoriasis-BG11
286_329.218_2.96_C15H28N4O4_Amino acids, peptides, and analogues_Lys-Arg	7686.095170763541	8551.159343049816	6392.824233195563	7072.897759408309	5939.663693713293	6118.0	5923.027844246248	5324.1372634326735	3875.820208831847
2863_477.354_8.4_C25H44N6O3_Amino acids, peptides, and analogues	1895.8681992337165	6485.238314176245	16321.728735632185	5366.170114942528	12657.970881226052	8390.035249042145	3884.0	4006.026053639847	6482.262068965518
284_423.128_2.18_C20H22O10_NCGC00385223-01!(2R,3S)-7-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5-diol_Flavans_Flavans_NCGC00385223-01!(2R,3S)-7-[(2S,3R,4R)-3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxy-2-(3,4-dihydroxyphenyl)-3,4-dihydro-2H-chromene-3,5-diol_Flavonoid glycosides_Polydine	8831.746529013884	5225.7401210395155	5388.093780196306	6431.252606418146	5826.009866246249	706.7503432843413	4897.522453338758	5752.0	5125.402634389462
2840_366.266_5.1_C19H33N4O3_Peiminine	6119.5	4430.067484662576	12.514314928425355	28132.1799591002	10236.709611451945	12614.429447852759	12.514314928425355	45764.84969325153	12.514314928425355
283_633.454_7.29_C34H64O10	6119.5	6844.976810439897	3624.7595882857495	11675.115181962996	8292.931043989707	9027.406016419556	2745.939100600417	10946.264060776866	1595.6740595515255
2823_510.401_7.05_C27H51N5O4	11925.260689655172	10753.5	2714.331724137931	39743.45275862069	4123.411034482759	11747.27172413793	3849.0113793103446	5725.3117241379305	2751.4127586206896
2814_273.184_6.29_C16H26O2_EA066011 Galaxolidone|1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran-1-on_EA066011 Galaxolidone|1,3,4,6,7,8-Hexahydro-4,6,6,7,8,8-hexamethylcyclopenta[g]-2-benzopyran-1-on_Sesquiterpenoids	4283.0	4283.0	4283.0	1443371.0	4283.0	1280617.0	4283.0	4283.0	4283.0
27_423.251_6.95_C20H39O7P_ Hexanedioic acid, bis(2-ethylhexyl) ester 	7332.70055452865	8451.031423290202	8331.06099815157	7246.902033271717	5836.02033271719	6118.0	6551.1719038817	5095.301293900185	4788.24584103512
2799_717.51_8.77	450282.54117647064	1388.705882352941	5683.011764705882	40336.564705882345	7263.999999999999	3824.282352941176	1153.6941176470586	4294.305882352941	3845.6470588235293
278_419.17_3.22_C22H26O8	7808.533109516093	8320.273327159064	6186.16346376476	6637.556957629081	6329.33086362584	6036.420351933318	6366.704213938412	5752.0	5003.117967122019
275_394.352_7.04_C19H45N4O4_11-Dodecenamide, 12,12-dibromo-N-(methylsulfonyl)-	6145.863331331436	8003.165156539677	3869.75815338016	12167.678930464526	7263.999999999999	9050.36321382876	3145.5773559286627	9382.484894378149	1800.588871190955
274_667.193_5.55_C21H26N14O12_NCGC00179919-03!3-hydroxy-3-methyl-5-oxo-5-[[3,4,5-trihydroxy-6-[6-methoxy-2-oxo-3-(2-oxochromen-7-yl)oxychromen-7-yl]oxyoxan-2-yl]methoxy]pentanoic acid	8676.034788316378	9310.523793895636	6834.811946176567	6286.661634394486	4296.855923859534	6118.0	7252.450278962914	5533.707909419101	4075.9894978667535
2730_743.458_6.02_C34H66N2O15	1145.1095471236226	10753.5	8715.994736842105	3574.847735618115	7528.766217870258	4806.827662178703	10787.721664626682	4067.1132190942467	2895.6793145654833
272_483.368_7.86_C28H50O6	2814.4999615768847	9671.005917159764	7906.221778221779	7922.130792284637	7264.0	4101.455467609314	7838.678244832091	219.37693076154613	4517.601782832552
271_391.232_4.05_C15H30N6O6_Eicosanoids_Iloprost	16117.191894585318	9818.716864134649	6382.548112058465	5806.774886502049	6232.872550105193	5240.555420219245	5884.478795260769	5752.0	4795.987155353781
2718_591.424_7.89_C31H54N6O5_Cinnamic acid esters_NCGC00381233-01_C21H28O12_alpha-D-Glucopyranoside, 4-O-[(2E)-1-oxo-3-phenyl-2-propen-1-yl]-beta-D-fructofuranosyl	4319.086361242758	8277.309110057926	4283.0	1111.9110057925225	6242.940494997367	28485.671406003163	7853.294365455503	7751.8014744602415	2767.372827804108
270_575.412_6.89_C27H54N6O7_Amino acids, peptides, and analogues_tert-butyl N-[3-[(2-hydrazinyl-2-oxoethyl)amino]propyl]-N-[4-[(2-methylpropan-2-yl)oxycarbonyl-[3-[(2-methylpropan-2-yl)oxycarbonylamino]propyl]amino]butyl]carbamate	6500.252794959469	8458.836528487456	7484.737792462253	6905.0960082984375	3715.629797533521	5855.64163048907	6497.159014944869	5752.0	4497.0302355065505
2707_615.454_6.52_C30H58N6O7_Amino acids, peptides, and analogues_6-amino-N-[8-[(2-methoxyacetyl)amino]-2-methyl-3-oxooctan-4-yl]-2-[[6-[(2-methoxyacetyl)amino]-2-(propan-2-ylamino)hexanoyl]amino]hexanamide	8559.35362997658	12006.744730679155	3247.27868852459	10296.693208430914	22876.487119437934	2546.8852459016393	3884.0	4484.3372365339565	2146.6604215456673
26_256.264_8.29_C16H33NO	5715.622138663501	8439.038195131605	5793.918332343823	6206.385909360776	5230.912197374499	6118.0	13393.088594234448	6103.470809420147	4073.823603140049
2692_173.08_3.47_C8H12O4_2-Hydroxyethyl acrylate_Fatty acids and conjugates_4,4-diethoxybut-2-ynoic acid	621.0169014084507	480101.42676056345	3625.0056338028166	37417.471830985916	35111.52535211267	1795.6535211267606	9608.912676056338	1343.1295774647888	2563.5
2680_780.553_7.61_C45H79O8S	7234.651773981603	2072.1471747700393	3478.2470433639946	17855.681997371878	12869.258869908015	12915.193166885676	3884.0	2483.003942181341	711.9816031537449
266_600.467_6.66_C32H69BNO3Se	6119.5	9341.753132889604	3739.11703006656	11442.91723663071	7931.051778746844	8366.172526968097	3159.6114757860914	10723.240440670186	1895.261257746156
2667_229.086_5.52_C14H12O3_ 2-Hydroxy-4-methoxybenzophenone _Benzophenones_7,2',3'-Trimethoxyflavanone_Benzophenones_Uvinul 9	28068.506259699952	10505.440196585618	1275.793533367822	7600.5	8643.520848422142	11879.533005690637	904.8775995861356	11330.8919813761	93.58091050181066
2665_360.208_2.98	4849.313528336379	4446.361974405851	17187.96800731262	7600.5	13047.293418647168	3682.143510054844	4460.256855575868	4654.785191956124	4335.2029250457035
2664_625.487_7.63_C30H60N10O4	6119.5	9441.514285714286	2328.676295133438	15190.193720565148	9047.637519623233	10040.975510204082	2005.8894819466248	12838.461224489794	1239.2708006279436
265_559.417_7.65_C22H54N8O8	6119.5	7865.15297045279	2852.0675323932387	13080.757258087582	8484.086982637797	9555.669002602901	2259.214167214897	10743.301149852694	1111.8407368210292
2654_744.559_9.51_C33H69N13O6	958384.7	25695.6	2651.133333333333	6423.9000000000015	183845.9	6118.000000000001	1835.4	3262.933333333333	2753.100000000001
2616_324.289_6.6_C20H37NO2_Linoleoyl ethanolamide_Amines_Amines_Palmitoleoyl ethanolamide_Carboximidic acids_Linoleamide MEA	4448.35465116279	6039.156976744184	219854.77325581395	7600.499999999999	3152.145348837209	10487.511627906977	95801.65116279069	3770.7906976744175	69317.73837209302
2607_522.436_6.96_C23H56N9O2P	3451.494434137291	10753.5	4309.380333951763	63742.91743970315	14204.99443413729	4628.593692022263	1955.1818181818185	9935.51576994434	1137.1975881261594
257_570.457_6.97_C32H67N2OSe	6119.5	7769.244021748394	3742.1455403862215	10352.490540471445	7255.452591569941	8234.013533091305	3071.588271889009	9776.117937311448	3152.9437967650124
2570_657.349_5.51_C33H52O13	965.2622403560832	10753.5	7687.529302670622	6480.28672106825	6384.558234421364	6860.541543026707	2305.461053412463	6062.804154302671	2683.05675074184
256_405.212_4.02_C12H32N6O7S	11358.1041691483	10753.5	6081.908040500298	5488.832340678976	5702.749493746278	4443.5844550327565	4452.551042287076	3280.489994044074	3362.470220369268
255_326.17_2.3_C15H23N3O5_(2S)-6-amino-2-[[(2S)-2-amino-3-(3,4-dihydroxyphenyl)propanoyl]amino]hexanoic Acid	6119.5	17439.587738893028	624.7590800033094	8307.675643253082	3656.9163977827416	7220.1695623397045	666.2746752709522	8126.42462976752	789.8088855795481
2524_862.645_7.48	6119.5	10134.97482467182	3480.665078223341	13580.426092429421	8773.740963855422	8773.740963855422	2659.7431217406947	11834.04117964395	1827.8168494875024
251_438.379_7.01_C21H49N4O5	4987.806944199101	7940.9410979607055	3546.669493022435	2458.4025594221675	7264.0	8798.951107970715	5491.663271114252	9600.5018351685	4445.313077783666
2517_823.574_7.55_C36H70N16O6	4699.381824586121	10604.158858753082	4283.0	13974.437830221908	10598.12433955618	10110.83691440648	3777.6090172595977	13678.746389573791	2511.8686157097573
2504_231.17_3.21_C11H22N2O3_Ala-Leu_Amino acids, peptides, and analogues	3993.1763211382113	3146.0447154471544	4851.188516260162	3500.441056910569	22340.958841463413	6118.0	7448.540650406504	17157.135162601626	2036.2245934959346
24_666.334_5.01_C29H57N3O9Se	1820.9007496251875	6240.2878560719655	548.448335832084	2985.3188605697155	7264.000000000001	6678.08815592204	4066.097511244378	8307.750764617691	3349.063388305847
2497_504.388_7.7_C23H49N7O5_[6-amino-2-[[2-(7-aminoheptylamino)acetyl]amino]hexyl] N-(6-amino-1-carbamoyloxyhexan-2-yl)carbamate	360.714046021093	11541.634947267496	6840.2070949185045	7600.5	1853.3657718120803	5532.163231064237	6279.09635666347	3875.5505752636627	3818.4678811121757
2469_213.074_1.41_C8H10N3O4_Amino acids, peptides, and analogues	5861.841845140033	1163436.2397034594	3720.664744645799	57203.636738056026	89832.30395387151	1697.7380560131796	5975.869028006589	891.1013179571664	2563.5
2468_481.363_7.93_C27H48N2O5_Amino acids, peptides, and analogues	8981.093488194974	3044.8309215536938	848.0375095201828	7600.500000000001	15319.667364813406	11588.88118811881	1522.4154607768469	36757.93983244478	1224.2998857578066
244_391.341_7.4_C22H46O5_ Nonaethylene glycol _Ethers_Tetradecyltetraglycol	6119.5	7842.252746655064	2787.1583269879247	12196.397150005438	8453.337376264548	9107.024855868594	2150.7782551941696	9561.677145654301	1495.0937669966274
243_499.231_4.24_C16H32N10O7_2-Propen-1-one, 1-(3,4-dihydro-6,7-dimethoxy-2(1H)-isoquinolinyl)-3-(1-methyl-2-phenyl-1H-pyrrolo[2,3-b]pyridin-3-yl)-	5123.562645784738	7587.836721092969	12617.69110296568	7600.5	2994.443352215928	6507.236921026324	5348.96901032989	4677.815228257246	6026.876541152949
